time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.634,0.5000,0.5000,0.5000,0.5000,-12.40,-1.64,0.261,,1,0,,
0.694,0.5000,0.5000,0.5000,0.5000,-12.02,-1.72,0.270,,1,0,,
0.717,0.5000,0.5000,0.5000,0.5000,-23.26,-2.70,0.275,,1,0,,
0.740,0.5000,0.5000,0.5000,0.5000,-32.83,-5.46,0.273,,1,0,,
0.765,0.5000,0.5000,0.5000,0.5000,-41.85,-10.81,0.281,,1,0,,
0.789,0.5000,0.5000,0.5000,0.5000,-47.54,-17.16,0.286,,1,0,,
0.812,0.5000,0.5000,0.5000,0.5000,-65.03,-19.34,0.292,,1,0,,
0.836,0.5000,0.5000,0.5000,0.5000,-69.89,-27.25,0.290,,1,0,,
0.859,0.5000,0.5000,0.5000,0.5000,-85.05,-28.08,0.286,,1,0,,
0.884,0.5000,0.5000,0.5000,0.5000,-78.56,-23.23,0.280,,1,0,,
0.911,0.5000,0.5000,0.5000,0.5000,-63.44,-9.99,0.289,,1,0,,
0.941,0.5000,0.5000,0.5000,0.5000,-57.19,-20.67,0.286,,1,0,,
0.991,0.5000,0.5000,0.5000,0.5000,-4.41,-22.28,0.297,,1,0,,
1.023,0.5000,0.5000,0.5000,0.5000,27.64,-20.00,0.288,,1,0,,
1.057,0.5000,0.5000,0.5000,0.5000,53.70,-16.77,0.291,,1,0,,
1.086,0.5000,0.5000,0.5000,0.5000,48.39,-27.03,0.285,,1,0,,
1.121,0.5000,0.5000,0.5000,0.5000,69.06,-22.92,0.278,,1,0,,
1.149,0.5000,0.5000,0.5000,0.5000,43.28,-24.32,0.293,,1,0,,
1.182,0.5000,0.5000,0.5000,0.5000,29.61,-23.81,0.297,,1,0,,
1.217,0.5000,0.5000,0.5000,0.5000,10.22,-22.90,0.304,,1,0,,
1.249,0.5000,0.5000,0.5000,0.5000,-12.39,-21.15,0.306,,1,0,,
1.282,0.5000,0.5000,0.5000,0.5000,-33.68,-18.65,0.296,,1,0,,
1.311,0.5000,0.5000,0.5000,0.5000,-53.80,-15.71,0.309,,1,0,,
1.343,0.5000,0.5000,0.5000,0.5000,-31.62,-16.38,0.308,,1,0,,
1.374,0.5000,0.5000,0.5000,0.5000,-18.42,-15.76,0.306,,1,0,,
1.441,0.5000,0.5000,0.5000,0.5000,14.61,-13.67,0.287,,1,0,,
1.470,0.5000,0.5000,0.5000,0.5000,2.66,-13.03,0.281,,1,0,,
1.501,0.5000,0.5000,0.5000,0.5000,-13.87,-12.12,0.289,,1,0,,
1.550,0.5000,0.5000,0.5000,0.5000,-38.95,-10.23,0.314,,1,0,,
1.583,0.5000,0.5000,0.5000,0.5000,-56.08,-8.79,0.317,,1,0,,
1.605,0.5000,0.5000,0.5000,0.5000,-67.13,-7.80,0.318,,1,0,,
1.627,0.5000,0.5000,0.5000,0.5000,-79.11,-6.71,0.319,,1,0,,
1.651,0.5000,0.5000,0.5000,0.5000,-89.86,-5.71,0.321,,1,0,,
1.678,0.5000,0.5000,0.5000,0.5000,-78.49,-4.69,0.321,,1,0,,
1.711,0.5000,0.5000,0.5000,0.5000,-67.97,-3.88,0.323,,1,0,,
1.743,0.5000,0.5000,0.5000,0.5000,-78.36,-10.86,0.331,,1,0,,
1.776,0.5000,0.5000,0.5000,0.5000,-81.73,-19.74,0.332,,1,0,,
1.843,0.5000,0.5000,0.5000,0.5000,-79.84,-10.04,0.343,,1,0,,
1.869,0.5000,0.5000,0.5000,0.5000,-74.56,-1.03,0.345,,1,0,,
1.902,0.5000,0.5000,0.5000,0.5000,-69.64,-8.39,0.348,,1,0,,
1.934,0.5000,0.5000,0.5000,0.5000,-66.87,-19.90,0.350,,1,0,,
1.966,0.5000,0.5000,0.5000,0.5000,-67.92,-31.75,0.353,,1,0,,
1.999,0.5000,0.5000,0.5000,0.5000,-74.01,-43.47,0.359,,1,0,,
2.030,0.5000,0.5000,0.5000,0.5000,-85.89,-52.11,0.354,,1,0,,
2.062,0.5000,0.5000,0.5000,0.5000,-77.58,-56.46,0.356,,1,0,,
2.109,0.5000,0.5000,0.5000,0.5000,-54.52,-55.54,0.353,,1,0,,
2.143,0.5000,0.5000,0.5000,0.5000,-42.58,-51.61,0.362,,1,0,,
2.166,0.5000,0.5000,0.5000,0.5000,-52.01,-52.56,0.367,,1,0,,
2.189,0.5000,0.5000,0.5000,0.5000,-45.53,-50.39,0.360,,1,0,,
2.239,0.5000,0.5000,0.5000,0.5000,-35.74,-44.84,0.357,,1,0,,
2.270,0.5000,0.5000,0.5000,0.5000,-31.64,-41.13,0.356,,1,0,,
2.302,0.5000,0.5000,0.5000,0.5000,-47.60,-56.63,0.346,,1,0,,
2.333,0.5000,0.5000,0.5000,0.5000,-42.44,-54.35,0.346,,1,0,,
2.367,0.5000,0.5000,0.5000,0.5000,-37.49,-51.35,0.345,,1,0,,
2.399,0.5000,0.5000,0.5000,0.5000,-33.40,-47.95,0.350,,1,0,,
2.430,0.5000,0.5000,0.5000,0.5000,-30.21,-44.26,0.349,,1,0,,
2.466,0.5000,0.5000,0.5000,0.5000,-27.64,-40.29,0.350,,1,0,,
2.495,0.5000,0.5000,0.5000,0.5000,-25.84,-36.70,0.348,,1,0,,
2.526,0.5000,0.5000,0.5000,0.5000,-24.49,-33.35,0.347,,1,0,,
2.558,0.5000,0.5000,0.5000,0.5000,-23.52,-30.31,0.347,,1,0,,
2.591,0.5000,0.5000,0.5000,0.5000,-22.84,-27.62,0.343,,1,0,,
2.623,0.5000,0.5000,0.5000,0.5000,-27.44,-33.28,0.338,,1,0,,
2.655,0.5000,0.5000,0.5000,0.5000,-34.07,-36.17,0.337,,1,0,,
2.702,0.5000,0.5000,0.5000,0.5000,-44.44,-36.05,0.339,,1,0,,
2.734,0.5000,0.5000,0.5000,0.5000,-49.93,-32.84,0.343,,1,0,,
2.767,0.5000,0.5000,0.5000,0.5000,-52.83,-27.81,0.339,,1,0,,
2.798,0.5000,0.5000,0.5000,0.5000,-51.07,-30.74,0.336,,1,0,,
2.832,0.5000,0.5000,0.5000,0.5000,-48.95,-32.50,0.327,,1,0,,
2.865,0.5000,0.5000,0.5000,0.5000,-46.81,-33.13,0.339,,1,0,,
2.894,0.5000,0.5000,0.5000,0.5000,-49.48,-30.86,0.344,,1,0,,
2.927,0.5000,0.5000,0.5000,0.5000,-51.52,-27.16,0.342,,1,0,,
2.959,0.5000,0.5000,0.5000,0.5000,-51.99,-22.96,0.334,,1,0,,
2.990,0.5000,0.5000,0.5000,0.5000,-51.20,-18.63,0.332,,1,0,,
3.023,0.5000,0.5000,0.5000,0.5000,-49.36,-14.22,0.328,,1,0,,
3.055,0.5000,0.5000,0.5000,0.5000,-47.01,-10.77,0.333,,1,0,,
3.086,0.5000,0.5000,0.5000,0.5000,-44.35,-7.92,0.310,,1,0,,
3.121,0.5000,0.5000,0.5000,0.5000,-41.47,-5.47,0.312,,1,0,,
3.150,0.5000,0.5000,0.5000,0.5000,-38.72,-3.69,0.296,,1,0,,
3.182,0.5000,0.5000,0.5000,0.5000,-36.01,-2.30,0.275,,1,0,,
