time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.632,0.5000,0.5000,0.5000,0.5000,-0.95,-7.13,0.363,,1,0,,
0.684,0.5000,0.5000,0.5000,0.5000,-0.91,-7.06,0.397,,1,0,,
0.710,0.5000,0.5000,0.5000,0.5000,-0.89,-6.89,0.436,,1,0,,
0.736,0.5000,0.5000,0.5000,0.5000,-0.90,-6.91,0.463,,1,0,,
0.762,0.5000,0.5000,0.5000,0.5000,-0.92,-6.88,0.479,,1,0,,
0.787,0.5000,0.5000,0.5000,0.5000,-1.06,-6.23,0.493,,1,0,,
0.815,0.5000,0.5000,0.5000,0.5000,-1.21,-5.57,0.475,,1,0,,
0.840,0.5000,0.5000,0.5000,0.5000,-1.34,-4.73,0.424,,1,0,,
0.868,0.5000,0.5000,0.5000,0.5000,-1.33,-4.37,0.316,,1,0,,
0.895,0.5000,0.5000,0.5000,0.5000,-1.41,-3.77,0.413,,1,0,,
0.922,0.5000,0.5000,0.5000,0.5000,-1.56,-3.04,0.496,,1,0,,
0.960,0.5000,0.5000,0.5000,0.5000,-1.70,-1.43,0.527,,1,0,,
0.992,0.5000,0.5000,0.5000,0.5000,-1.75,-0.34,0.538,,1,0,,
1.024,0.5000,0.5000,0.5000,0.5000,-1.76,0.73,0.529,,1,0,,
1.056,0.5000,0.5000,0.5000,0.5000,-1.71,1.79,0.538,,1,0,,
1.092,0.5000,0.5000,0.5000,0.5000,-1.63,2.88,0.528,,1,0,,
1.121,0.5000,0.5000,0.5000,0.5000,-1.53,3.69,0.527,,1,0,,
1.153,0.5000,0.5000,0.5000,0.5000,-1.40,4.65,0.534,,1,0,,
1.187,0.5000,0.5000,0.5000,0.5000,-1.24,5.28,0.531,,1,0,,
1.218,0.5000,0.5000,0.5000,0.5000,-1.10,6.00,0.519,,1,0,,
1.250,0.5000,0.5000,0.5000,0.5000,-0.96,6.50,0.528,,1,0,,
1.281,0.5000,0.5000,0.5000,0.5000,-0.85,6.99,0.526,,1,0,,
1.313,0.5000,0.5000,0.5000,0.5000,-0.72,7.61,0.532,,1,0,,
1.344,0.5000,0.5000,0.5000,0.5000,-0.60,8.02,0.532,,1,0,,
1.377,0.5000,0.5000,0.5000,0.5000,-0.49,8.45,0.526,,1,0,,
1.443,0.5000,0.5000,0.5000,0.5000,-0.27,9.32,0.526,,1,0,,
1.477,0.5000,0.5000,0.5000,0.5000,-0.24,9.39,0.530,,1,0,,
2.173,0.5000,0.5000,0.5000,0.5000,-0.10,10.41,0.473,,1,0,,
2.197,0.5000,0.5000,0.5000,0.5000,-0.12,10.39,0.474,,1,0,,
2.221,0.5000,0.5000,0.5000,0.5000,-0.12,10.36,0.475,,1,0,,
2.246,0.5000,0.5000,0.5000,0.5000,-0.15,10.38,0.472,,1,0,,
2.270,0.5000,0.5000,0.5000,0.5000,-0.15,10.46,0.459,,1,0,,
2.294,0.5000,0.5000,0.5000,0.5000,-0.13,10.52,0.464,,1,0,,
2.318,0.5000,0.5000,0.5000,0.5000,-0.12,10.56,0.459,,1,0,,
2.342,0.5000,0.5000,0.5000,0.5000,-0.10,10.57,0.463,,1,0,,
2.369,0.5000,0.5000,0.5000,0.5000,-0.05,10.59,0.465,,1,0,,
2.403,0.5000,0.5000,0.5000,0.5000,-0.00,10.56,0.459,,1,0,,
2.434,0.5000,0.5000,0.5000,0.5000,0.04,10.56,0.461,,1,0,,
2.465,0.5000,0.5000,0.5000,0.5000,0.05,10.56,0.455,,1,0,,
2.498,0.5000,0.5000,0.5000,0.5000,0.07,10.61,0.452,,1,0,,
2.529,0.5000,0.5000,0.5000,0.5000,0.05,10.59,0.452,,1,0,,
2.561,0.5000,0.5000,0.5000,0.5000,-0.02,10.50,0.453,,1,0,,
2.593,0.5000,0.5000,0.5000,0.5000,-0.05,10.46,0.456,,1,0,,
2.624,0.5000,0.5000,0.5000,0.5000,-0.08,10.42,0.459,,1,0,,
2.673,0.5000,0.5000,0.5000,0.5000,-0.13,9.80,0.455,,1,0,,
2.792,0.5000,0.5000,0.5000,0.5000,-0.28,8.74,0.459,,1,0,,
2.824,0.5000,0.5000,0.5000,0.5000,-0.35,8.59,0.458,,1,0,,
2.852,0.5000,0.5000,0.5000,0.5000,-0.39,8.49,0.459,,1,0,,
2.879,0.5000,0.5000,0.5000,0.5000,-0.43,8.47,0.453,,1,0,,
2.907,0.5000,0.5000,0.5000,0.5000,-0.49,8.42,0.453,,1,0,,
2.940,0.5000,0.5000,0.5000,0.5000,-0.52,8.47,0.457,,1,0,,
2.968,0.5000,0.5000,0.5000,0.5000,-0.53,8.54,0.454,,1,0,,
2.997,0.5000,0.5000,0.5000,0.5000,-0.56,8.50,0.437,,1,0,,
3.028,0.5000,0.5000,0.5000,0.5000,-0.59,8.42,0.428,,1,0,,
3.057,0.5000,0.5000,0.5000,0.5000,-0.61,8.22,0.406,,1,0,,
3.088,0.5000,0.5000,0.5000,0.5000,-0.65,8.05,0.421,,1,0,,
3.122,0.5000,0.5000,0.5000,0.5000,-0.67,7.88,0.421,,1,0,,
3.151,0.5000,0.5000,0.5000,0.5000,-0.65,8.02,0.415,,1,0,,
3.181,0.5000,0.5000,0.5000,0.5000,-0.64,8.14,0.411,,1,0,,
3.214,0.5000,0.5000,0.5000,0.5000,-0.69,8.15,0.394,,1,0,,
3.241,0.5000,0.5000,0.5000,0.5000,-0.69,8.28,0.385,,1,0,,
3.272,0.5000,0.5000,0.5000,0.5000,-0.69,8.58,0.373,,1,0,,
3.300,0.5000,0.5000,0.5000,0.5000,-0.67,8.78,0.364,,1,0,,
3.325,0.5000,0.5000,0.5000,0.5000,-0.67,8.96,0.320,,1,0,,
3.353,0.5000,0.5000,0.5000,0.5000,-0.67,8.85,0.097,,1,0,,
3.383,0.5000,0.5000,0.5000,0.5000,-0.73,8.53,0.044,,1,0,,
3.408,0.5000,0.5000,0.5000,0.5000,-0.82,8.25,0.040,,1,0,,
3.434,0.5000,0.5000,0.5000,0.5000,-0.93,8.01,0.037,,1,0,,
3.463,0.5000,0.5000,0.5000,0.5000,-1.03,7.91,0.043,,1,0,,
3.491,0.5000,0.5000,0.5000,0.5000,-1.11,7.92,0.091,,1,0,,
3.520,0.5000,0.5000,0.5000,0.5000,-1.17,7.99,0.120,,1,0,,
3.551,0.5000,0.5000,0.5000,0.5000,-1.25,8.05,0.128,,1,0,,
3.584,0.5000,0.5000,0.5000,0.5000,-1.32,8.16,0.139,,1,0,,
3.616,0.5000,0.5000,0.5000,0.5000,-1.38,8.27,0.124,,1,0,,
3.651,0.5000,0.5000,0.5000,0.5000,-1.43,8.35,0.129,,1,0,,
3.681,0.5000,0.5000,0.5000,0.5000,-1.46,8.44,0.126,,1,0,,
3.713,0.5000,0.5000,0.5000,0.5000,-1.51,8.52,0.105,,1,0,,
3.745,0.5000,0.5000,0.5000,0.5000,-1.55,8.57,0.103,,1,0,,
3.776,0.5000,0.5000,0.5000,0.5000,-1.58,8.52,0.108,,1,0,,
3.825,0.5000,0.5000,0.5000,0.5000,-1.62,8.58,0.120,,1,0,,
3.859,0.5000,0.5000,0.5000,0.5000,-1.65,8.86,0.300,,1,0,,
3.894,0.5000,0.5000,0.5000,0.5000,-1.68,9.29,0.431,,1,0,,
3.933,0.5000,0.5000,0.5000,0.5000,-1.73,9.88,0.456,,1,0,,
3.967,0.5000,0.5000,0.5000,0.5000,-1.74,10.27,0.455,,1,0,,
3.995,0.5000,0.5000,0.5000,0.5000,-1.73,10.66,0.444,,1,0,,
4.021,0.5000,0.5000,0.5000,0.5000,-1.71,10.92,0.448,,1,0,,
4.048,0.5000,0.5000,0.5000,0.5000,-1.69,11.16,0.441,,1,0,,
4.081,0.5000,0.5000,0.5000,0.5000,-1.65,11.36,0.437,,1,0,,
4.112,0.5000,0.5000,0.5000,0.5000,-1.61,11.54,0.452,,1,0,,
4.145,0.5000,0.5000,0.5000,0.5000,-1.58,11.74,0.443,,1,0,,
4.177,0.5000,0.5000,0.5000,0.5000,-1.56,11.99,0.427,,1,0,,
4.243,0.5000,0.5000,0.5000,0.5000,-1.55,12.57,0.445,,1,0,,
4.272,0.5000,0.5000,0.5000,0.5000,-1.55,12.78,0.435,,1,0,,
4.305,0.5000,0.5000,0.5000,0.5000,-1.53,12.67,0.448,,1,0,,
4.337,0.5000,0.5000,0.5000,0.5000,-1.50,12.63,0.441,,1,0,,
4.389,0.5000,0.5000,0.5000,0.5000,-1.48,12.60,0.431,,1,0,,
4.419,0.5000,0.5000,0.5000,0.5000,-1.47,12.63,0.448,,1,0,,
4.446,0.5000,0.5000,0.5000,0.5000,-1.46,12.65,0.436,,1,0,,
4.478,0.5000,0.5000,0.5000,0.5000,-1.46,12.65,0.425,,1,0,,
4.508,0.5000,0.5000,0.5000,0.5000,-1.46,12.68,0.424,,1,0,,
4.537,0.5000,0.5000,0.5000,0.5000,-1.44,12.70,0.409,,1,0,,
4.567,0.5000,0.5000,0.5000,0.5000,-1.40,12.65,0.422,,1,0,,
4.598,0.5000,0.5000,0.5000,0.5000,-1.38,12.68,0.428,,1,0,,
4.642,0.5000,0.5000,0.5000,0.5000,-1.36,12.69,0.400,,1,0,,
4.673,0.5000,0.5000,0.5000,0.5000,-1.35,12.70,0.404,,1,0,,
4.705,0.5000,0.5000,0.5000,0.5000,-1.35,12.65,0.411,,1,0,,
