time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.724,0.5000,0.5000,0.5000,0.5000,4.95,-3.69,0.542,,1,0,,
0.772,0.5000,0.5000,0.5000,0.5000,4.77,-3.70,0.537,,1,0,,
0.820,0.5000,0.5000,0.5000,0.5000,4.66,-3.67,0.541,,1,0,,
0.842,0.5000,0.5000,0.5000,0.5000,4.59,-3.66,0.541,,1,0,,
0.883,0.5000,0.5000,0.5000,0.5000,4.57,-3.67,0.536,,1,0,,
0.907,0.5000,0.5000,0.5000,0.5000,4.59,-3.67,0.533,,1,0,,
0.933,0.5000,0.5000,0.5000,0.5000,4.57,-3.66,0.525,,1,0,,
0.956,0.5000,0.5000,0.5000,0.5000,4.59,-3.66,0.519,,1,0,,
0.978,0.5000,0.5000,0.5000,0.5000,4.54,-3.65,0.522,,1,0,,
1.001,0.5000,0.5000,0.5000,0.5000,4.51,-3.58,0.515,,1,0,,
1.022,0.5000,0.5000,0.5000,0.5000,4.50,-3.43,0.518,,1,0,,
1.045,0.5000,0.5000,0.5000,0.5000,4.44,-3.10,0.520,,1,0,,
1.075,0.5000,0.5000,0.5000,0.5000,4.18,-3.06,0.524,,1,0,,
1.106,0.5000,0.5000,0.5000,0.5000,3.51,-3.05,0.530,,1,0,,
1.138,0.5000,0.5000,0.5000,0.5000,3.40,-2.56,0.533,,1,0,,
1.171,0.5000,0.5000,0.5000,0.5000,2.99,-2.67,0.526,,1,0,,
1.204,0.5000,0.5000,0.5000,0.5000,3.00,-2.23,0.496,,1,0,,
1.235,0.5000,0.5000,0.5000,0.5000,2.87,-3.05,0.492,,1,0,,
1.265,0.5000,0.5000,0.5000,0.5000,2.96,-3.21,0.510,,1,0,,
1.298,0.5000,0.5000,0.5000,0.5000,2.83,-2.01,0.496,,1,0,,
1.331,0.5000,0.5000,0.5000,0.5000,2.57,-1.77,0.485,,1,0,,
1.378,0.5000,0.5000,0.5000,0.5000,2.09,-2.05,0.487,,1,0,,
1.409,0.5000,0.5000,0.5000,0.5000,1.84,-1.92,0.495,,1,0,,
1.442,0.5000,0.5000,0.5000,0.5000,1.53,-1.24,0.486,,1,0,,
1.474,0.5000,0.5000,0.5000,0.5000,1.36,-0.69,0.482,,1,0,,
1.505,0.5000,0.5000,0.5000,0.5000,0.83,-0.44,0.480,,1,0,,
1.540,0.5000,0.5000,0.5000,0.5000,0.89,-0.20,0.468,,1,0,,
1.571,0.5000,0.5000,0.5000,0.5000,0.68,0.22,0.436,,1,0,,
1.604,0.5000,0.5000,0.5000,0.5000,1.05,0.77,0.426,,1,0,,
1.632,0.5000,0.5000,0.5000,0.5000,0.78,0.34,0.434,,1,0,,
1.668,0.5000,0.5000,0.5000,0.5000,0.76,0.52,0.425,,1,0,,
1.698,0.5000,0.5000,0.5000,0.5000,0.80,0.71,0.425,,1,0,,
1.729,0.5000,0.5000,0.5000,0.5000,0.53,0.51,0.442,,1,0,,
1.764,0.5000,0.5000,0.5000,0.5000,0.60,0.44,0.428,,1,0,,
1.794,0.5000,0.5000,,,0.71,0.87,0.252,,1,0,,
1.826,0.5000,0.5000,,,0.62,0.91,0.230,,1,0,,
1.858,0.5000,0.5000,,,0.67,1.43,0.286,,1,0,,
1.924,0.5000,0.5000,0.5000,0.5000,0.89,0.89,0.531,,1,0,,
1.972,0.5000,0.5000,0.5000,0.5000,0.81,0.34,0.528,,1,0,,
2.002,0.5000,0.5000,0.5000,0.5000,1.02,0.14,0.530,,1,0,,
2.027,0.5000,0.5000,0.5000,0.5000,1.09,-0.01,0.531,,1,0,,
2.051,0.5000,0.5000,0.5000,0.5000,1.41,-0.29,0.540,,1,0,,
2.075,0.5000,0.5000,0.5000,0.5000,1.71,-0.35,0.537,,1,0,,
2.100,0.5000,0.5000,0.5000,0.5000,2.34,-1.05,0.526,,1,0,,
2.130,0.5000,0.5000,0.5000,0.5000,2.99,-0.93,0.533,,1,0,,
2.161,0.5000,0.5000,0.5000,0.5000,3.36,-1.07,0.542,,1,0,,
2.194,0.5000,0.5000,0.5000,0.5000,4.03,-0.81,0.548,,1,0,,
2.225,0.5000,0.5000,0.5000,0.5000,4.49,-1.01,0.536,,1,0,,
2.260,0.5000,0.5000,0.5000,0.5000,4.78,-0.54,0.529,,1,0,,
2.321,0.5000,0.5000,0.5000,0.5000,4.80,-0.51,0.541,,1,0,,
2.354,0.5000,0.5000,0.5000,0.5000,5.29,-0.34,0.528,,1,0,,
2.387,0.5000,0.5000,0.5000,0.5000,5.60,-0.52,0.523,,1,0,,
2.419,0.5000,0.5000,0.5000,0.5000,5.77,-0.44,0.510,,1,0,,
