time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.646,0.5000,0.5000,0.5000,0.5000,-2.17,-14.96,0.094,,1,0,,
0.701,0.5000,0.5000,0.5000,0.5000,-2.20,-15.16,0.241,,1,0,,
0.731,0.5000,0.5000,0.5000,0.5000,-2.26,-15.42,0.405,,1,0,,
0.762,0.5000,0.5000,0.5000,0.5000,-2.35,-15.77,0.496,,1,0,,
0.788,0.5000,0.5000,0.5000,0.5000,-2.40,-15.97,0.516,,1,0,,
0.813,0.5000,0.5000,0.5000,0.5000,-2.50,-16.20,0.531,,1,0,,
0.838,0.5000,0.5000,0.5000,0.5000,-2.59,-16.36,0.524,,1,0,,
0.864,0.5000,0.5000,0.5000,0.5000,-2.63,-16.28,0.524,,1,0,,
0.893,0.5000,0.5000,0.5000,0.5000,-2.55,-15.69,0.523,,1,0,,
0.919,0.5000,0.5000,0.5000,0.5000,-2.66,-14.42,0.529,,1,0,,
0.943,0.5000,0.5000,0.5000,0.5000,-2.84,-12.83,0.537,,1,0,,
0.971,0.5000,0.5000,0.5000,0.5000,-2.92,-11.49,0.536,,1,0,,
1.003,0.5000,0.5000,0.5000,0.5000,-3.01,-9.73,0.536,,1,0,,
1.035,0.5000,0.5000,0.5000,0.5000,-2.96,-8.18,0.519,,1,0,,
1.068,0.5000,0.5000,0.5000,0.5000,-2.87,-6.68,0.519,,1,0,,
1.099,0.5000,0.5000,0.5000,0.5000,-2.76,-5.32,0.526,,1,0,,
1.129,0.5000,0.5000,0.5000,0.5000,-2.61,-4.17,0.524,,1,0,,
1.160,0.5000,0.5000,0.5000,0.5000,-2.45,-3.20,0.520,,1,0,,
1.191,0.5000,0.5000,0.5000,0.5000,-2.30,-2.35,0.531,,1,0,,
1.224,0.5000,0.5000,0.5000,0.5000,-2.21,-1.52,0.530,,1,0,,
1.256,0.5000,0.5000,0.5000,0.5000,-2.10,-0.80,0.533,,1,0,,
1.289,0.5000,0.5000,0.5000,0.5000,-1.98,-0.13,0.525,,1,0,,
1.323,0.5000,0.5000,0.5000,0.5000,-1.86,0.45,0.531,,1,0,,
1.355,0.5000,0.5000,0.5000,0.5000,-1.73,0.92,0.536,,1,0,,
1.418,0.5000,0.5000,0.5000,0.5000,-1.35,1.32,0.539,,1,0,,
1.452,0.5000,0.5000,0.5000,0.5000,-1.22,1.62,0.535,,1,0,,
1.483,0.5000,0.5000,0.5000,0.5000,-1.08,1.69,0.529,,1,0,,
1.529,0.5000,0.5000,0.5000,0.5000,-0.84,1.66,0.528,,1,0,,
1.562,0.5000,0.5000,0.5000,0.5000,-0.69,1.66,0.525,,1,0,,
1.587,0.5000,0.5000,0.5000,0.5000,-0.60,1.70,0.526,,1,0,,
1.612,0.5000,0.5000,0.5000,0.5000,-0.48,1.88,0.521,,1,0,,
1.636,0.5000,0.5000,0.5000,0.5000,-0.33,1.97,0.512,,1,0,,
1.663,0.5000,0.5000,0.5000,0.5000,-0.12,2.34,0.279,,1,0,,
1.689,0.5000,0.5000,0.5000,0.5000,0.15,2.57,0.127,,1,0,,
1.721,0.5000,0.5000,0.5000,0.5000,0.47,3.18,0.198,,1,0,,
1.754,0.5000,0.5000,0.5000,0.5000,0.70,4.15,0.296,,1,0,,
1.817,0.5000,0.5000,0.5000,0.5000,0.93,6.39,0.453,,1,0,,
1.850,0.5000,0.5000,0.5000,0.5000,1.09,7.53,0.482,,1,0,,
1.882,0.5000,0.5000,0.5000,0.5000,1.27,8.64,0.491,,1,0,,
1.912,0.5000,0.5000,0.5000,0.5000,1.42,9.72,0.493,,1,0,,
1.944,0.5000,0.5000,0.5000,0.5000,1.58,10.75,0.497,,1,0,,
1.976,0.5000,0.5000,0.5000,0.5000,1.73,11.74,0.507,,1,0,,
2.010,0.5000,0.5000,0.5000,0.5000,1.91,12.86,0.512,,1,0,,
2.041,0.5000,0.5000,0.5000,0.5000,2.06,13.79,0.521,,1,0,,
2.074,0.5000,0.5000,0.5000,0.5000,2.26,14.67,0.516,,1,0,,
2.121,0.5000,0.5000,0.5000,0.5000,2.49,15.77,0.523,,1,0,,
2.152,0.5000,0.5000,0.5000,0.5000,2.58,16.47,0.531,,1,0,,
2.178,0.5000,0.5000,0.5000,0.5000,2.66,17.03,0.525,,1,0,,
2.216,0.5000,0.5000,0.5000,0.5000,2.73,17.86,0.529,,1,0,,
2.248,0.5000,0.5000,0.5000,0.5000,2.79,18.44,0.537,,1,0,,
