time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
0.604,0.5000,0.5000,0.5000,0.5000,-8.37,-36.94,0.386,,1,0,,,,,,4.19465,-4.02714,,,,,,
0.654,0.5000,0.5000,0.5000,0.5000,-9.04,-38.02,0.377,,1,0,,,,,,4.24094,-4.03328,,,,,,
0.684,0.5000,0.5000,0.5000,0.5000,-9.24,-37.99,0.352,,1,0,,,,,,4.24715,-4.04251,,,,,,
0.707,0.5000,0.5000,0.5000,0.5000,-9.42,-38.19,0.337,,1,0,,,,,,4.21867,-4.04796,,,,,,
0.743,0.5000,0.5000,0.5000,0.5000,-9.57,-38.33,0.325,,1,0,,,,,,4.18574,-4.07034,,,,,,
0.770,0.5000,0.5000,0.5000,0.5000,0.30,-49.56,0.323,,1,0,,,,,,4.07833,-4.15926,,,,,,
0.799,0.5000,0.5000,0.5000,0.5000,-0.28,-48.35,0.375,,1,0,,,,,,3.55126,-4.04701,,,,,,
0.828,0.5000,0.5000,0.5000,0.5000,-10.47,-36.32,0.397,,1,0,,,,,,3.08739,-4.00736,,,,,,
0.857,0.5000,0.5000,0.5000,0.5000,-10.35,-34.64,0.428,,1,0,,,,,,2.85232,-4.03548,,,,,,
0.884,0.5000,0.5000,0.5000,0.5000,-9.34,-33.46,0.435,,1,0,,,,,,2.60487,-4.08921,,,,,,
0.906,0.5000,0.5000,0.5000,0.5000,-9.04,-31.63,0.419,,1,0,,,,,,2.41750,-4.14536,,,,,,
0.942,0.5000,0.5000,0.5000,0.5000,-8.69,-29.68,0.424,,1,0,,,,,,2.33204,-4.20170,,,,,,
0.969,0.5000,0.5000,0.5000,0.5000,-8.56,-28.01,0.414,,1,0,,,,,,2.24710,-4.22119,,,,,,
0.995,0.5000,0.5000,0.5000,0.5000,-7.80,-26.31,0.417,,1,0,,,,,,2.16429,-4.20028,,,,,,
1.027,0.5000,0.5000,0.5000,0.5000,-7.80,-24.98,0.404,,1,0,,,,,,2.08290,-4.26799,,,,,,
1.058,0.5000,0.5000,0.5000,0.5000,-7.98,-23.74,0.390,,1,0,,,,,,2.02400,-4.32466,,,,,,
1.080,0.5000,0.5000,0.5000,0.5000,-8.12,-22.33,0.381,,1,0,,,,,,1.77755,-4.38791,,,,,,
1.122,0.5000,0.5000,0.5000,0.5000,-8.36,-21.97,0.397,,1,0,,,,,,1.58144,-4.40668,,,,,,
1.154,0.5000,0.5000,0.5000,0.5000,-7.94,-17.79,0.406,,1,0,,,,,,1.41250,-4.38951,,,,,,
1.184,0.5000,0.5000,0.5000,0.5000,-7.19,-17.41,0.393,,1,0,,,,,,1.25265,-4.48759,,,,,,
1.219,0.5000,0.5000,0.5000,0.5000,-6.73,-9.49,0.100,,1,0,,,,,,1.33539,-4.81707,,,,,,
1.248,0.5000,0.5000,0.5000,0.5000,-6.35,-4.88,0.053,,1,0,,,,,,1.27112,-4.81142,,,,,,
1.283,0.5000,0.5000,0.5000,0.5000,-6.00,-1.47,0.059,,1,0,,,,,,0.99633,-4.61752,,,,,,
1.304,0.5000,0.5000,0.5000,0.5000,-6.18,-5.57,0.209,,1,0,,,,,,0.69237,-4.44876,,,,,,
1.368,0.5000,0.5000,0.5000,0.5000,-4.86,-0.91,0.309,,1,0,,,,,,0.47058,-4.42376,,,,,,
1.401,0.5000,0.5000,0.5000,0.5000,-4.78,1.55,0.416,,1,0,,,,,,0.08002,-4.44063,,,,,,
1.432,0.5000,0.5000,0.5000,0.5000,-5.01,13.38,0.431,,1,0,,,,,,-0.10850,-4.44127,,,,,,
1.464,0.5000,0.5000,0.5000,0.5000,-4.46,15.19,0.450,,1,0,,,,,,-0.33538,-4.43562,,,,,,
1.518,0.5000,0.5000,0.5000,0.5000,-3.99,15.71,0.468,,1,0,,,,,,-0.49208,-4.34059,,,,,,
1.554,0.5000,0.5000,0.5000,0.5000,-4.11,16.24,0.464,,1,0,,,,,,-0.67245,-4.30702,,,,,,
1.573,0.5000,0.5000,0.5000,0.5000,-4.43,17.10,0.455,,1,0,,,,,,-0.70002,-4.28226,,,,,,
1.596,0.5000,0.5000,0.5000,0.5000,-4.43,19.76,0.471,,1,0,,,,,,-0.82874,-4.22789,,,,,,
1.620,0.5000,0.5000,0.5000,0.5000,-4.88,19.68,0.471,,1,0,,,,,,-1.02136,-4.15067,,,,,,
1.658,0.5000,0.5000,0.5000,0.5000,-5.23,19.56,0.468,,1,0,,,,,,-1.18334,-3.99650,,,,,,
1.673,0.5000,0.5000,0.5000,0.5000,-5.58,20.09,0.451,,1,0,,,,,,-1.36088,-3.82277,,,,,,
1.703,0.5000,0.5000,0.5000,0.5000,-5.60,18.69,0.438,,1,0,,,,,,-1.53369,-3.58342,,,,,,
1.748,0.5000,0.5000,0.5000,0.5000,-5.79,18.32,0.423,,1,0,,,,,,-1.78695,-3.36141,,,,,,
1.810,0.5000,0.5000,0.5000,0.5000,-6.51,17.12,0.427,,1,0,,,,,,-2.70155,-3.43353,,,,,,
1.832,0.5000,0.5000,0.5000,0.5000,-6.32,13.61,0.419,,1,0,,,,,,-3.49723,-3.59309,,,,,,
1.875,0.5000,0.5000,0.5000,0.5000,-7.36,15.07,0.457,,1,0,,,,,,-3.77152,-3.64354,,,,,,
1.907,0.5000,0.5000,0.5000,0.5000,-7.64,17.20,0.451,,1,0,,,,,,-4.38324,-4.06883,,,,,,
1.935,0.5000,0.5000,0.5000,0.5000,-6.98,17.01,0.464,,1,0,,,,,,-4.95468,-4.56733,,,,,,
1.960,0.5000,0.5000,0.5000,0.5000,-8.01,18.59,0.474,,1,0,,,,,,-5.57058,-5.14647,,,,,,
2.000,0.5000,0.5000,0.5000,0.5000,-9.50,18.44,0.446,,1,0,,,,,,-5.85523,-5.45636,,,,,,
2.025,0.5000,0.5000,0.5000,0.5000,-10.55,19.19,0.461,,1,0,,,,,,-6.15596,-5.82839,,,,,,
2.078,0.5000,0.5000,0.5000,0.5000,-10.91,20.34,0.461,,1,0,,,,,,-6.17556,-6.02864,,,,,,
2.111,0.5000,0.5000,0.5000,0.5000,-10.99,21.33,0.458,,1,0,,,,,,-5.89248,-6.11028,,,,,,
2.140,0.5000,0.5000,0.5000,0.5000,-10.74,21.48,0.435,,1,0,,,,,,-5.98733,-6.22580,,,,,,
2.166,0.5000,0.5000,0.5000,0.5000,-11.31,22.61,0.457,,1,0,,,,,,-5.62815,-6.11541,,,,,,
2.210,0.5000,0.5000,0.5000,0.5000,-12.66,27.79,0.507,,1,0,,,,,,-5.23275,-5.96351,,,,,,
2.239,0.5000,0.5000,0.5000,0.5000,-11.42,26.05,0.473,,1,0,,,,,,-4.89514,-5.88227,,,,,,
2.275,0.5000,0.5000,0.5000,0.5000,-10.21,23.58,0.453,,1,0,,,,,,-4.54666,-5.66116,,,,,,
2.302,0.5000,0.5000,0.5000,0.5000,-9.34,22.98,0.451,,1,0,,,,,,-4.28978,-5.63055,,,,,,
2.328,0.5000,0.5000,0.5000,0.5000,-8.63,22.45,0.461,,1,0,,,,,,-4.13708,-5.65298,,,,,,
2.371,0.5000,0.5000,0.5000,0.5000,-8.00,22.20,0.449,,1,0,,,,,,-3.98795,-5.58967,,,,,,
2.393,0.5000,0.5000,0.5000,0.5000,-7.42,21.71,0.458,,1,0,,,,,,-3.83487,-5.50264,,,,,,
2.424,0.5000,0.5000,0.5000,0.5000,-6.66,21.97,0.468,,1,0,,,,,,-3.77776,-5.41208,,,,,,
2.455,0.5000,0.5000,0.5000,0.5000,-6.06,22.14,0.478,,1,0,,,,,,-3.65032,-5.19790,,,,,,
2.487,0.5000,0.5000,0.5000,0.5000,-6.23,22.00,0.466,,1,0,,,,,,-3.55618,-4.99643,,,,,,
2.519,0.5000,0.5000,0.5000,0.5000,-6.00,23.37,0.447,,1,0,,,,,,-3.40142,-4.84424,,,,,,
2.553,0.5000,0.5000,0.5000,0.5000,-5.67,23.00,0.450,,1,0,,,,,,-3.24431,-4.72067,,,,,,
2.594,0.5000,0.5000,0.5000,0.5000,-5.03,22.41,0.445,,1,0,,,,,,-3.07182,-4.65982,,,,,,
2.642,0.5000,0.5000,0.5000,0.5000,-4.33,22.77,0.436,,1,0,,,,,,-2.88640,-4.57068,,,,,,
2.664,0.5000,0.5000,0.5000,0.5000,-3.86,23.12,0.424,,1,0,,,,,,-2.69590,-4.51685,,,,,,
2.702,0.5000,0.5000,0.5000,0.5000,-3.27,23.05,0.425,,1,0,,,,,,-2.61561,-4.42357,,,,,,
2.728,0.5000,0.5000,0.5000,0.5000,-2.88,22.68,0.417,,1,0,,,,,,-2.52404,-4.39249,,,,,,
2.760,0.5000,0.5000,0.5000,0.5000,-2.73,22.25,0.422,,1,0,,,,,,-2.43756,-4.29911,,,,,,
2.802,0.5000,0.5000,0.5000,0.5000,-2.22,21.21,0.425,,1,0,,,,,,-2.43385,-4.22158,,,,,,
2.833,0.5000,0.5000,0.5000,0.5000,-1.81,21.09,0.431,,1,0,,,,,,-2.40231,-4.12396,,,,,,
2.863,0.5000,0.5000,0.5000,0.5000,-1.55,21.04,0.426,,1,0,,,,,,-2.32902,-4.07854,,,,,,
2.889,0.5000,0.5000,0.5000,0.5000,-0.93,20.96,0.437,,1,0,,,,,,-2.24828,-4.05292,,,,,,
2.919,0.5000,0.5000,0.5000,0.5000,-0.39,19.55,0.426,,1,0,,,,,,-2.25713,-4.09972,,,,,,
2.952,0.5000,0.5000,0.5000,0.5000,-0.28,20.70,0.428,,1,0,,,,,,-2.20209,-4.14539,,,,,,
2.985,0.5000,0.5000,0.5000,0.5000,0.02,21.16,0.427,,1,0,,,,,,-2.19696,-4.20716,,,,,,
3.028,0.5000,0.5000,0.5000,0.5000,0.45,19.86,0.433,,1,0,,,,,,-2.16371,-4.29828,,,,,,
3.053,0.5000,0.5000,0.5000,0.5000,0.97,19.72,0.431,,1,0,,,,,,-2.05800,-4.28278,,,,,,
3.080,0.5000,0.5000,0.5000,0.5000,1.36,19.52,0.434,,1,0,,,,,,-1.97330,-4.31723,,,,,,
3.113,0.5000,0.5000,0.5000,0.5000,1.09,19.39,0.428,,1,0,,,,,,-1.86666,-4.25544,,,,,,
3.153,0.5000,0.5000,0.5000,0.5000,0.38,18.63,0.396,,1,0,,,,,,-1.71633,-4.10517,,,,,,
3.191,0.5000,0.5000,0.5000,0.5000,-0.29,18.99,0.382,,1,0,,,,,,-1.59447,-3.93596,,,,,,
3.231,0.5000,0.5000,0.5000,0.5000,-0.68,19.73,0.359,,1,0,,,,,,-1.39644,-3.75520,,,,,,
3.256,0.5000,0.5000,0.5000,0.5000,-1.04,19.87,0.335,,1,0,,,,,,-1.09425,-3.51764,,,,,,
3.288,0.5000,0.5000,0.5000,0.5000,-1.32,20.67,0.317,,1,0,,,,,,-0.94162,-3.34665,,,,,,
3.331,0.5000,0.5000,0.5000,0.5000,-1.70,21.37,0.338,,1,0,,,,,,-0.77654,-3.09476,,,,,,
3.354,0.5000,0.5000,0.5000,0.5000,-1.63,22.51,0.338,,1,0,,,,,,-0.60012,-2.88480,,,,,,
3.390,0.5000,0.5000,0.5000,0.5000,-1.56,20.76,0.344,,1,0,,,,,,-0.42644,-2.64407,,,,,,
3.417,0.5000,0.5000,0.5000,0.5000,-1.80,19.67,0.336,,1,0,,,,,,-0.24157,-2.47896,,,,,,
3.459,0.5000,0.5000,0.5000,0.5000,-2.17,18.05,0.317,,1,0,,,,,,-0.01699,-2.38321,,,,,,
3.490,0.5000,0.5000,0.5000,0.5000,-2.25,17.95,0.319,,1,0,,,,,,0.19471,-2.31693,,,,,,
3.513,0.5000,0.5000,0.5000,0.5000,-2.39,17.45,0.328,,1,0,,,,,,0.34049,-2.32344,,,,,,
3.554,0.5000,0.5000,0.5000,0.5000,-2.16,14.71,0.337,,1,0,,,,,,0.44579,-2.35420,,,,,,
3.576,0.5000,0.5000,0.5000,0.5000,-1.95,15.55,0.338,,1,0,,,,,,0.52701,-2.47677,,,,,,
3.607,0.5000,0.5000,0.5000,0.5000,-1.84,14.37,0.337,,1,0,,,,,,0.59234,-2.53032,,,,,,
3.640,0.5000,0.5000,0.5000,0.5000,-2.43,13.88,0.335,,1,0,,,,,,0.60363,-2.52707,,,,,,
3.680,0.5000,0.5000,0.5000,0.5000,-2.30,14.97,0.321,,1,0,,,,,,0.62119,-2.65103,,,,,,
3.711,0.5000,0.5000,0.5000,0.5000,-2.02,15.40,0.326,,1,0,,,,,,0.62962,-2.73566,,,,,,
3.743,0.5000,0.5000,0.5000,0.5000,-1.96,13.92,0.330,,1,0,,,,,,0.61934,-2.82158,,,,,,
3.820,0.5000,0.5000,0.5000,0.5000,-1.51,15.64,0.324,,1,0,,,,,,0.55139,-2.97278,,,,,,
3.855,0.5000,0.5000,0.5000,0.5000,-1.70,15.83,0.317,,1,0,,,,,,0.54799,-2.99042,,,,,,
3.872,0.5000,0.5000,0.5000,0.5000,-1.98,16.11,0.321,,1,0,,,,,,0.54279,-2.99876,,,,,,
3.911,0.5000,0.5000,0.5000,0.5000,-2.19,18.97,0.339,,1,0,,,,,,0.55801,-2.93440,,,,,,
3.931,0.5000,0.5000,0.5000,0.5000,-2.35,18.29,0.335,,1,0,,,,,,0.56689,-2.64850,,,,,,
3.964,0.5000,0.5000,0.5000,0.5000,-2.79,17.03,0.331,,1,0,,,,,,0.56070,-2.44726,,,,,,
3.980,0.5000,0.5000,0.5000,0.5000,-3.11,14.88,0.319,,1,0,,,,,,0.56194,-2.32380,,,,,,
4.009,0.5000,0.5000,0.5000,0.5000,-2.95,14.75,0.325,,1,0,,,,,,0.55011,-2.23924,,,,,,
4.050,0.5000,0.5000,0.5000,0.5000,-3.26,11.85,0.315,,1,0,,,,,,0.53145,-2.29094,,,,,,
4.077,0.5000,0.5000,0.5000,0.5000,-4.18,8.97,0.319,,1,0,,,,,,0.52703,-2.36911,,,,,,
4.104,0.5000,0.5000,0.5000,0.5000,-3.57,5.48,0.317,,1,0,,,,,,0.47908,-2.40839,,,,,,
4.143,0.5000,0.5000,0.5000,0.5000,-3.43,12.40,0.326,,1,0,,,,,,0.40942,-2.31403,,,,,,
4.199,0.5000,0.5000,0.5000,0.5000,-3.14,13.96,0.319,,1,0,,,,,,0.28985,-2.24485,,,,,,
4.232,0.5000,0.5000,0.5000,0.5000,-4.11,10.97,0.323,,1,0,,,,,,0.23609,-2.28842,,,,,,
4.263,0.5000,0.5000,0.5000,0.5000,-3.50,-0.03,0.310,,1,0,,,,,,0.20710,-2.31640,,,,,,
4.304,0.5000,0.5000,0.5000,0.5000,-3.69,1.06,0.311,,1,0,,,,,,0.18578,-2.31923,,,,,,
4.356,0.5000,0.5000,0.5000,0.5000,-3.93,2.35,0.330,,1,0,,,,,,0.13202,-2.21603,,,,,,
4.376,0.5000,0.5000,0.5000,0.5000,-4.39,9.51,0.328,,1,0,,,,,,0.10084,-2.08217,,,,,,
4.402,0.5000,0.5000,0.5000,0.5000,-4.54,10.38,0.313,,1,0,,,,,,0.09521,-2.06988,,,,,,
4.435,0.5000,0.5000,0.5000,0.5000,-3.32,3.45,0.307,,1,0,,,,,,0.06032,-2.04298,,,,,,
4.464,0.5000,0.5000,0.5000,0.5000,-3.64,4.86,0.316,,1,0,,,,,,0.02979,-2.07932,,,,,,
4.491,0.5000,0.5000,0.5000,0.5000,-4.15,10.51,0.307,,1,0,,,,,,0.01578,-2.13557,,,,,,
4.519,0.5000,0.5000,0.5000,0.5000,-4.31,11.08,0.300,,1,0,,,,,,-0.01436,-2.14208,,,,,,
4.567,0.5000,0.5000,0.5000,0.5000,-2.56,14.64,0.317,,1,0,,,,,,-0.00971,-2.07805,,,,,,
4.600,0.5000,0.5000,0.5000,0.5000,-2.65,14.17,0.318,,1,0,,,,,,-0.00578,-2.06457,,,,,,
4.631,0.5000,0.5000,0.5000,0.5000,-2.92,13.62,0.312,,1,0,,,,,,-0.01426,-2.07120,,,,,,
4.673,0.5000,0.5000,0.5000,0.5000,-3.07,12.56,0.321,,1,0,,,,,,-0.01666,-2.17179,,,,,,
4.702,0.5000,0.5000,0.5000,0.5000,-2.38,14.40,0.311,,1,0,,,,,,-0.00936,-2.33432,,,,,,
4.733,0.5000,0.5000,0.5000,0.5000,-2.62,15.81,0.306,,1,0,,,,,,-0.00622,-2.46525,,,,,,
4.761,0.5000,0.5000,0.5000,0.5000,-1.90,17.17,0.312,,1,0,,,,,,0.03171,-2.41594,,,,,,
4.792,0.5000,0.5000,0.5000,0.5000,-1.59,17.50,0.326,,1,0,,,,,,0.05808,-2.15430,,,,,,
4.824,0.5000,0.5000,0.5000,0.5000,-1.70,16.78,0.321,,1,0,,,,,,0.05916,-2.01874,,,,,,
4.857,0.5000,0.5000,0.5000,0.5000,-1.65,16.67,0.315,,1,0,,,,,,0.10061,-2.17379,,,,,,
4.904,0.5000,0.5000,0.5000,0.5000,-2.69,17.38,0.286,,1,0,,,,,,0.14574,-2.51590,,,,,,
4.954,0.5000,0.5000,0.5000,0.5000,-2.24,18.62,0.314,,1,0,,,,,,0.13738,-2.56799,,,,,,
5.000,0.5000,0.5000,0.5000,0.5000,-2.15,20.24,0.336,,1,0,,,,,,0.15299,-2.50493,,,,,,
5.056,0.5000,0.5000,0.5000,0.5000,-1.49,19.52,0.336,,1,0,,,,,,0.19537,-2.14698,,,,,,
5.099,0.5000,0.5000,0.5000,0.5000,-1.68,19.67,0.336,,1,0,,,,,,0.19326,-2.04012,,,,,,
5.167,0.5000,0.5000,0.5000,0.5000,-2.59,19.84,0.323,,1,0,,,,,,0.22195,-2.13727,,,,,,
5.227,0.5000,0.5000,0.5000,0.5000,-2.82,20.73,0.367,,1,0,,,,,,0.19687,-1.99608,,,,,,
5.291,0.5000,0.5000,0.5000,0.5000,-2.49,20.47,0.366,,1,0,,,,,,0.20638,-1.98695,,,,,,
5.357,0.5000,0.5000,0.5000,0.5000,-3.18,19.89,0.374,,1,0,,,,,,0.16627,-2.05091,,,,,,
5.422,0.5000,0.5000,0.5000,0.5000,-2.57,21.02,0.379,,1,0,,,,,,0.15070,-2.01924,,,,,,
5.482,0.5000,0.5000,0.5000,0.5000,-2.38,21.05,0.379,,1,0,,,,,,0.15001,-2.01165,,,,,,
5.546,0.5000,0.5000,0.5000,0.5000,-2.81,21.02,0.383,,1,0,,,,,,0.15819,-2.09079,,,,,,
5.609,0.5000,0.5000,0.5000,0.5000,-2.49,21.43,0.371,,1,0,,,,,,0.23736,-2.11960,,,,,,
5.673,0.5000,0.5000,0.5000,0.5000,-3.34,20.96,0.373,,1,0,,,,,,0.59050,-1.85823,,,,,,
5.749,0.5000,0.5000,0.5000,0.5000,-2.80,19.51,0.370,,1,0,,,,,,0.58833,-1.90592,,,,,,
5.825,0.5000,0.5000,0.5000,0.5000,-3.09,14.86,0.401,,1,0,,,,,,0.28607,-1.90643,,,,,,
5.879,0.5000,0.5000,0.5000,0.5000,-2.56,16.80,0.424,,1,0,,,,,,0.22514,-2.02592,,,,,,
5.942,0.5000,0.5000,0.5000,0.5000,-2.46,18.10,0.425,,1,0,,,,,,0.15136,-2.15376,,,,,,
6.006,0.5000,0.5000,0.5000,0.5000,-2.42,15.87,0.437,,1,0,,,,,,-0.17106,-2.15679,,,,,,
6.070,0.5000,0.5000,0.5000,0.5000,-2.78,19.78,0.437,,1,0,,,,,,-0.25617,-2.22451,,,,,,
6.133,0.5000,0.5000,0.5000,0.5000,-2.93,20.98,0.435,,1,0,,,,,,-0.28418,-2.29802,,,,,,
6.188,0.5000,0.5000,0.5000,0.5000,-2.55,22.17,0.433,,1,0,,,,,,-0.30534,-2.32875,,,,,,
6.244,0.5000,0.5000,0.5000,0.5000,-2.80,23.83,0.431,,1,0,,,,,,-0.21807,-2.51501,,,,,,
6.313,0.5000,0.5000,0.5000,0.5000,-2.76,22.31,0.418,,1,0,,,,,,-0.04896,-2.54765,,,,,,
6.370,0.5000,0.5000,0.5000,0.5000,-2.51,21.84,0.418,,1,0,,,,,,0.09344,-2.49822,,,,,,
6.444,0.5000,0.5000,0.5000,0.5000,-2.42,21.04,0.415,,1,0,,,,,,0.24492,-2.44852,,,,,,
6.499,0.5000,0.5000,0.5000,0.5000,-3.28,17.24,0.433,,1,0,,,,,,0.47815,-2.57227,,,,,,
6.566,0.5000,0.5000,0.5000,0.5000,-2.82,15.89,0.436,,1,0,,,,,,0.48480,-2.59506,,,,,,
6.626,0.5000,0.5000,0.5000,0.5000,-2.22,16.12,0.435,,1,0,,,,,,0.43289,-2.63336,,,,,,
6.685,0.5000,0.5000,0.5000,0.5000,-0.85,20.91,0.430,,1,0,,,,,,-0.14177,-2.93076,,,,,,
6.733,0.5000,0.5000,0.5000,0.5000,-1.27,18.72,0.434,,1,0,,,,,,-0.27040,-2.92811,,,,,,
6.789,0.5000,0.5000,0.5000,0.5000,-1.23,18.73,0.434,,1,0,,,,,,-0.37704,-2.92584,,,,,,
6.842,0.5000,0.5000,0.5000,0.5000,-1.01,17.22,0.437,,1,0,,,,,,-0.42288,-2.91778,,,,,,
6.900,0.5000,0.5000,0.5000,0.5000,-1.44,18.74,0.435,,1,0,,,,,,-0.82678,-2.94197,,,,,,
6.964,0.5000,0.5000,0.5000,0.5000,-1.33,20.67,0.446,,1,0,,,,,,-0.90504,-2.94897,,,,,,
7.012,0.5000,0.5000,0.5000,0.5000,-0.88,21.57,0.445,,1,0,,,,,,-1.02146,-2.98986,,,,,,
7.073,0.5000,0.5000,0.5000,0.5000,-0.65,21.74,0.434,,1,0,,,,,,-1.16142,-3.06509,,,,,,
7.123,0.5000,0.5000,0.5000,0.5000,-0.46,21.83,0.438,,1,0,,,,,,-1.19671,-3.10408,,,,,,
7.170,0.5000,0.5000,0.5000,0.5000,-0.39,20.00,0.432,,1,0,,,,,,-1.15770,-3.05701,,,,,,
7.221,0.5000,0.5000,0.5000,0.5000,-0.44,19.88,0.434,,1,0,,,,,,-1.15594,-3.06410,,,,,,
7.271,0.5000,0.5000,0.5000,0.5000,-0.88,17.82,0.428,,1,0,,,,,,-0.63615,-3.09902,,,,,,
7.321,0.5000,0.5000,0.5000,0.5000,-1.29,-7.09,0.438,,1,0,,,,,,-0.24609,-3.12132,,,,,,
7.387,0.5000,0.5000,0.5000,0.5000,-1.01,-17.12,0.444,,1,0,,,,,,-0.01803,-3.16353,,,,,,
7.452,0.5000,0.5000,0.5000,0.5000,-0.74,-20.97,0.449,,1,0,,,,,,0.19675,-3.29140,,,,,,
7.505,0.5000,0.5000,0.5000,0.5000,-2.04,-25.45,0.435,,1,0,,,,,,0.48526,-3.22244,,,,,,
7.554,0.5000,0.5000,0.5000,0.5000,-0.93,-23.21,0.445,,1,0,,,,,,0.63676,-3.35767,,,,,,
7.603,0.5000,0.5000,0.5000,0.5000,-0.60,-22.63,0.446,,1,0,,,,,,0.68435,-3.44711,,,,,,
7.654,0.5000,0.5000,0.5000,0.5000,-0.84,-22.93,0.432,,1,0,,,,,,0.67911,-3.49392,,,,,,
7.719,0.5000,0.5000,0.5000,0.5000,-0.96,-22.98,0.432,,1,0,,,,,,0.68958,-3.41704,,,,,,
7.785,0.5000,0.5000,0.5000,0.5000,-1.10,-22.82,0.425,,1,0,,,,,,0.72441,-3.43362,,,,,,
7.835,0.5000,0.5000,0.5000,0.5000,-1.19,-21.88,0.427,,1,0,,,,,,0.73903,-3.43301,,,,,,
7.883,0.5000,0.5000,0.5000,0.5000,-1.60,-21.68,0.409,,1,0,,,,,,0.74547,-3.41634,,,,,,
7.929,0.5000,0.5000,0.5000,0.5000,-1.82,-21.63,0.401,,1,0,,,,,,0.73845,-3.32911,,,,,,
7.971,0.5000,0.5000,0.5000,0.5000,-1.56,-21.24,0.403,,1,0,,,,,,0.73723,-3.32185,,,,,,
8.031,0.5000,0.5000,0.5000,0.5000,-1.61,-19.48,0.410,,1,0,,,,,,0.35671,-3.20651,,,,,,
8.082,0.5000,0.5000,0.5000,0.5000,-1.43,-19.32,0.406,,1,0,,,,,,0.09468,-3.13926,,,,,,
8.125,0.5000,0.5000,0.5000,0.5000,-1.24,-17.99,0.403,,1,0,,,,,,0.00505,-3.17293,,,,,,
