time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.684,0.5000,0.5000,0.5000,0.5000,4.49,2.75,0.456,,1,0,,
0.745,0.5000,0.5000,0.5000,0.5000,4.45,2.47,0.459,,1,0,,
0.767,0.5000,0.5000,0.5000,0.5000,4.41,2.30,0.456,,1,0,,
0.791,0.5000,0.5000,0.5000,0.5000,4.41,2.60,0.457,,1,0,,
0.816,0.5000,0.5000,0.5000,0.5000,4.36,3.42,0.459,,1,0,,
0.843,0.5000,0.5000,0.5000,0.5000,4.32,4.39,0.456,,1,0,,
0.870,0.5000,0.5000,0.5000,0.5000,4.31,5.41,0.468,,1,0,,
0.898,0.5000,0.5000,0.5000,0.5000,4.27,6.74,0.494,,1,0,,
0.924,0.5000,0.5000,0.5000,0.5000,4.25,7.94,0.491,,1,0,,
0.949,0.5000,0.5000,0.5000,0.5000,4.25,8.94,0.500,,1,0,,
0.973,0.5000,0.5000,0.5000,0.5000,4.27,9.94,0.535,,1,0,,
0.998,0.5000,0.5000,0.5000,0.5000,4.31,11.04,0.540,,1,0,,
1.022,0.5000,0.5000,0.5000,0.5000,4.37,11.91,0.552,,1,0,,
1.053,0.5000,0.5000,0.5000,0.5000,4.49,12.64,0.536,,1,0,,
1.091,0.5000,0.5000,0.5000,0.5000,4.60,13.36,0.523,,1,0,,
1.119,0.5000,0.5000,0.5000,0.5000,4.59,12.75,0.535,,1,0,,
1.151,0.5000,0.5000,0.5000,0.5000,4.73,13.55,0.518,,1,0,,
1.184,0.5000,0.5000,0.5000,0.5000,4.89,14.03,0.537,,1,0,,
1.215,0.5000,0.5000,0.5000,0.5000,5.07,14.64,0.534,,1,0,,
1.248,0.5000,0.5000,0.5000,0.5000,5.26,15.14,0.535,,1,0,,
1.280,0.5000,0.5000,0.5000,0.5000,5.47,15.75,0.537,,1,0,,
1.309,0.5000,0.5000,0.5000,0.5000,5.70,16.21,0.532,,1,0,,
1.342,0.5000,0.5000,0.5000,0.5000,5.88,16.60,0.521,,1,0,,
1.373,0.5000,0.5000,0.5000,0.5000,6.05,16.98,0.517,,1,0,,
1.408,0.5000,0.5000,0.5000,0.5000,6.22,17.53,0.520,,1,0,,
1.476,0.5000,0.5000,0.5000,0.5000,6.57,18.61,0.527,,1,0,,
1.501,0.5000,0.5000,0.5000,0.5000,6.74,19.12,0.523,,1,0,,
1.533,0.5000,0.5000,0.5000,0.5000,6.92,19.61,0.522,,1,0,,
1.581,0.5000,0.5000,0.5000,0.5000,7.20,20.17,0.515,,1,0,,
1.613,0.5000,0.5000,0.5000,0.5000,7.35,20.38,0.516,,1,0,,
1.639,0.5000,0.5000,0.5000,0.5000,7.46,20.52,0.516,,1,0,,
1.663,0.5000,0.5000,0.5000,0.5000,7.57,20.71,0.518,,1,0,,
1.686,0.5000,0.5000,0.5000,0.5000,7.67,20.89,0.515,,1,0,,
1.712,0.5000,0.5000,0.5000,0.5000,7.77,21.08,0.514,,1,0,,
1.741,0.5000,0.5000,0.5000,0.5000,7.86,21.32,0.511,,1,0,,
1.773,0.5000,0.5000,0.5000,0.5000,7.94,21.34,0.509,,1,0,,
1.806,0.5000,0.5000,0.5000,0.5000,8.03,21.47,0.512,,1,0,,
1.873,0.5000,0.5000,0.5000,0.5000,8.19,21.15,0.513,,1,0,,
2.472,0.5000,0.5000,0.5000,0.5000,9.91,25.88,0.381,,1,0,,
2.494,0.5000,0.5000,0.5000,0.5000,9.99,26.08,0.389,,1,0,,
2.518,0.5000,0.5000,0.5000,0.5000,10.08,26.23,0.402,,1,0,,
2.542,0.5000,0.5000,0.5000,0.5000,10.18,26.38,0.408,,1,0,,
2.569,0.5000,0.5000,0.5000,0.5000,10.25,26.51,0.401,,1,0,,
2.595,0.5000,0.5000,0.5000,0.5000,10.31,26.65,0.405,,1,0,,
2.620,0.5000,0.5000,0.5000,0.5000,10.37,26.81,0.412,,1,0,,
2.644,0.5000,0.5000,0.5000,0.5000,10.41,26.96,0.422,,1,0,,
2.666,0.5000,0.5000,0.5000,0.5000,10.45,27.11,0.409,,1,0,,
2.700,0.5000,0.5000,0.5000,0.5000,10.47,27.15,0.409,,1,0,,
2.733,0.5000,0.5000,0.5000,0.5000,10.49,27.17,0.406,,1,0,,
2.766,0.5000,0.5000,0.5000,0.5000,10.52,27.22,0.407,,1,0,,
2.799,0.5000,0.5000,0.5000,0.5000,10.55,27.30,0.410,,1,0,,
2.831,0.5000,0.5000,0.5000,0.5000,10.59,27.35,0.411,,1,0,,
2.862,0.5000,0.5000,0.5000,0.5000,10.60,27.36,0.405,,1,0,,
2.895,0.5000,0.5000,0.5000,0.5000,10.64,27.53,0.410,,1,0,,
2.925,0.5000,0.5000,0.5000,0.5000,10.66,27.63,0.406,,1,0,,
2.957,0.5000,0.5000,0.5000,0.5000,10.68,27.60,0.403,,1,0,,
2.990,0.5000,0.5000,0.5000,0.5000,10.68,27.53,0.405,,1,0,,
3.023,0.5000,0.5000,0.5000,0.5000,10.68,27.47,0.406,,1,0,,
3.057,0.5000,0.5000,0.5000,0.5000,10.70,27.46,0.407,,1,0,,
