time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,face_detected,calibrated,calib_mgae_deg,calib_rmse
1.093,0.5000,0.5000,0.5000,0.5000,-157.75,24.18,1,0,,
1.182,0.5000,0.5000,0.5000,0.5000,-157.22,25.83,1,0,,
1.225,0.5000,0.5000,0.5000,0.5000,-156.88,26.30,1,0,,
1.264,0.5000,0.5000,0.5000,0.5000,-156.58,25.78,1,0,,
1.300,0.5000,0.5000,0.5000,0.5000,-157.09,27.81,1,0,,
1.336,0.5000,0.5000,0.5000,0.5000,-157.13,28.13,1,0,,
1.384,0.5000,0.5000,0.5000,0.5000,-155.36,25.17,1,0,,
1.418,0.5000,0.5000,0.5000,0.5000,-153.63,25.17,1,0,,
1.458,0.5000,0.5000,0.5000,0.5000,-153.63,22.77,1,0,,
1.494,0.5000,0.5000,0.5000,0.5000,-150.76,21.69,1,0,,
1.528,0.5000,0.5000,0.5000,0.5000,-151.23,22.53,1,0,,
1.577,0.5000,0.5000,0.5000,0.5000,-152.20,21.11,1,0,,
1.614,0.5000,0.5000,0.5000,0.5000,-154.55,21.08,1,0,,
1.646,0.5000,0.5000,0.5000,0.5000,-150.88,18.34,1,0,,
1.685,0.5000,0.5000,0.5000,0.5000,-149.56,21.26,1,0,,
1.739,0.5000,0.5000,0.5000,0.5000,-149.60,19.89,1,0,,
1.774,0.5000,0.5000,0.5000,0.5000,-156.15,23.04,1,0,,
1.811,0.5000,0.5000,0.5000,0.5000,-156.31,23.60,1,0,,
1.861,0.5000,0.5000,0.5000,0.5000,-155.55,24.60,1,0,,
1.898,0.5000,0.5000,0.5000,0.5000,-155.66,23.62,1,0,,
1.935,0.5000,0.5000,0.5000,0.5000,-155.14,21.86,1,0,,
1.968,0.5000,0.5000,0.5000,0.5000,-155.11,20.71,1,0,,
2.006,0.5000,0.5000,0.5000,0.5000,-154.84,22.85,1,0,,
2.039,0.5000,0.5000,0.5000,0.5000,-155.24,23.50,1,0,,
2.072,0.5000,0.5000,0.5000,0.5000,-156.27,24.50,1,0,,
2.106,0.5000,0.5000,0.5000,0.5000,-153.71,22.89,1,0,,
2.140,0.5000,0.5000,0.5000,0.5000,-152.72,25.81,1,0,,
2.174,0.5000,0.5000,0.5000,0.5000,-153.57,26.37,1,0,,
2.212,0.5000,0.5000,0.5000,0.5000,-154.55,26.59,1,0,,
2.270,0.5000,0.5000,0.5000,0.5000,-156.13,24.52,1,0,,
2.336,0.5000,0.5000,0.5000,0.5000,-155.11,23.77,1,0,,
2.398,0.5000,0.5000,0.5000,0.5000,-158.58,24.95,1,0,,
2.443,0.5000,0.5000,0.5000,0.5000,-158.94,26.13,1,0,,
2.476,0.5000,0.5000,0.5000,0.5000,-165.51,12.71,1,0,,
2.511,0.5000,0.5000,0.5000,0.5000,-164.68,11.31,1,0,,
2.545,0.5000,0.5000,0.5000,0.5000,-152.98,23.30,1,0,,
2.586,0.5000,0.5000,0.5000,0.5000,-157.33,24.09,1,0,,
2.621,0.5000,0.5000,0.5000,0.5000,-155.28,26.35,1,0,,
2.671,0.5000,0.5000,0.5000,0.5000,-155.88,25.24,1,0,,
2.734,0.5000,0.5000,0.5000,0.5000,-158.25,23.43,1,0,,
2.766,0.5000,0.5000,,,,,0,0,,
2.823,0.5000,0.5000,0.5000,0.5000,-149.75,19.64,1,0,,
2.863,0.5000,0.5000,0.5000,0.5000,-154.83,21.62,1,0,,
2.910,0.5000,0.5000,0.5000,0.5000,-156.51,21.91,1,0,,
2.963,0.5000,0.5000,0.5000,0.5000,-156.70,23.76,1,0,,
3.005,0.5000,0.5000,0.5000,0.5000,-155.19,24.14,1,0,,
3.053,0.5000,0.5000,0.5000,0.5000,-164.62,9.67,1,0,,
3.090,0.5000,0.5000,0.5000,0.5000,-161.77,24.48,1,0,,
3.128,0.5000,0.5000,0.5000,0.5000,-160.67,24.43,1,0,,
3.183,0.5000,0.5000,0.5000,0.5000,-160.24,27.13,1,0,,
3.238,0.5000,0.5000,0.5000,0.5000,-160.21,22.98,1,0,,
3.274,0.5000,0.5000,0.5000,0.5000,-151.82,20.86,1,0,,
3.307,0.5000,0.5000,0.5000,0.5000,-152.07,19.47,1,0,,
3.341,0.5000,0.5000,0.5000,0.5000,-155.29,20.50,1,0,,
3.394,0.5000,0.5000,0.5000,0.5000,-156.53,22.45,1,0,,
3.445,0.5000,0.5000,0.5000,0.5000,-158.24,23.29,1,0,,
3.481,0.5000,0.5000,0.5000,0.5000,-156.34,20.98,1,0,,
3.521,0.5000,0.5000,0.5000,0.5000,-157.08,21.66,1,0,,
3.582,0.5000,0.5000,0.5000,0.5000,-159.20,24.72,1,0,,
3.647,0.5000,0.5000,0.5000,0.5000,-154.38,24.03,1,0,,
3.712,0.5000,0.5000,0.5000,0.5000,-153.76,25.83,1,0,,
3.746,0.5000,0.5000,0.5000,0.5000,-151.74,22.34,1,0,,
3.802,0.5000,0.5000,0.5000,0.5000,-151.52,25.20,1,0,,
3.861,0.5000,0.5000,0.5000,0.5000,-153.97,24.02,1,0,,
3.923,0.5000,0.5000,0.5000,0.5000,-153.78,25.21,1,0,,
3.971,0.5000,0.5000,0.5000,0.5000,-149.94,22.69,1,0,,
4.030,0.5000,0.5000,0.5000,0.5000,-144.02,22.77,1,0,,
4.079,0.5000,0.5000,0.5000,0.5000,-168.87,12.91,1,0,,
4.119,0.5000,0.5000,0.5000,0.5000,-152.55,22.95,1,0,,
4.154,0.5000,0.5000,0.5000,0.5000,-149.53,17.72,1,0,,
4.193,0.5000,0.5000,0.5000,0.5000,-147.41,17.15,1,0,,
4.254,0.5000,0.5000,0.5000,0.5000,-146.20,19.47,1,0,,
4.304,0.5000,0.5000,0.5000,0.5000,-146.62,19.76,1,0,,
4.345,0.5000,0.5000,0.5000,0.5000,-146.97,20.99,1,0,,
4.379,0.5000,0.5000,0.5000,0.5000,-152.65,22.58,1,0,,
4.417,0.5000,0.5000,,,,,0,0,,
4.459,0.5000,0.5000,0.5000,0.5000,-164.76,13.82,1,0,,
4.502,0.5000,0.5000,0.5000,0.5000,-168.12,11.39,1,0,,
4.543,0.5000,0.5000,0.5000,0.5000,-153.30,22.71,1,0,,
4.585,0.5000,0.5000,0.5000,0.5000,-150.04,22.70,1,0,,
4.644,0.5000,0.5000,0.5000,0.5000,-165.05,13.51,1,0,,
4.701,0.5000,0.5000,,,,,0,0,,
4.734,0.5000,0.5000,,,,,0,0,,
4.767,0.5000,0.5000,,,,,0,0,,
4.812,0.5000,0.5000,0.5000,0.5000,-166.69,12.72,1,0,,
4.846,0.5000,0.5000,,,,,0,0,,
4.888,0.5000,0.5000,0.5000,0.5000,-138.69,20.37,1,0,,
4.918,0.5000,0.5000,,,,,0,0,,
4.961,0.5000,0.5000,0.5000,0.5000,-148.33,23.10,1,0,,
4.991,0.5000,0.5000,,,,,0,0,,
5.033,0.5000,0.5000,0.5000,0.5000,-143.82,23.17,1,0,,
5.064,0.5000,0.5000,,,,,0,0,,
5.118,0.5000,0.5000,,,,,0,0,,
5.156,0.5000,0.5000,0.5000,0.5000,-136.81,24.75,1,0,,
5.187,0.5000,0.5000,0.5000,0.5000,-143.18,23.37,1,0,,
5.221,0.5000,0.5000,0.5000,0.5000,-143.28,22.21,1,0,,
5.263,0.5000,0.5000,0.5000,0.5000,-146.88,23.72,1,0,,
5.302,0.5000,0.5000,0.5000,0.5000,-146.39,23.07,1,0,,
5.337,0.5000,0.5000,,,,,0,0,,
5.368,0.5000,0.5000,,,,,0,0,,
5.403,0.5000,0.5000,,,,,0,0,,
5.443,0.5000,0.5000,0.5000,0.5000,-141.32,24.31,1,0,,
5.479,0.5000,0.5000,0.5000,0.5000,-144.81,24.64,1,0,,
5.512,0.5000,0.5000,,,,,0,0,,
5.553,0.5000,0.5000,,,,,0,0,,
5.635,0.5000,0.5000,0.5000,0.5000,-142.00,25.45,1,0,,
5.675,0.5000,0.5000,0.5000,0.5000,-164.99,14.43,1,0,,
5.716,0.5000,0.5000,,,,,0,0,,
5.752,0.5000,0.5000,0.5000,0.5000,-139.50,21.64,1,0,,
5.786,0.5000,0.5000,0.5000,0.5000,-150.59,24.84,1,0,,
5.817,0.5000,0.5000,,,,,0,0,,
5.854,0.5000,0.5000,,,,,0,0,,
5.890,0.5000,0.5000,,,,,0,0,,
5.931,0.5000,0.5000,,,,,0,0,,
5.967,0.5000,0.5000,,,,,0,0,,
6.036,0.5000,0.5000,,,,,0,0,,
6.090,0.5000,0.5000,,,,,0,0,,
6.131,0.5000,0.5000,,,,,0,0,,
6.165,0.5000,0.5000,,,,,0,0,,
6.201,0.5000,0.5000,,,,,0,0,,
6.242,0.5000,0.5000,,,,,0,0,,
6.291,0.5000,0.5000,,,,,0,0,,
6.342,0.5000,0.5000,,,,,0,0,,
6.390,0.5000,0.5000,,,,,0,0,,
6.427,0.5000,0.5000,,,,,0,0,,
6.458,0.5000,0.5000,,,,,0,0,,
6.505,0.5000,0.5000,,,,,0,0,,
6.537,0.5000,0.5000,,,,,0,0,,
6.586,0.5000,0.5000,,,,,0,0,,
6.634,0.5000,0.5000,,,,,0,0,,
6.690,0.5000,0.5000,,,,,0,0,,
6.738,0.5000,0.5000,,,,,0,0,,
6.784,0.5000,0.5000,0.5000,0.5000,-171.07,13.72,1,0,,
6.817,0.5000,0.5000,,,,,0,0,,
6.860,0.5000,0.5000,,,,,0,0,,
6.921,0.5000,0.5000,0.5000,0.5000,-137.84,21.94,1,0,,
6.968,0.5000,0.5000,,,,,0,0,,
7.008,0.5000,0.5000,,,,,0,0,,
7.064,0.5000,0.5000,,,,,0,0,,
7.117,0.5000,0.5000,,,,,0,0,,
7.163,0.5000,0.5000,,,,,0,0,,
7.207,0.5000,0.5000,,,,,0,0,,
7.245,0.5000,0.5000,,,,,0,0,,
7.280,0.5000,0.5000,,,,,0,0,,
7.314,0.5000,0.5000,,,,,0,0,,
7.346,0.5000,0.5000,,,,,0,0,,
7.380,0.5000,0.5000,,,,,0,0,,
7.418,0.5000,0.5000,,,,,0,0,,
7.455,0.5000,0.5000,,,,,0,0,,
7.515,0.5000,0.5000,,,,,0,0,,
7.591,0.5000,0.5000,,,,,0,0,,
7.641,0.5000,0.5000,,,,,0,0,,
7.701,0.5000,0.5000,,,,,0,0,,
7.774,0.5000,0.5000,0.5000,0.5000,-166.65,11.95,1,0,,
7.810,0.5000,0.5000,,,,,0,0,,
7.842,0.5000,0.5000,,,,,0,0,,
7.889,0.5000,0.5000,0.5000,0.5000,-165.01,11.46,1,0,,
7.927,0.5000,0.5000,,,,,0,0,,
7.959,0.5000,0.5000,,,,,0,0,,
7.993,0.5000,0.5000,,,,,0,0,,
8.030,0.5000,0.5000,,,,,0,0,,
8.072,0.5000,0.5000,,,,,0,0,,
8.109,0.5000,0.5000,,,,,0,0,,
8.148,0.5000,0.5000,,,,,0,0,,
8.195,0.5000,0.5000,0.5000,0.5000,-141.76,25.07,1,0,,
8.232,0.5000,0.5000,0.5000,0.5000,-162.80,9.45,1,0,,
8.269,0.5000,0.5000,0.5000,0.5000,-165.48,11.94,1,0,,
8.308,0.5000,0.5000,,,,,0,0,,
8.365,0.5000,0.5000,,,,,0,0,,
8.413,0.5000,0.5000,,,,,0,0,,
8.450,0.5000,0.5000,,,,,0,0,,
8.485,0.5000,0.5000,,,,,0,0,,
8.528,0.5000,0.5000,0.5000,0.5000,-138.13,24.15,1,0,,
8.585,0.5000,0.5000,,,,,0,0,,
8.638,0.5000,0.5000,,,,,0,0,,
8.698,0.5000,0.5000,,,,,0,0,,
8.757,0.5000,0.5000,0.5000,0.5000,-169.41,5.22,1,0,,
