time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.746,,,,,-8.42,-3.83,0.176,,1,0,,
0.799,,,,,-9.21,-1.41,0.168,,1,0,,
0.828,,,,,-9.41,-2.19,0.191,,1,0,,
0.860,,,,,-9.44,-1.78,0.163,,1,0,,
0.885,,,,,-9.30,-2.03,0.170,,1,0,,
0.943,,,,,-9.20,-2.39,0.159,,1,0,,
0.972,,,,,-9.07,-2.59,0.164,,1,0,,
1.001,0.5000,0.5000,0.5000,0.5000,-8.97,-2.26,0.218,,1,0,,
1.034,0.5000,0.5000,0.5000,0.5000,-8.94,-2.04,0.227,,1,0,,
1.067,0.5000,0.5000,0.5000,0.5000,-8.49,-1.31,0.222,,1,0,,
1.109,0.5000,0.5000,0.5000,0.5000,-8.79,-0.75,0.212,,1,0,,
1.150,0.5000,0.5000,0.5000,0.5000,-8.74,-0.66,0.208,,1,0,,
1.185,0.5000,0.5000,0.5000,0.5000,-7.67,0.34,0.232,,1,0,,
1.213,0.5000,0.5000,0.5000,0.5000,-7.49,0.46,0.226,,1,0,,
1.238,0.5000,0.5000,0.5000,0.5000,-7.35,0.47,0.226,,1,0,,
1.264,0.5000,0.5000,0.5000,0.5000,-7.42,0.66,0.224,,1,0,,
1.290,0.5000,0.5000,0.5000,0.5000,-7.44,1.70,0.243,,1,0,,
1.321,0.5000,0.5000,0.5000,0.5000,-7.50,3.18,0.253,,1,0,,
1.359,0.5000,0.5000,0.5000,0.5000,-7.12,4.41,0.280,,1,0,,
1.422,0.5000,0.5000,0.5000,0.5000,-7.90,8.95,0.334,,1,0,,
1.465,0.5000,0.5000,0.5000,0.5000,-8.46,8.06,0.331,,1,0,,
1.496,0.5000,0.5000,0.5000,0.5000,-8.31,9.37,0.320,,1,0,,
1.525,0.5000,0.5000,0.5000,0.5000,-8.35,9.38,0.318,,1,0,,
1.569,0.5000,0.5000,0.5000,0.5000,-8.40,8.62,0.335,,1,0,,
1.603,0.5000,0.5000,0.5000,0.5000,-8.36,9.01,0.351,,1,0,,
1.627,0.5000,0.5000,0.5000,0.5000,-7.85,7.95,0.349,,1,0,,
1.664,0.5000,0.5000,0.5000,0.5000,-7.82,7.81,0.341,,1,0,,
1.706,0.5000,0.5000,0.5000,0.5000,-7.83,7.52,0.335,,1,0,,
1.734,0.5000,0.5000,0.5000,0.5000,-7.83,7.05,0.328,,1,0,,
1.760,0.5000,0.5000,0.5000,0.5000,-7.80,7.25,0.329,,1,0,,
1.786,0.5000,0.5000,0.5000,0.5000,-7.79,7.64,0.326,,1,0,,
1.809,0.5000,0.5000,0.5000,0.5000,-8.25,7.72,0.298,,1,0,,
1.833,0.5000,0.5000,0.5000,0.5000,-7.95,8.35,0.306,,1,0,,
1.860,0.5000,0.5000,0.5000,0.5000,-8.02,8.83,0.313,,1,0,,
1.897,0.5000,0.5000,0.5000,0.5000,-8.22,9.30,0.315,,1,0,,
1.968,0.5000,0.5000,0.5000,0.5000,-7.54,8.85,0.337,,1,0,,
1.996,0.5000,0.5000,0.5000,0.5000,-7.76,8.85,0.335,,1,0,,
2.022,0.5000,0.5000,0.5000,0.5000,-7.68,11.68,0.393,,1,0,,
2.050,0.5000,0.5000,0.5000,0.5000,-7.67,13.26,0.398,,1,0,,
2.080,0.5000,0.5000,0.5000,0.5000,-6.60,15.05,0.474,,1,0,,
