time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.606,0.5000,0.5000,0.5000,0.5000,3.85,18.25,0.512,,1,0,,
0.648,0.5000,0.5000,0.5000,0.5000,3.90,18.09,0.514,,1,0,,
0.688,0.5000,0.5000,0.5000,0.5000,3.91,17.67,0.509,,1,0,,
0.723,0.5000,0.5000,0.5000,0.5000,4.32,18.10,0.507,,1,0,,
0.752,0.5000,0.5000,0.5000,0.5000,4.26,19.21,0.504,,1,0,,
0.780,0.5000,0.5000,0.5000,0.5000,4.20,19.50,0.504,,1,0,,
0.804,0.5000,0.5000,0.5000,0.5000,4.18,19.56,0.504,,1,0,,
0.831,0.5000,0.5000,0.5000,0.5000,4.25,19.68,0.505,,1,0,,
0.859,0.5000,0.5000,0.5000,0.5000,4.23,19.85,0.507,,1,0,,
0.885,0.5000,0.5000,0.5000,0.5000,4.26,19.44,0.507,,1,0,,
0.911,0.5000,0.5000,0.5000,0.5000,4.22,19.36,0.510,,1,0,,
0.937,0.5000,0.5000,0.5000,0.5000,4.13,20.02,0.509,,1,0,,
0.971,0.5000,0.5000,0.5000,0.5000,4.29,20.28,0.513,,1,0,,
1.003,0.5000,0.5000,0.5000,0.5000,4.14,20.25,0.513,,1,0,,
1.030,0.5000,0.5000,0.5000,0.5000,4.02,20.63,0.515,,1,0,,
1.069,0.5000,0.5000,0.5000,0.5000,4.16,21.10,0.513,,1,0,,
1.106,0.5000,0.5000,0.5000,0.5000,4.00,21.46,0.506,,1,0,,
1.130,0.5000,0.5000,0.5000,0.5000,4.03,21.72,0.504,,1,0,,
1.160,0.5000,0.5000,0.5000,0.5000,4.04,22.06,0.504,,1,0,,
1.194,0.5000,0.5000,0.5000,0.5000,4.34,21.01,0.500,,1,0,,
1.227,0.5000,0.5000,0.5000,0.5000,4.04,21.90,0.495,,1,0,,
1.256,0.5000,0.5000,0.5000,0.5000,4.23,20.88,0.497,,1,0,,
1.289,0.5000,0.5000,0.5000,0.5000,4.27,19.98,0.493,,1,0,,
1.326,0.5000,0.5000,0.5000,0.5000,4.18,19.86,0.491,,1,0,,
1.357,0.5000,0.5000,0.5000,0.5000,4.06,19.55,0.496,,1,0,,
1.428,0.5000,0.5000,0.5000,0.5000,4.17,20.57,0.492,,1,0,,
1.458,0.5000,0.5000,0.5000,0.5000,4.13,21.12,0.495,,1,0,,
1.485,0.5000,0.5000,0.5000,0.5000,4.32,20.40,0.497,,1,0,,
1.531,0.5000,0.5000,0.5000,0.5000,4.24,20.66,0.493,,1,0,,
1.562,0.5000,0.5000,0.5000,0.5000,4.09,20.57,0.488,,1,0,,
1.592,0.5000,0.5000,0.5000,0.5000,3.97,20.45,0.485,,1,0,,
1.620,0.5000,0.5000,0.5000,0.5000,4.09,20.44,0.480,,1,0,,
1.642,0.5000,0.5000,0.5000,0.5000,3.99,20.41,0.479,,1,0,,
1.672,0.5000,0.5000,0.5000,0.5000,3.99,20.42,0.480,,1,0,,
1.696,0.5000,0.5000,0.5000,0.5000,3.94,20.45,0.482,,1,0,,
1.722,0.5000,0.5000,0.5000,0.5000,3.89,20.57,0.486,,1,0,,
1.752,0.5000,0.5000,0.5000,0.5000,3.88,20.87,0.492,,1,0,,
1.823,0.5000,0.5000,0.5000,0.5000,3.93,21.40,0.495,,1,0,,
1.864,0.5000,0.5000,0.5000,0.5000,3.89,20.91,0.500,,1,0,,
1.892,0.5000,0.5000,0.5000,0.5000,3.97,20.90,0.502,,1,0,,
1.917,0.5000,0.5000,0.5000,0.5000,4.02,20.93,0.504,,1,0,,
1.943,0.5000,0.5000,0.5000,0.5000,4.09,20.89,0.506,,1,0,,
1.974,0.5000,0.5000,0.5000,0.5000,4.12,21.00,0.504,,1,0,,
2.005,0.5000,0.5000,0.5000,0.5000,4.07,21.04,0.504,,1,0,,
2.039,0.5000,0.5000,0.5000,0.5000,3.92,20.96,0.501,,1,0,,
2.073,0.5000,0.5000,0.5000,0.5000,4.00,21.47,0.504,,1,0,,
2.117,0.5000,0.5000,0.5000,0.5000,4.01,21.26,0.507,,1,0,,
2.149,0.5000,0.5000,0.5000,0.5000,4.10,21.36,0.509,,1,0,,
2.172,0.5000,0.5000,0.5000,0.5000,4.18,21.38,0.510,,1,0,,
2.214,0.5000,0.5000,0.5000,0.5000,4.19,21.43,0.507,,1,0,,
2.245,0.5000,0.5000,0.5000,0.5000,4.13,21.74,0.506,,1,0,,
