time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
0.594,0.5000,0.5000,0.5000,0.5000,-22.01,15.70,0.484,,1,0,,,,,,1.82513,-19.44755,,,,,,
0.641,0.5000,0.5000,0.5000,0.5000,-22.07,15.98,0.503,,1,0,,,,,,1.67611,-19.22161,,,,,,
0.688,0.5000,0.5000,0.5000,0.5000,-22.09,16.37,0.483,,1,0,,,,,,1.50948,-19.09873,,,,,,
0.706,0.5000,0.5000,0.5000,0.5000,-22.09,16.78,0.509,,1,0,,,,,,1.40734,-19.64469,,,,,,
0.736,0.5000,0.5000,0.5000,0.5000,-22.12,17.25,0.525,,1,0,,,,,,1.26127,-19.78158,,,,,,
0.773,0.5000,0.5000,0.5000,0.5000,-22.14,17.72,0.523,,1,0,,,,,,1.17804,-19.88015,,,,,,
0.817,0.5000,0.5000,0.5000,0.5000,-22.11,18.04,0.481,,1,0,,,,,,1.17177,-20.31705,,,,,,
0.833,0.5000,0.5000,0.5000,0.5000,-22.04,18.23,0.489,,1,0,,,,,,1.05660,-20.22566,,,,,,
0.863,0.5000,0.5000,0.5000,0.5000,-21.98,18.39,0.503,,1,0,,,,,,0.95804,-20.33490,,,,,,
0.905,0.5000,0.5000,0.5000,0.5000,-21.90,18.41,0.516,,1,0,,,,,,0.80342,-19.94992,,,,,,
0.940,0.5000,0.5000,0.5000,0.5000,-21.77,18.42,0.525,,1,0,,,,,,0.61731,-19.42398,,,,,,
0.973,0.5000,0.5000,0.5000,0.5000,-21.64,18.40,0.527,,1,0,,,,,,0.51553,-20.29549,,,,,,
1.007,0.5000,0.5000,0.5000,0.5000,-21.56,18.38,0.530,,1,0,,,,,,0.31916,-19.39792,,,,,,
1.044,0.5000,0.5000,0.5000,0.5000,-21.49,18.38,0.509,,1,0,,,,,,0.22829,-20.43282,,,,,,
1.072,0.5000,0.5000,0.5000,0.5000,-21.43,18.43,0.495,,1,0,,,,,,0.22681,-20.66859,,,,,,
1.113,0.5000,0.5000,0.5000,0.5000,-21.33,18.49,0.500,,1,0,,,,,,0.26877,-20.16922,,,,,,
1.143,0.5000,0.5000,0.5000,0.5000,-21.29,18.63,0.503,,1,0,,,,,,0.36890,-20.16957,,,,,,
1.179,0.5000,0.5000,0.5000,0.5000,-21.24,18.23,0.482,,1,0,,,,,,0.56630,-20.21014,,,,,,
1.205,0.5000,0.5000,0.5000,0.5000,-21.20,17.78,0.499,,1,0,,,,,,0.96007,-19.28984,,,,,,
1.248,0.5000,0.5000,0.5000,0.5000,-21.15,17.38,0.500,,1,0,,,,,,1.48204,-20.06616,,,,,,
1.266,0.5000,0.5000,0.5000,0.5000,-21.09,16.40,0.471,,1,0,,,,,,2.16557,-20.37286,,,,,,
1.316,0.5000,0.5000,0.5000,0.5000,-21.02,14.79,0.415,,1,0,,,,,,3.07237,-20.14403,,,,,,
1.341,0.5000,0.5000,0.5000,0.5000,-21.17,12.73,0.339,,1,0,,,,,,4.20497,-20.43395,,,,,,
1.364,0.5000,0.5000,0.5000,0.5000,-21.20,10.97,0.347,,1,0,,,,,,5.11123,-19.96115,,,,,,
