time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.689,0.5000,0.5000,0.5000,0.5000,-1.73,16.91,0.442,,1,0,,
0.739,0.5000,0.5000,0.5000,0.5000,-1.63,16.93,0.435,,1,0,,
0.768,0.5000,0.5000,0.5000,0.5000,-1.58,17.00,0.440,,1,0,,
0.794,0.5000,0.5000,0.5000,0.5000,-1.56,17.14,0.491,,1,0,,
0.819,0.5000,0.5000,0.5000,0.5000,-1.55,17.32,0.511,,1,0,,
0.849,0.5000,0.5000,0.5000,0.5000,-1.55,17.42,0.526,,1,0,,
0.875,0.5000,0.5000,0.5000,0.5000,-1.58,17.61,0.519,,1,0,,
0.903,0.5000,0.5000,0.5000,0.5000,-1.58,17.69,0.530,,1,0,,
0.927,0.5000,0.5000,0.5000,0.5000,-1.60,17.82,0.530,,1,0,,
0.956,0.5000,0.5000,0.5000,0.5000,-1.60,17.90,0.536,,1,0,,
0.980,0.5000,0.5000,0.5000,0.5000,-1.57,17.96,0.539,,1,0,,
1.006,0.5000,0.5000,0.5000,0.5000,-1.55,18.01,0.537,,1,0,,
1.051,0.5000,0.5000,0.5000,0.5000,-1.50,18.09,0.536,,1,0,,
1.082,0.5000,0.5000,0.5000,0.5000,-1.46,18.14,0.540,,1,0,,
1.113,0.5000,0.5000,0.5000,0.5000,-1.42,17.97,0.544,,1,0,,
1.144,0.5000,0.5000,0.5000,0.5000,-1.37,17.78,0.548,,1,0,,
1.175,0.5000,0.5000,0.5000,0.5000,-1.31,17.64,0.546,,1,0,,
1.207,0.5000,0.5000,0.5000,0.5000,-1.28,17.38,0.539,,1,0,,
1.241,0.5000,0.5000,0.5000,0.5000,-1.22,17.16,0.543,,1,0,,
1.276,0.5000,0.5000,0.5000,0.5000,-1.16,17.01,0.538,,1,0,,
1.308,0.5000,0.5000,0.5000,0.5000,-1.12,16.81,0.538,,1,0,,
1.337,0.5000,0.5000,0.5000,0.5000,-1.07,16.72,0.535,,1,0,,
1.370,0.5000,0.5000,0.5000,0.5000,-1.04,16.70,0.535,,1,0,,
1.402,0.5000,0.5000,0.5000,0.5000,-1.00,16.60,0.538,,1,0,,
1.464,0.5000,0.5000,0.5000,0.5000,-0.94,16.46,0.535,,1,0,,
