time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
0.611,0.5000,0.5000,0.5000,0.5000,15.29,-66.88,0.760,,1,0,,,,,,14.25610,-2.96204,,,,,,
0.662,0.5000,0.5000,0.5000,0.5000,28.64,-29.18,0.680,,1,0,,,,,,14.13610,-2.93231,,,,,,
0.700,0.5000,0.5000,0.5000,0.5000,-34.75,-79.21,0.637,,1,0,,,,,,14.10686,-2.89455,,,,,,
0.735,0.5000,0.5000,0.5000,0.5000,8.99,-65.67,0.631,,1,0,,,,,,14.06275,-2.91925,,,,,,
0.777,0.5000,0.5000,0.5000,0.5000,-7.97,-26.52,0.632,,1,0,,,,,,13.96186,-2.90673,,,,,,
0.812,0.5000,0.5000,0.5000,0.5000,79.90,29.30,0.648,,1,0,,,,,,13.96462,-2.91516,,,,,,
0.847,0.5000,0.5000,0.5000,0.5000,-49.96,-61.21,0.647,,1,0,,,,,,13.93931,-2.90351,,,,,,
0.881,0.5000,0.5000,0.5000,0.5000,-15.18,-38.40,0.634,,1,0,,,,,,14.02682,-2.92636,,,,,,
0.912,0.5000,0.5000,0.5000,0.5000,-5.97,-27.40,0.629,,1,0,,,,,,14.01920,-2.91637,,,,,,
0.951,0.5000,0.5000,0.5000,0.5000,-36.38,-36.59,0.624,,1,0,,,,,,13.98884,-2.87666,,,,,,
0.987,0.5000,0.5000,0.5000,0.5000,-72.57,66.57,0.633,,1,0,,,,,,14.18937,-2.88819,,,,,,
1.019,0.5000,0.5000,0.5000,0.5000,-9.02,37.77,0.632,,1,0,,,,,,14.66986,-2.87275,,,,,,
1.057,0.5000,0.5000,0.5000,0.5000,-10.64,49.33,0.646,,1,0,,,,,,15.06924,-2.94474,,,,,,
1.090,0.5000,0.5000,0.5000,0.5000,-9.94,-50.33,0.645,,1,0,,,,,,14.95491,-2.91003,,,,,,
1.127,0.5000,0.5000,0.5000,0.5000,-8.92,43.68,0.608,,1,0,,,,,,14.97559,-2.88498,,,,,,
1.166,0.5000,0.5000,0.5000,0.5000,-74.38,65.79,0.607,,1,0,,,,,,14.95377,-2.86792,,,,,,
1.201,0.5000,0.5000,0.5000,0.5000,-75.43,65.93,0.596,,1,0,,,,,,14.86180,-2.85740,,,,,,
1.238,0.5000,0.5000,0.5000,0.5000,-74.69,66.11,0.593,,1,0,,,,,,14.88299,-2.82623,,,,,,
1.273,0.5000,0.5000,0.5000,0.5000,38.70,72.51,0.603,,1,0,,,,,,14.88635,-2.82682,,,,,,
1.303,0.5000,0.5000,0.5000,0.5000,38.94,72.40,0.639,,1,0,,,,,,14.82044,-2.85259,,,,,,
1.346,0.5000,0.5000,0.5000,0.5000,-78.00,66.38,0.629,,1,0,,,,,,14.79575,-2.84747,,,,,,
1.383,0.5000,0.5000,0.5000,0.5000,-71.01,66.45,0.600,,1,0,,,,,,14.70593,-2.77512,,,,,,
1.416,0.5000,0.5000,0.5000,0.5000,32.84,-59.01,0.611,,1,0,,,,,,14.58110,-2.75481,,,,,,
1.443,0.5000,0.5000,0.5000,0.5000,37.12,-41.58,0.589,,1,0,,,,,,14.55684,-2.78340,,,,,,
1.489,0.5000,0.5000,0.5000,0.5000,-5.75,-24.86,0.580,,1,0,,,,,,14.70371,-2.79000,,,,,,
1.524,0.5000,0.5000,0.5000,0.5000,-1.53,-28.60,0.564,,1,0,,,,,,14.66588,-2.78946,,,,,,
1.558,0.5000,0.5000,0.5000,0.5000,-2.11,32.80,0.562,,1,0,,,,,,14.32767,-2.76838,,,,,,
1.591,0.5000,0.5000,0.5000,0.5000,5.00,-68.33,0.563,,1,0,,,,,,14.19393,-2.77945,,,,,,
1.629,0.5000,0.5000,0.5000,0.5000,4.07,-35.93,0.566,,1,0,,,,,,14.26784,-2.78437,,,,,,
1.664,0.5000,0.5000,0.5000,0.5000,-0.57,-33.90,0.572,,1,0,,,,,,14.16437,-2.79022,,,,,,
1.705,0.5000,0.5000,0.5000,0.5000,-4.62,-19.86,0.559,,1,0,,,,,,14.12013,-2.77772,,,,,,
1.738,0.5000,0.5000,0.5000,0.5000,41.49,-33.65,0.564,,1,0,,,,,,14.22216,-2.89661,,,,,,
1.772,0.5000,0.5000,0.5000,0.5000,-4.20,-14.97,0.580,,1,0,,,,,,13.99976,-2.87404,,,,,,
1.808,0.5000,0.5000,0.5000,0.5000,-33.45,66.38,0.500,,1,0,,,,,,14.04673,-3.03182,,,,,,
1.841,0.5000,0.5000,0.5000,0.5000,27.68,-27.32,0.363,,1,0,,,,,,13.70924,-3.21947,,,,,,
1.877,0.5000,0.5000,0.5000,0.5000,-4.49,-20.51,0.390,,1,0,,,,,,12.39246,-3.34291,,,,,,
1.907,0.5000,0.5000,0.5000,0.5000,6.21,-60.60,0.515,,1,0,,,,,,10.65414,-3.38425,,,,,,
1.943,0.5000,0.5000,0.5000,0.5000,5.00,-56.85,0.596,,1,0,,,,,,9.45712,-3.46481,,,,,,
1.970,0.5000,0.5000,0.5000,0.5000,4.09,-53.77,0.641,,1,0,,,,,,8.61048,-3.53203,,,,,,
2.009,0.5000,0.5000,0.5000,0.5000,3.85,-52.33,0.635,,1,0,,,,,,7.96635,-3.57124,,,,,,
2.041,0.5000,0.5000,0.5000,0.5000,2.96,-51.17,0.626,,1,0,,,,,,7.72937,-3.68617,,,,,,
2.076,0.5000,0.5000,0.5000,0.5000,3.39,-50.24,0.609,,1,0,,,,,,7.40297,-3.74544,,,,,,
2.112,0.5000,0.5000,0.5000,0.5000,3.75,-49.24,0.614,,1,0,,,,,,6.97590,-3.79986,,,,,,
2.147,0.5000,0.5000,0.5000,0.5000,3.52,-48.02,0.606,,1,0,,,,,,6.74336,-3.87503,,,,,,
2.183,0.5000,0.5000,0.5000,0.5000,2.77,-48.22,0.600,,1,0,,,,,,6.81083,-3.94271,,,,,,
2.216,0.5000,0.5000,0.5000,0.5000,2.80,-47.40,0.587,,1,0,,,,,,6.68032,-4.02533,,,,,,
2.250,0.5000,0.5000,0.5000,0.5000,-7.83,-31.28,0.598,,1,0,,,,,,6.20527,-3.98046,,,,,,
2.283,0.5000,0.5000,0.5000,0.5000,2.79,-46.18,0.598,,1,0,,,,,,6.06553,-4.01565,,,,,,
2.320,0.5000,0.5000,0.5000,0.5000,2.49,-46.06,0.589,,1,0,,,,,,5.97996,-4.10742,,,,,,
2.360,0.5000,0.5000,0.5000,0.5000,2.43,-45.75,0.603,,1,0,,,,,,5.89155,-4.13647,,,,,,
2.395,0.5000,0.5000,0.5000,0.5000,-7.80,-30.76,0.599,,1,0,,,,,,5.78983,-4.19796,,,,,,
2.434,0.5000,0.5000,0.5000,0.5000,2.81,-44.90,0.601,,1,0,,,,,,5.64291,-4.17584,,,,,,
2.469,0.5000,0.5000,0.5000,0.5000,-7.49,-30.46,0.594,,1,0,,,,,,5.66227,-4.23378,,,,,,
2.507,0.5000,0.5000,0.5000,0.5000,-7.55,-30.32,0.586,,1,0,,,,,,5.56404,-4.21454,,,,,,
2.543,0.5000,0.5000,0.5000,0.5000,-7.20,-29.82,0.600,,1,0,,,,,,5.51315,-4.22598,,,,,,
2.578,0.5000,0.5000,0.5000,0.5000,-7.19,-29.88,0.597,,1,0,,,,,,5.53401,-4.26080,,,,,,
2.610,0.5000,0.5000,0.5000,0.5000,-7.19,-29.67,0.597,,1,0,,,,,,5.54027,-4.28221,,,,,,
2.647,0.5000,0.5000,0.5000,0.5000,-7.23,-29.00,0.603,,1,0,,,,,,5.53814,-4.28769,,,,,,
2.682,0.5000,0.5000,0.5000,0.5000,-7.18,-28.89,0.592,,1,0,,,,,,5.55490,-4.29739,,,,,,
2.717,0.5000,0.5000,0.5000,0.5000,-7.13,-29.35,0.596,,1,0,,,,,,5.59634,-4.31655,,,,,,
2.749,0.5000,0.5000,0.5000,0.5000,-7.21,-29.54,0.595,,1,0,,,,,,5.62084,-4.32676,,,,,,
2.786,0.5000,0.5000,0.5000,0.5000,-7.26,-29.22,0.588,,1,0,,,,,,5.59135,-4.29578,,,,,,
2.825,0.5000,0.5000,0.5000,0.5000,-7.40,-28.73,0.583,,1,0,,,,,,5.61695,-4.30133,,,,,,
2.859,0.5000,0.5000,0.5000,0.5000,-7.50,-28.33,0.581,,1,0,,,,,,5.64432,-4.27852,,,,,,
2.889,0.5000,0.5000,0.5000,0.5000,-7.45,-28.04,0.581,,1,0,,,,,,5.66981,-4.25611,,,,,,
2.923,0.5000,0.5000,0.5000,0.5000,-7.64,-29.15,0.584,,1,0,,,,,,5.76908,-4.25334,,,,,,
2.957,0.5000,0.5000,0.5000,0.5000,2.67,-44.55,0.582,,1,0,,,,,,5.92837,-4.26706,,,,,,
2.990,0.5000,0.5000,0.5000,0.5000,2.74,-46.07,0.510,,1,0,,,,,,6.31852,-4.33815,,,,,,
3.018,0.5000,0.5000,0.5000,0.5000,3.49,-47.20,0.204,,1,0,,,,,,7.91201,-4.46989,,,,,,
3.057,0.5000,0.5000,0.5000,0.5000,3.53,-49.07,0.122,,1,0,,,,,,9.29279,-4.56172,,,,,,
3.090,0.5000,0.5000,0.5000,0.5000,3.48,-50.98,0.119,,1,0,,,,,,10.00272,-4.41276,,,,,,
3.124,0.5000,0.5000,0.5000,0.5000,4.12,-65.79,0.477,,1,0,,,,,,12.94029,-4.12819,,,,,,
3.156,0.5000,0.5000,0.5000,0.5000,-2.31,26.92,0.524,,1,0,,,,,,12.81601,-3.69090,,,,,,
3.187,0.5000,0.5000,0.5000,0.5000,-1.28,25.94,0.614,,1,0,,,,,,12.67156,-3.48711,,,,,,
