time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
0.584,0.5000,0.5000,0.5000,0.5000,18.59,-43.76,0.351,,1,0,,,,,,-13.29272,11.63280,,,,,,
0.638,0.5000,0.5000,0.5000,0.5000,18.61,-43.87,0.368,,1,0,,,,,,-13.12970,11.48569,,,,,,
0.674,0.5000,0.5000,0.5000,0.5000,18.70,-44.06,0.333,,1,0,,,,,,-13.05865,11.43420,,,,,,
0.708,0.5000,0.5000,0.5000,0.5000,18.77,-44.23,0.336,,1,0,,,,,,-12.85490,11.22404,,,,,,
0.729,0.5000,0.5000,0.5000,0.5000,18.88,-44.42,0.326,,1,0,,,,,,-12.98632,11.32377,,,,,,
0.772,0.5000,0.5000,0.5000,0.5000,18.97,-44.60,0.324,,1,0,,,,,,-13.15447,11.46089,,,,,,
0.799,0.5000,0.5000,0.5000,0.5000,19.04,-44.77,0.313,,1,0,,,,,,-13.46676,11.66918,,,,,,
0.819,0.5000,0.5000,0.5000,0.5000,19.13,-44.92,0.305,,1,0,,,,,,-13.43253,11.64774,,,,,,
0.855,0.5000,0.5000,0.5000,0.5000,19.19,-45.06,0.304,,1,0,,,,,,-13.42953,11.66675,,,,,,
0.890,0.5000,0.5000,0.5000,0.5000,19.26,-45.22,0.298,,1,0,,,,,,-13.48579,11.77728,,,,,,
0.917,0.5000,0.5000,0.5000,0.5000,19.35,-45.34,0.294,,1,0,,,,,,-13.44270,11.75480,,,,,,
0.934,0.5000,0.5000,0.5000,0.5000,19.43,-45.48,0.294,,1,0,,,,,,-13.47070,11.80348,,,,,,
0.980,0.5000,0.5000,0.5000,0.5000,19.54,-45.66,0.292,,1,0,,,,,,-13.50711,11.85344,,,,,,
