time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
0.587,0.5000,0.5000,0.5000,0.5000,3.57,16.30,0.332,,1,0,,,,,,-0.46012,-3.48011,,,,,,
0.631,0.5000,0.5000,0.5000,0.5000,3.61,17.38,0.306,,1,0,,,,,,-0.44047,-3.43247,,,,,,
0.660,0.5000,0.5000,0.5000,0.5000,3.44,18.89,0.295,,1,0,,,,,,-0.38757,-3.45050,,,,,,
0.701,0.5000,0.5000,0.5000,0.5000,3.17,18.61,0.291,,1,0,,,,,,-0.36030,-3.46983,,,,,,
0.729,0.5000,0.5000,0.5000,0.5000,2.85,19.40,0.288,,1,0,,,,,,-0.34301,-3.51454,,,,,,
0.767,0.5000,0.5000,0.5000,0.5000,2.51,19.87,0.285,,1,0,,,,,,-0.31916,-3.55169,,,,,,
0.808,0.5000,0.5000,0.5000,0.5000,2.45,19.82,0.298,,1,0,,,,,,-0.28819,-3.63828,,,,,,
0.829,0.5000,0.5000,0.5000,0.5000,2.02,20.25,0.300,,1,0,,,,,,-0.27094,-3.69622,,,,,,
0.878,0.5000,0.5000,0.5000,0.5000,2.06,20.06,0.295,,1,0,,,,,,-0.25128,-3.77840,,,,,,
0.901,0.5000,0.5000,0.5000,0.5000,2.15,19.35,0.315,,1,0,,,,,,-0.25513,-3.82801,,,,,,
0.946,0.5000,0.5000,0.5000,0.5000,2.14,19.46,0.321,,1,0,,,,,,-0.27329,-3.84188,,,,,,
0.966,0.5000,0.5000,0.5000,0.5000,2.42,19.92,0.340,,1,0,,,,,,-0.30073,-3.79272,,,,,,
0.998,0.5000,0.5000,0.5000,0.5000,2.49,20.44,0.347,,1,0,,,,,,-0.34228,-3.81730,,,,,,
1.038,0.5000,0.5000,0.5000,0.5000,2.52,20.98,0.348,,1,0,,,,,,-0.38397,-3.82052,,,,,,
1.059,0.5000,0.5000,0.5000,0.5000,2.54,21.33,0.351,,1,0,,,,,,-0.40857,-3.84661,,,,,,
1.089,0.5000,0.5000,0.5000,0.5000,1.98,22.87,0.352,,1,0,,,,,,-0.42642,-3.86856,,,,,,
1.119,0.5000,0.5000,0.5000,0.5000,1.40,23.20,0.372,,1,0,,,,,,-0.43423,-3.76236,,,,,,
1.154,0.5000,0.5000,0.5000,0.5000,1.08,22.70,0.377,,1,0,,,,,,-0.43729,-3.58649,,,,,,
1.185,0.5000,0.5000,0.5000,0.5000,1.44,22.11,0.366,,1,0,,,,,,-0.46219,-3.58319,,,,,,
1.216,0.5000,0.5000,0.5000,0.5000,1.53,21.53,0.363,,1,0,,,,,,-0.45984,-3.60372,,,,,,
1.251,0.5000,0.5000,0.5000,0.5000,1.15,19.80,0.352,,1,0,,,,,,-0.40442,-3.60337,,,,,,
1.293,0.5000,0.5000,0.5000,0.5000,1.73,19.73,0.342,,1,0,,,,,,-0.34320,-3.67178,,,,,,
1.316,0.5000,0.5000,0.5000,0.5000,1.78,18.41,0.358,,1,0,,,,,,-0.26725,-3.64388,,,,,,
1.351,0.5000,0.5000,0.5000,0.5000,1.84,17.69,0.356,,1,0,,,,,,-0.20642,-3.63828,,,,,,
1.372,0.5000,0.5000,0.5000,0.5000,2.32,17.40,0.353,,1,0,,,,,,-0.18918,-3.62815,,,,,,
1.403,0.5000,0.5000,0.5000,0.5000,2.71,16.67,0.339,,1,0,,,,,,-0.18677,-3.67653,,,,,,
1.447,0.5000,0.5000,0.5000,0.5000,2.97,16.93,0.334,,1,0,,,,,,-0.20086,-3.75320,,,,,,
1.468,0.5000,0.5000,0.5000,0.5000,3.29,16.86,0.331,,1,0,,,,,,-0.18594,-3.74714,,,,,,
1.496,0.5000,0.5000,0.5000,0.5000,3.34,17.96,0.327,,1,0,,,,,,-0.15078,-3.72675,,,,,,
1.531,0.5000,0.5000,0.5000,0.5000,3.38,18.19,0.322,,1,0,,,,,,-0.14222,-3.72879,,,,,,
1.555,0.5000,0.5000,0.5000,0.5000,3.68,16.94,0.326,,1,0,,,,,,-0.12081,-3.62793,,,,,,
1.582,0.5000,0.5000,0.5000,0.5000,3.39,16.41,0.326,,1,0,,,,,,-0.10896,-3.49993,,,,,,
1.612,0.5000,0.5000,0.5000,0.5000,2.63,17.43,0.326,,1,0,,,,,,-0.07288,-3.49539,,,,,,
