time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.654,0.5000,0.5000,0.5000,0.5000,-1.40,9.55,0.445,,1,0,,
0.714,0.5000,0.5000,0.5000,0.5000,-1.57,9.96,0.447,,1,0,,
0.759,0.5000,0.5000,0.5000,0.5000,-1.57,10.21,0.453,,1,0,,
0.810,0.5000,0.5000,0.5000,0.5000,-1.24,10.33,0.453,,1,0,,
0.855,0.5000,0.5000,0.5000,0.5000,-1.09,10.61,0.448,,1,0,,
0.900,0.5000,0.5000,0.5000,0.5000,-1.20,10.69,0.453,,1,0,,
0.943,0.5000,0.5000,0.5000,0.5000,-1.69,10.81,0.455,,1,0,,
0.996,0.5000,0.5000,0.5000,0.5000,-2.05,11.09,0.462,,1,0,,
1.044,0.5000,0.5000,0.5000,0.5000,-1.60,11.22,0.461,,1,0,,
1.091,0.5000,0.5000,0.5000,0.5000,-1.79,11.36,0.469,,1,0,,
1.135,0.5000,0.5000,0.5000,0.5000,-1.80,11.94,0.463,,1,0,,
1.182,0.5000,0.5000,0.5000,0.5000,-1.95,12.09,0.465,,1,0,,
1.230,0.5000,0.5000,0.5000,0.5000,-1.95,12.30,0.463,,1,0,,
1.284,0.5000,0.5000,0.5000,0.5000,-1.72,12.57,0.460,,1,0,,
1.330,0.5000,0.5000,0.5000,0.5000,-1.50,12.11,0.463,,1,0,,
1.377,0.5000,0.5000,0.5000,0.5000,-1.48,12.00,0.466,,1,0,,
1.418,0.5000,0.5000,0.5000,0.5000,-1.64,11.99,0.467,,1,0,,
1.473,0.5000,0.5000,0.5000,0.5000,-1.45,11.59,0.471,,1,0,,
1.528,0.5000,0.5000,0.5000,0.5000,-1.17,11.41,0.470,,1,0,,
1.580,0.5000,0.5000,0.5000,0.5000,-1.03,11.84,0.466,,1,0,,
1.640,0.5000,0.5000,0.5000,0.5000,-1.27,11.66,0.476,,1,0,,
1.683,0.5000,0.5000,0.5000,0.5000,-1.37,12.34,0.477,,1,0,,
1.736,0.5000,0.5000,0.5000,0.5000,-1.30,12.57,0.477,,1,0,,
1.822,0.5000,0.5000,0.5000,0.5000,-1.42,12.96,0.476,,1,0,,
1.854,0.5000,0.5000,0.5000,0.5000,-1.50,13.01,0.476,,1,0,,
1.886,0.5000,0.5000,0.5000,0.5000,-1.70,12.92,0.477,,1,0,,
1.923,0.5000,0.5000,0.5000,0.5000,-1.80,12.70,0.479,,1,0,,
1.967,0.5000,0.5000,0.5000,0.5000,-1.59,12.60,0.471,,1,0,,
2.019,0.5000,0.5000,0.5000,0.5000,-1.55,12.44,0.470,,1,0,,
2.073,0.5000,0.5000,0.5000,0.5000,-1.55,12.19,0.473,,1,0,,
2.127,0.5000,0.5000,0.5000,0.5000,-1.64,12.19,0.471,,1,0,,
2.171,0.5000,0.5000,0.5000,0.5000,-1.61,12.15,0.470,,1,0,,
2.214,0.5000,0.5000,0.5000,0.5000,-1.53,12.29,0.472,,1,0,,
2.263,0.5000,0.5000,0.5000,0.5000,-1.36,12.42,0.470,,1,0,,
2.308,0.5000,0.5000,0.5000,0.5000,-1.45,12.20,0.464,,1,0,,
2.352,0.5000,0.5000,0.5000,0.5000,-1.45,12.07,0.469,,1,0,,
2.403,0.5000,0.5000,0.5000,0.5000,-1.36,12.18,0.468,,1,0,,
2.452,0.5000,0.5000,0.5000,0.5000,-1.40,13.30,0.468,,1,0,,
2.500,0.5000,0.5000,0.5000,0.5000,-1.38,12.44,0.468,,1,0,,
2.541,0.5000,0.5000,0.5000,0.5000,-1.38,12.49,0.469,,1,0,,
