time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.651,0.5000,0.5000,0.5000,0.5000,-3.50,12.76,0.417,,1,0,,
0.702,0.5000,0.5000,0.5000,0.5000,-3.18,13.02,0.416,,1,0,,
0.735,0.5000,0.5000,0.5000,0.5000,-3.04,13.90,0.409,,1,0,,
0.766,0.5000,0.5000,0.5000,0.5000,-2.90,14.03,0.407,,1,0,,
0.798,0.5000,0.5000,0.5000,0.5000,-2.93,13.14,0.406,,1,0,,
0.842,0.5000,0.5000,0.5000,0.5000,-2.89,12.19,0.406,,1,0,,
0.888,0.5000,0.5000,0.5000,0.5000,-2.84,10.96,0.406,,1,0,,
0.920,0.5000,0.5000,0.5000,0.5000,-2.56,11.21,0.407,,1,0,,
0.951,0.5000,0.5000,0.5000,0.5000,-2.65,10.56,0.401,,1,0,,
0.985,0.5000,0.5000,0.5000,0.5000,-2.79,11.20,0.402,,1,0,,
1.021,0.5000,0.5000,0.5000,0.5000,-2.35,12.31,0.406,,1,0,,
1.051,0.5000,0.5000,0.5000,0.5000,-2.32,12.37,0.395,,1,0,,
1.081,0.5000,0.5000,0.5000,0.5000,-2.81,11.98,0.404,,1,0,,
1.117,0.5000,0.5000,0.5000,0.5000,-2.77,12.12,0.410,,1,0,,
1.151,0.5000,0.5000,0.5000,0.5000,-1.99,10.59,0.395,,1,0,,
1.180,0.5000,0.5000,0.5000,0.5000,-2.27,9.75,0.394,,1,0,,
1.205,0.5000,0.5000,0.5000,0.5000,-2.06,10.58,0.393,,1,0,,
1.233,0.5000,0.5000,0.5000,0.5000,-1.97,10.22,0.399,,1,0,,
1.256,0.5000,0.5000,0.5000,0.5000,-1.69,10.09,0.400,,1,0,,
1.280,0.5000,0.5000,0.5000,0.5000,-1.82,10.09,0.402,,1,0,,
1.309,0.5000,0.5000,0.5000,0.5000,-1.27,10.69,0.401,,1,0,,
1.340,0.5000,0.5000,0.5000,0.5000,-0.96,11.79,0.394,,1,0,,
1.409,0.5000,0.5000,0.5000,0.5000,-1.11,13.61,0.387,,1,0,,
