time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
0.669,0.5000,0.5000,0.5000,0.5000,2.23,1.72,0.394,,1,0,,,,,,-1.51298,7.64167,,,,,,
0.742,0.5000,0.5000,0.5000,0.5000,2.21,0.01,0.404,,1,0,,,,,,-1.44911,7.71237,,,,,,
0.789,0.5000,0.5000,0.5000,0.5000,2.20,-0.83,0.409,,1,0,,,,,,-1.42270,7.75761,,,,,,
0.841,0.5000,0.5000,0.5000,0.5000,3.02,-1.16,0.409,,1,0,,,,,,-1.42196,7.82986,,,,,,
0.885,0.5000,0.5000,0.5000,0.5000,2.90,-1.03,0.409,,1,0,,,,,,-1.40091,7.79033,,,,,,
0.942,0.5000,0.5000,0.5000,0.5000,2.92,-1.04,0.408,,1,0,,,,,,-1.38041,7.81676,,,,,,
0.987,0.5000,0.5000,0.5000,0.5000,2.90,-0.88,0.409,,1,0,,,,,,-1.36467,7.78532,,,,,,
1.039,0.5000,0.5000,0.5000,0.5000,3.50,-0.72,0.405,,1,0,,,,,,-1.36278,7.76873,,,,,,
1.083,0.5000,0.5000,0.5000,0.5000,3.70,-0.70,0.405,,1,0,,,,,,-1.36428,7.76233,,,,,,
1.126,0.5000,0.5000,0.5000,0.5000,3.70,-0.64,0.403,,1,0,,,,,,-1.36521,7.75411,,,,,,
1.160,0.5000,0.5000,0.5000,0.5000,3.72,-0.79,0.405,,1,0,,,,,,-1.37497,7.74891,,,,,,
1.190,0.5000,0.5000,0.5000,0.5000,3.86,-0.94,0.405,,1,0,,,,,,-1.38687,7.76142,,,,,,
1.239,0.5000,0.5000,0.5000,0.5000,3.66,-0.99,0.408,,1,0,,,,,,-1.38372,7.73146,,,,,,
1.278,0.5000,0.5000,0.5000,0.5000,3.84,-0.72,0.408,,1,0,,,,,,-1.39174,7.76135,,,,,,
1.320,0.5000,0.5000,0.5000,0.5000,4.05,-0.72,0.405,,1,0,,,,,,-1.41872,7.79465,,,,,,
1.359,0.5000,0.5000,0.5000,0.5000,4.00,-0.96,0.395,,1,0,,,,,,-1.60321,7.87698,,,,,,
1.415,0.5000,0.5000,0.5000,0.5000,3.91,-1.20,0.392,,1,0,,,,,,-1.67683,7.87663,,,,,,
1.455,0.5000,0.5000,0.5000,0.5000,3.65,-1.36,0.395,,1,0,,,,,,-1.67551,7.82310,,,,,,
1.476,0.5000,0.5000,0.5000,0.5000,3.55,-1.44,0.400,,1,0,,,,,,-1.67127,7.78995,,,,,,
1.524,0.5000,0.5000,0.5000,0.5000,3.71,-1.25,0.399,,1,0,,,,,,-1.67587,7.80116,,,,,,
1.559,0.5000,0.5000,0.5000,0.5000,3.56,-2.23,0.401,,1,0,,,,,,-1.66700,7.78930,,,,,,
1.586,0.5000,0.5000,0.5000,0.5000,3.68,-2.79,0.403,,1,0,,,,,,-1.66157,7.77856,,,,,,
1.609,0.5000,0.5000,0.5000,0.5000,3.73,-2.39,0.381,,1,0,,,,,,-1.70570,7.88325,,,,,,
1.649,0.5000,0.5000,0.5000,0.5000,4.61,-2.07,0.236,,1,0,,,,,,-1.53200,8.46862,,,,,,
1.720,0.5000,0.5000,0.5000,0.5000,4.30,-2.52,0.160,,1,0,,,,,,-1.32314,8.59544,,,,,,
1.738,0.5000,0.5000,0.5000,0.5000,4.83,-3.95,0.245,,1,0,,,,,,-1.24564,7.96843,,,,,,
1.787,0.5000,0.5000,0.5000,0.5000,5.49,-4.56,0.324,,1,0,,,,,,-1.18577,7.56718,,,,,,
1.807,0.5000,0.5000,0.5000,0.5000,5.16,-4.26,0.367,,1,0,,,,,,-1.07208,7.07349,,,,,,
1.854,0.5000,0.5000,0.5000,0.5000,7.90,-4.08,0.381,,1,0,,,,,,-0.94682,6.60828,,,,,,
1.889,0.5000,0.5000,0.5000,0.5000,7.44,-6.89,0.383,,1,0,,,,,,-0.85356,6.59903,,,,,,
1.921,0.5000,0.5000,0.5000,0.5000,7.77,-4.89,0.370,,1,0,,,,,,-0.71739,6.48399,,,,,,
1.953,0.5000,0.5000,0.5000,0.5000,7.65,-5.84,0.370,,1,0,,,,,,-0.62596,6.31491,,,,,,
1.985,0.5000,0.5000,0.5000,0.5000,8.43,-5.20,0.370,,1,0,,,,,,-0.53454,6.16825,,,,,,
2.024,0.5000,0.5000,0.5000,0.5000,8.22,-7.41,0.383,,1,0,,,,,,-0.45907,6.10029,,,,,,
2.056,0.5000,0.5000,0.5000,0.5000,8.61,-8.00,0.378,,1,0,,,,,,-0.38104,6.05922,,,,,,
2.089,0.5000,0.5000,0.5000,0.5000,8.71,-7.41,0.365,,1,0,,,,,,-0.26995,6.00733,,,,,,
2.124,0.5000,0.5000,0.5000,0.5000,8.46,-8.14,0.382,,1,0,,,,,,-0.19885,6.06623,,,,,,
2.160,0.5000,0.5000,0.5000,0.5000,8.57,-7.77,0.393,,1,0,,,,,,-0.12471,6.04665,,,,,,
2.202,0.5000,0.5000,0.5000,0.5000,8.36,-9.11,0.397,,1,0,,,,,,-0.02935,6.18437,,,,,,
2.228,0.5000,0.5000,0.5000,0.5000,8.36,-9.77,0.396,,1,0,,,,,,-0.02009,6.15216,,,,,,
2.265,0.5000,0.5000,0.5000,0.5000,8.76,-9.65,0.396,,1,0,,,,,,0.04908,6.23476,,,,,,
2.318,0.5000,0.5000,0.5000,0.5000,9.55,-8.43,0.390,,1,0,,,,,,0.08741,6.20362,,,,,,
2.349,0.5000,0.5000,0.5000,0.5000,9.46,-8.75,0.390,,1,0,,,,,,0.10318,6.12446,,,,,,
2.381,0.5000,0.5000,0.5000,0.5000,9.39,-8.67,0.400,,1,0,,,,,,0.12649,6.29210,,,,,,
2.414,0.5000,0.5000,0.5000,0.5000,9.52,-9.21,0.401,,1,0,,,,,,0.14207,6.32388,,,,,,
2.451,0.5000,0.5000,0.5000,0.5000,9.93,-8.73,0.393,,1,0,,,,,,0.14750,6.24891,,,,,,
2.468,0.5000,0.5000,0.5000,0.5000,9.87,-9.46,0.391,,1,0,,,,,,0.15553,6.24495,,,,,,
2.517,0.5000,0.5000,0.5000,0.5000,10.13,-9.07,0.387,,1,0,,,,,,0.15005,6.12656,,,,,,
2.549,0.5000,0.5000,0.5000,0.5000,10.07,-8.62,0.389,,1,0,,,,,,0.15231,6.20260,,,,,,
2.586,0.5000,0.5000,0.5000,0.5000,10.02,-8.53,0.391,,1,0,,,,,,0.14387,6.20393,,,,,,
2.604,0.5000,0.5000,0.5000,0.5000,10.59,-8.47,0.388,,1,0,,,,,,0.12575,6.12661,,,,,,
2.656,0.5000,0.5000,0.5000,0.5000,10.93,-6.93,0.385,,1,0,,,,,,0.08691,6.09896,,,,,,
2.684,0.5000,0.5000,0.5000,0.5000,10.80,-5.91,0.388,,1,0,,,,,,0.04544,6.04132,,,,,,
2.709,0.5000,0.5000,0.5000,0.5000,9.60,-5.95,0.388,,1,0,,,,,,-0.41009,5.89151,,,,,,
2.742,0.5000,0.5000,0.5000,0.5000,4.89,-6.99,0.388,,1,0,,,,,,-0.42645,4.50119,,,,,,
2.775,0.5000,0.5000,0.5000,0.5000,6.33,-5.53,0.385,,1,0,,,,,,-0.62870,3.05065,,,,,,
2.808,0.5000,0.5000,0.5000,0.5000,5.33,-8.23,0.361,,1,0,,,,,,-0.91133,2.36485,,,,,,
2.843,0.5000,0.5000,0.5000,0.5000,4.85,-6.98,0.379,,1,0,,,,,,-1.06832,1.82606,,,,,,
2.889,0.5000,0.5000,0.5000,0.5000,3.84,-6.86,0.379,,1,0,,,,,,-1.14187,1.22004,,,,,,
2.917,0.5000,0.5000,0.5000,0.5000,2.91,-6.84,0.381,,1,0,,,,,,-1.25566,0.49235,,,,,,
2.956,0.5000,0.5000,0.5000,0.5000,0.01,-6.55,0.400,,1,0,,,,,,-1.37664,-0.58712,,,,,,
2.977,0.5000,0.5000,0.5000,0.5000,-1.23,-6.65,0.393,,1,0,,,,,,-1.39832,-2.03190,,,,,,
3.024,0.5000,0.5000,0.5000,0.5000,-1.46,-7.13,0.117,,1,0,,,,,,-1.55250,-3.88198,,,,,,
3.064,0.5000,0.5000,0.5000,0.5000,-1.94,-6.79,0.109,,1,0,,,,,,-1.63160,-4.27095,,,,,,
3.086,0.5000,0.5000,0.5000,0.5000,-3.95,-7.96,0.263,,1,0,,,,,,-1.65637,-4.80837,,,,,,
3.133,0.5000,0.5000,0.5000,0.5000,-4.52,-7.96,0.339,,1,0,,,,,,-1.67316,-5.33525,,,,,,
3.164,0.5000,0.5000,0.5000,0.5000,-4.93,-8.63,0.378,,1,0,,,,,,-1.66630,-5.46691,,,,,,
3.198,0.5000,0.5000,0.5000,0.5000,-4.83,-9.72,0.409,,1,0,,,,,,-1.63705,-4.67343,,,,,,
3.232,0.5000,0.5000,0.5000,0.5000,-3.30,-7.86,0.389,,1,0,,,,,,-1.60742,-3.73781,,,,,,
3.273,0.5000,0.5000,0.5000,0.5000,-2.90,-7.67,0.426,,1,0,,,,,,-1.60316,-2.89937,,,,,,
3.310,0.5000,0.5000,0.5000,0.5000,-1.91,-6.12,0.374,,1,0,,,,,,-1.45103,-2.30212,,,,,,
3.333,0.5000,0.5000,0.5000,0.5000,-1.91,-5.73,0.386,,1,0,,,,,,-1.27234,-2.25146,,,,,,
3.384,0.5000,0.5000,0.5000,0.5000,-1.96,-5.52,0.399,,1,0,,,,,,-1.13757,-2.29489,,,,,,
3.406,0.5000,0.5000,0.5000,0.5000,-2.50,-5.39,0.392,,1,0,,,,,,-1.06082,-2.09287,,,,,,
3.456,0.5000,0.5000,0.5000,0.5000,-1.83,-5.10,0.391,,1,0,,,,,,-0.99436,-1.65834,,,,,,
3.475,0.5000,0.5000,0.5000,0.5000,-1.20,-5.02,0.405,,1,0,,,,,,-0.91570,-1.11089,,,,,,
3.523,0.5000,0.5000,0.5000,0.5000,-0.29,-4.78,0.397,,1,0,,,,,,-0.82555,-0.66750,,,,,,
3.562,0.5000,0.5000,0.5000,0.5000,-0.27,-4.83,0.383,,1,0,,,,,,-0.78212,-0.48884,,,,,,
3.601,0.5000,0.5000,0.5000,0.5000,-0.27,-5.01,0.405,,1,0,,,,,,-0.77036,-0.49122,,,,,,
3.625,0.5000,0.5000,0.5000,0.5000,-0.50,-5.57,0.415,,1,0,,,,,,-0.74101,-0.52211,,,,,,
3.681,0.5000,0.5000,0.5000,0.5000,0.33,-6.30,0.399,,1,0,,,,,,-0.74599,-0.48155,,,,,,
3.713,0.5000,0.5000,0.5000,0.5000,0.47,-6.66,0.413,,1,0,,,,,,-0.72413,-0.40456,,,,,,
3.758,0.5000,0.5000,0.5000,0.5000,0.36,-6.15,0.403,,1,0,,,,,,-0.70463,-0.32460,,,,,,
3.783,0.5000,0.5000,0.5000,0.5000,-0.48,-6.21,0.406,,1,0,,,,,,-0.68611,-0.29454,,,,,,
3.824,0.5000,0.5000,0.5000,0.5000,-0.68,-6.64,0.404,,1,0,,,,,,-0.67693,-0.37968,,,,,,
3.868,0.5000,0.5000,0.5000,0.5000,-0.40,-6.50,0.407,,1,0,,,,,,-0.67698,-0.42790,,,,,,
