time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
0.603,0.5000,0.5000,0.5000,0.5000,1.47,15.77,0.220,,1,0,,,,,,0.47252,-0.73078,,,,,,
0.657,0.5000,0.5000,0.5000,0.5000,1.70,15.23,0.209,,1,0,,,,,,0.48817,-1.04366,,,,,,
0.709,0.5000,0.5000,0.5000,0.5000,2.24,18.79,0.191,,1,0,,,,,,0.53109,-1.51298,,,,,,
0.767,0.5000,0.5000,0.5000,0.5000,2.25,23.49,0.294,,1,0,,,,,,0.52425,-1.18431,,,,,,
0.811,0.5000,0.5000,0.5000,0.5000,1.54,23.03,0.291,,1,0,,,,,,0.53597,-1.14095,,,,,,
0.864,0.5000,0.5000,0.5000,0.5000,1.32,21.48,0.286,,1,0,,,,,,0.52092,-1.24779,,,,,,
0.909,0.5000,0.5000,0.5000,0.5000,1.68,24.24,0.295,,1,0,,,,,,0.51369,-1.61414,,,,,,
0.957,0.5000,0.5000,0.5000,0.5000,0.89,24.31,0.245,,1,0,,,,,,0.52725,-1.67359,,,,,,
1.024,0.5000,0.5000,0.5000,0.5000,1.35,23.14,0.250,,1,0,,,,,,0.52488,-1.61223,,,,,,
1.069,0.5000,0.5000,0.5000,0.5000,1.35,22.81,0.249,,1,0,,,,,,0.52959,-1.55105,,,,,,
1.112,0.5000,0.5000,0.5000,0.5000,1.38,23.68,0.246,,1,0,,,,,,0.53884,-1.52189,,,,,,
1.152,0.5000,0.5000,0.5000,0.5000,1.46,23.52,0.252,,1,0,,,,,,0.54026,-1.49698,,,,,,
1.223,0.5000,0.5000,0.5000,0.5000,1.39,23.93,0.250,,1,0,,,,,,0.55222,-1.48642,,,,,,
1.290,0.5000,0.5000,0.5000,0.5000,1.32,23.93,0.256,,1,0,,,,,,0.55994,-1.48636,,,,,,
1.340,0.5000,0.5000,0.5000,0.5000,1.38,23.76,0.274,,1,0,,,,,,0.56825,-1.58947,,,,,,
1.389,0.5000,0.5000,0.5000,0.5000,1.22,24.13,0.277,,1,0,,,,,,0.57798,-1.65999,,,,,,
1.430,0.5000,0.5000,0.5000,0.5000,0.53,22.47,0.249,,1,0,,,,,,0.58030,-1.35686,,,,,,
1.468,0.5000,0.5000,0.5000,0.5000,1.69,22.29,0.298,,1,0,,,,,,0.61477,-1.01090,,,,,,
1.509,0.5000,0.5000,0.5000,0.5000,1.59,23.10,0.274,,1,0,,,,,,0.64371,-1.03729,,,,,,
1.552,0.5000,0.5000,0.5000,0.5000,1.63,23.63,0.289,,1,0,,,,,,0.65755,-1.26261,,,,,,
1.618,0.5000,0.5000,0.5000,0.5000,1.48,24.57,0.327,,1,0,,,,,,0.66687,-1.59912,,,,,,
1.672,0.5000,0.5000,0.5000,0.5000,2.11,24.58,0.332,,1,0,,,,,,0.65886,-0.98311,,,,,,
1.709,0.5000,0.5000,0.5000,0.5000,2.16,24.26,0.306,,1,0,,,,,,0.66855,-0.99278,,,,,,
1.751,0.5000,0.5000,0.5000,0.5000,1.44,24.19,0.339,,1,0,,,,,,0.65248,-1.15722,,,,,,
1.859,0.5000,0.5000,0.5000,0.5000,1.42,25.91,0.331,,1,0,,,,,,0.64668,-1.58021,,,,,,
1.885,0.5000,0.5000,0.5000,0.5000,1.89,24.88,0.323,,1,0,,,,,,0.69346,-1.53210,,,,,,
1.957,0.5000,0.5000,0.5000,0.5000,1.64,24.94,0.325,,1,0,,,,,,0.70489,-1.53724,,,,,,
2.023,0.5000,0.5000,0.5000,0.5000,1.18,24.93,0.321,,1,0,,,,,,0.72309,-1.53039,,,,,,
2.077,0.5000,0.5000,0.5000,0.5000,1.39,23.78,0.331,,1,0,,,,,,0.72027,-1.41518,,,,,,
2.125,0.5000,0.5000,0.5000,0.5000,1.22,23.56,0.337,,1,0,,,,,,0.71513,-1.40870,,,,,,
2.189,0.5000,0.5000,0.5000,0.5000,1.05,24.11,0.335,,1,0,,,,,,0.73926,-1.41786,,,,,,
2.252,0.5000,0.5000,0.5000,0.5000,0.96,23.53,0.321,,1,0,,,,,,0.79019,-1.38558,,,,,,
2.316,0.5000,0.5000,0.5000,0.5000,1.21,23.12,0.327,,1,0,,,,,,0.77207,-1.39583,,,,,,
2.383,0.5000,0.5000,0.5000,0.5000,1.23,23.60,0.306,,1,0,,,,,,0.70665,-1.33845,,,,,,
2.447,0.5000,0.5000,0.5000,0.5000,1.24,22.91,0.273,,1,0,,,,,,0.59994,-1.34134,,,,,,
2.522,0.5000,0.5000,0.5000,0.5000,1.02,22.40,0.277,,1,0,,,,,,0.51270,-1.39292,,,,,,
2.585,0.5000,0.5000,0.5000,0.5000,0.92,20.57,0.290,,1,0,,,,,,0.37347,-1.40037,,,,,,
2.639,0.5000,0.5000,0.5000,0.5000,0.84,20.16,0.281,,1,0,,,,,,0.32534,-1.41020,,,,,,
2.704,0.5000,0.5000,0.5000,0.5000,0.87,21.08,0.294,,1,0,,,,,,0.31780,-1.43481,,,,,,
2.776,0.5000,0.5000,0.5000,0.5000,0.54,22.46,0.289,,1,0,,,,,,0.31742,-1.46598,,,,,,
2.836,0.5000,0.5000,0.5000,0.5000,0.96,22.60,0.286,,1,0,,,,,,0.31174,-1.44020,,,,,,
2.901,0.5000,0.5000,0.5000,0.5000,0.81,22.82,0.290,,1,0,,,,,,0.29296,-1.45140,,,,,,
2.949,0.5000,0.5000,0.5000,0.5000,0.71,23.04,0.296,,1,0,,,,,,0.26554,-1.45357,,,,,,
3.015,0.5000,0.5000,0.5000,0.5000,0.51,22.81,0.302,,1,0,,,,,,0.26513,-1.35226,,,,,,
