time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm
0.635,0.5000,0.5000,0.5000,0.5000,-1.56,13.71,0.157,,1,0,,,,,,-5.39107,5.78307,,,,
0.671,0.5000,0.5000,0.5000,0.5000,-1.60,13.81,0.133,,1,0,,,,,,-5.40640,5.80643,,,,
0.700,0.5000,0.5000,0.5000,0.5000,-1.62,13.89,0.126,,1,0,,,,,,-5.46161,5.87010,,,,
0.726,0.5000,0.5000,0.5000,0.5000,-1.60,13.95,0.125,,1,0,,,,,,-5.53211,5.94893,,,,
0.751,0.5000,0.5000,0.5000,0.5000,-1.58,14.04,0.114,,1,0,,,,,,-5.52839,5.93751,,,,
0.775,0.5000,0.5000,0.5000,0.5000,-1.56,14.12,0.111,,1,0,,,,,,-5.53778,5.94407,,,,
0.798,0.5000,0.5000,0.5000,0.5000,-1.54,14.20,0.112,,1,0,,,,,,-5.56070,5.98231,,,,
0.825,0.5000,0.5000,0.5000,0.5000,-1.53,14.32,0.119,,1,0,,,,,,-5.71825,6.04961,,,,
0.853,0.5000,0.5000,0.5000,0.5000,-1.53,14.38,0.111,,1,0,,,,,,-5.75613,6.06581,,,,
0.885,0.5000,0.5000,0.5000,0.5000,-1.53,14.45,0.115,,1,0,,,,,,-5.73272,6.04772,,,,
0.917,0.5000,0.5000,0.5000,0.5000,-1.51,14.54,0.118,,1,0,,,,,,-5.73941,6.05738,,,,
0.964,0.5000,0.5000,0.5000,0.5000,-1.47,14.68,0.129,,1,0,,,,,,-5.65234,6.00315,,,,
0.997,0.5000,0.5000,0.5000,0.5000,-1.46,14.73,0.136,,1,0,,,,,,-5.69539,6.03920,,,,
1.027,0.5000,0.5000,0.5000,0.5000,-1.46,14.79,0.134,,1,0,,,,,,-5.76820,6.13367,,,,
1.062,0.5000,0.5000,0.5000,0.5000,-1.50,14.84,0.124,,1,0,,,,,,-5.86114,6.17918,,,,
1.093,0.5000,0.5000,0.5000,0.5000,-1.52,14.88,0.130,,1,0,,,,,,-5.67438,6.02557,,,,
1.124,0.5000,0.5000,0.5000,0.5000,-1.51,14.97,0.153,,1,0,,,,,,-5.55757,5.93420,,,,
1.157,0.5000,0.5000,0.5000,0.5000,-1.49,15.06,0.158,,1,0,,,,,,-5.60907,5.95143,,,,
1.189,0.5000,0.5000,0.5000,0.5000,-1.48,15.17,0.172,,1,0,,,,,,-5.73919,6.03413,,,,
1.220,0.5000,0.5000,0.5000,0.5000,-1.45,15.27,0.166,,1,0,,,,,,-5.74380,6.04999,,,,
1.252,0.5000,0.5000,0.5000,0.5000,-1.45,15.36,0.161,,1,0,,,,,,-5.75935,6.06792,,,,
1.283,0.5000,0.5000,0.5000,0.5000,-1.48,15.44,0.157,,1,0,,,,,,-5.73990,6.05775,,,,
1.314,0.5000,0.5000,0.5000,0.5000,-1.48,15.51,0.161,,1,0,,,,,,-5.75047,6.08835,,,,
1.349,0.5000,0.5000,0.5000,0.5000,-1.49,15.56,0.151,,1,0,,,,,,-5.70997,6.04659,,,,
1.417,0.5000,0.5000,0.5000,0.5000,-1.48,15.68,0.153,,1,0,,,,,,-5.73513,6.05330,,,,
1.444,0.5000,0.5000,0.5000,0.5000,-1.52,15.67,0.132,,1,0,,,,,,-5.71487,5.99582,,,,
1.477,0.5000,0.5000,0.5000,0.5000,-1.50,15.66,0.133,,1,0,,,,,,-5.70312,5.99535,,,,
1.507,0.5000,0.5000,0.5000,0.5000,-1.48,15.65,0.135,,1,0,,,,,,-5.74622,6.02506,,,,
1.554,0.5000,0.5000,0.5000,0.5000,-1.43,15.73,0.156,,1,0,,,,,,-5.75389,6.03813,,,,
1.577,0.5000,0.5000,0.5000,0.5000,-1.41,15.77,0.163,,1,0,,,,,,-5.77732,6.04391,,,,
1.599,0.5000,0.5000,0.5000,0.5000,-1.38,15.79,0.163,,1,0,,,,,,-5.69134,5.97509,,,,
1.624,0.5000,0.5000,0.5000,0.5000,-1.36,15.83,0.172,,1,0,,,,,,-5.70273,5.99668,,,,
1.652,0.5000,0.5000,0.5000,0.5000,-1.33,15.87,0.165,,1,0,,,,,,-5.70321,5.98930,,,,
1.687,0.5000,0.5000,0.5000,0.5000,-1.31,15.93,0.158,,1,0,,,,,,-5.73818,6.00768,,,,
1.715,0.5000,0.5000,0.5000,0.5000,-1.28,15.97,0.159,,1,0,,,,,,-5.70630,5.97483,,,,
1.747,0.5000,0.5000,0.5000,0.5000,-1.25,16.04,0.159,,1,0,,,,,,-5.75583,6.03367,,,,
1.813,0.5000,0.5000,0.5000,0.5000,-1.29,16.14,0.160,,1,0,,,,,,-5.62670,5.92191,,,,
1.845,0.5000,0.5000,0.5000,0.5000,-1.30,16.21,0.160,,1,0,,,,,,-5.64325,5.93988,,,,
1.875,0.5000,0.5000,0.5000,0.5000,-1.32,16.28,0.163,,1,0,,,,,,-5.87765,6.10130,,,,
1.909,0.5000,0.5000,0.5000,0.5000,-1.35,16.32,0.154,,1,0,,,,,,-5.85112,6.10789,,,,
1.939,0.5000,0.5000,0.5000,0.5000,-1.36,16.40,0.164,,1,0,,,,,,-5.83637,6.09313,,,,
1.972,0.5000,0.5000,0.5000,0.5000,-1.36,16.47,0.162,,1,0,,,,,,-5.81652,6.06650,,,,
2.005,0.5000,0.5000,0.5000,0.5000,-1.36,16.51,0.155,,1,0,,,,,,-5.72499,5.98913,,,,
2.036,0.5000,0.5000,0.5000,0.5000,-1.35,16.57,0.188,,1,0,,,,,,-5.70172,5.94327,,,,
2.067,0.5000,0.5000,0.5000,0.5000,-1.38,16.69,0.180,,1,0,,,,,,-5.74590,5.97823,,,,
2.120,0.5000,0.5000,0.5000,0.5000,-1.39,16.73,0.179,,1,0,,,,,,-5.67711,5.90443,,,,
2.148,0.5000,0.5000,0.5000,0.5000,-1.39,16.76,0.171,,1,0,,,,,,-5.88378,6.07920,,,,
2.171,0.5000,0.5000,0.5000,0.5000,-1.39,16.78,0.163,,1,0,,,,,,-5.96405,6.14932,,,,
2.212,0.5000,0.5000,0.5000,0.5000,-1.39,16.79,0.153,,1,0,,,,,,-5.97028,6.15055,,,,
2.245,0.5000,0.5000,0.5000,0.5000,-1.40,16.76,0.147,,1,0,,,,,,-5.89971,6.05515,,,,
2.275,0.5000,0.5000,0.5000,0.5000,-1.39,16.78,0.131,,1,0,,,,,,-6.05867,6.16813,,,,
2.309,0.5000,0.5000,0.5000,0.5000,-1.36,16.88,0.162,,1,0,,,,,,-6.20956,6.19202,,,,
2.340,0.5000,0.5000,0.5000,0.5000,-1.34,17.02,0.162,,1,0,,,,,,-6.15677,6.01220,,,,
2.373,0.5000,0.5000,0.5000,0.5000,-1.34,17.17,0.150,,1,0,,,,,,-6.13625,5.96265,,,,
2.403,0.5000,0.5000,0.5000,0.5000,-1.35,17.33,0.166,,1,0,,,,,,-6.21851,5.95509,,,,
2.434,0.5000,0.5000,0.5000,0.5000,-1.33,17.53,0.171,,1,0,,,,,,-6.32351,6.01680,,,,
2.468,0.5000,0.5000,0.5000,0.5000,-1.33,17.67,0.180,,1,0,,,,,,-6.32744,5.98112,,,,
2.499,0.5000,0.5000,0.5000,0.5000,-1.33,17.79,0.184,,1,0,,,,,,-6.50916,6.09369,,,,
2.531,0.5000,0.5000,0.5000,0.5000,-1.30,17.88,0.193,,1,0,,,,,,-6.34914,5.94233,,,,
2.564,0.5000,0.5000,0.5000,0.5000,-1.28,18.00,0.191,,1,0,,,,,,-6.30287,5.91676,,,,
2.596,0.5000,0.5000,0.5000,0.5000,-1.25,18.17,0.199,,1,0,,,,,,-6.45946,5.99885,,,,
2.629,0.5000,0.5000,0.5000,0.5000,-1.23,18.34,0.203,,1,0,,,,,,-6.72920,6.15352,,,,
2.677,0.5000,0.5000,0.5000,0.5000,-1.24,18.56,0.198,,1,0,,,,,,-6.81447,6.18501,,,,
2.707,0.5000,0.5000,0.5000,0.5000,-1.24,18.68,0.205,,1,0,,,,,,-6.78482,6.17395,,,,
2.740,0.5000,0.5000,0.5000,0.5000,-1.25,18.79,0.209,,1,0,,,,,,-6.58484,6.00220,,,,
2.772,0.5000,0.5000,0.5000,0.5000,-1.24,18.90,0.230,,1,0,,,,,,-6.70274,6.07985,,,,
2.806,0.5000,0.5000,0.5000,0.5000,-1.24,19.02,0.228,,1,0,,,,,,-6.71159,6.06682,,,,
2.838,0.5000,0.5000,0.5000,0.5000,-1.24,19.05,0.222,,1,0,,,,,,-6.60564,5.99010,,,,
2.868,0.5000,0.5000,0.5000,0.5000,-1.23,19.17,0.221,,1,0,,,,,,-6.61790,6.02563,,,,
2.900,0.5000,0.5000,0.5000,0.5000,-1.22,19.25,0.210,,1,0,,,,,,-6.62270,6.04219,,,,
2.931,0.5000,0.5000,0.5000,0.5000,-1.21,19.34,0.218,,1,0,,,,,,-6.76245,6.17189,,,,
2.962,0.5000,0.5000,0.5000,0.5000,-1.20,19.39,0.212,,1,0,,,,,,-6.50578,6.03989,,,,
2.996,0.5000,0.5000,0.5000,0.5000,-1.16,19.44,0.211,,1,0,,,,,,-6.08559,5.73733,,,,
3.029,0.5000,0.5000,0.5000,0.5000,-1.11,19.50,0.205,,1,0,,,,,,-5.95450,5.61045,,,,
3.060,0.5000,0.5000,0.5000,0.5000,-1.04,19.54,0.189,,1,0,,,,,,-6.07338,5.66972,,,,
3.094,0.5000,0.5000,0.5000,0.5000,-0.99,19.58,0.199,,1,0,,,,,,-6.10895,5.68267,,,,
3.124,0.5000,0.5000,0.5000,0.5000,-0.94,19.59,0.179,,1,0,,,,,,-6.22353,5.81018,,,,
3.157,0.5000,0.5000,0.5000,0.5000,-0.86,19.57,0.156,,1,0,,,,,,-6.00164,5.63010,,,,
3.189,0.5000,0.5000,0.5000,0.5000,-0.81,19.53,0.153,,1,0,,,,,,-6.03413,5.65531,,,,
3.237,0.5000,0.5000,0.5000,0.5000,-0.77,19.36,0.148,,1,0,,,,,,-6.04028,5.67467,,,,
3.268,0.5000,0.5000,0.5000,0.5000,-0.75,19.29,0.151,,1,0,,,,,,-6.02468,5.67620,,,,
3.299,0.5000,0.5000,0.5000,0.5000,-0.71,19.23,0.161,,1,0,,,,,,-5.99578,5.61582,,,,
3.331,0.5000,0.5000,0.5000,0.5000,-0.65,19.17,0.159,,1,0,,,,,,-5.97243,5.67517,,,,
3.364,0.5000,0.5000,0.5000,0.5000,-0.64,19.08,0.145,,1,0,,,,,,-5.96804,5.71547,,,,
3.395,0.5000,0.5000,0.5000,0.5000,-0.63,18.97,0.125,,1,0,,,,,,-5.93292,5.73437,,,,
3.428,0.5000,0.5000,0.5000,0.5000,-0.65,18.82,0.108,,1,0,,,,,,-5.86871,5.72776,,,,
3.459,0.5000,0.5000,0.5000,0.5000,-0.67,18.72,0.109,,1,0,,,,,,-5.92031,5.76547,,,,
3.492,0.5000,0.5000,0.5000,0.5000,-0.71,18.64,0.132,,1,0,,,,,,-5.75413,5.67475,,,,
3.523,0.5000,0.5000,0.5000,0.5000,-0.72,18.55,0.141,,1,0,,,,,,-5.72770,5.74114,,,,
3.556,0.5000,0.5000,0.5000,0.5000,-0.74,18.48,0.123,,1,0,,,,,,-5.74868,5.79629,,,,
3.589,0.5000,0.5000,0.5000,0.5000,-0.78,18.40,0.096,,1,0,,,,,,-5.72946,5.83103,,,,
3.619,0.5000,0.5000,0.5000,0.5000,-0.84,18.33,0.112,,1,0,,,,,,-5.67496,5.86347,,,,
3.651,0.5000,0.5000,0.5000,0.5000,-0.92,18.25,0.075,,1,0,,,,,,-5.67612,5.88200,,,,
