time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm
0.652,0.5000,0.5000,0.5000,0.5000,-7.39,-22.02,0.471,,1,0,,,,,,0.22494,-0.18078,,,,
0.696,0.5000,0.5000,0.5000,0.5000,-7.31,-22.09,0.461,,1,0,,,,,,0.65525,-0.19728,,,,
0.739,0.5000,0.5000,0.5000,0.5000,-7.21,-22.14,0.466,,1,0,,,,,,0.71229,-0.20858,,,,
0.765,0.5000,0.5000,0.5000,0.5000,-7.10,-22.20,0.470,,1,0,,,,,,0.75753,-0.22606,,,,
0.785,0.5000,0.5000,0.5000,0.5000,-6.96,-22.25,0.467,,1,0,,,,,,0.74834,-0.26270,,,,
0.811,0.5000,0.5000,0.5000,0.5000,-6.82,-22.30,0.458,,1,0,,,,,,0.70094,-0.32429,,,,
0.839,0.5000,0.5000,0.5000,0.5000,-6.69,-22.37,0.454,,1,0,,,,,,0.52796,-0.37204,,,,
0.861,0.5000,0.5000,0.5000,0.5000,-6.56,-22.45,0.460,,1,0,,,,,,0.37419,-0.42575,,,,
0.889,0.5000,0.5000,0.5000,0.5000,-6.41,-22.47,0.458,,1,0,,,,,,0.23343,-0.51296,,,,
0.936,0.5000,0.5000,0.5000,0.5000,-6.17,-22.45,0.454,,1,0,,,,,,0.10834,-0.59254,,,,
0.972,0.5000,0.5000,0.5000,0.5000,-6.01,-22.38,0.470,,1,0,,,,,,-0.05997,-0.61585,,,,
1.011,0.5000,0.5000,0.5000,0.5000,-5.85,-22.17,0.460,,1,0,,,,,,-0.19452,-0.64443,,,,
1.033,0.5000,0.5000,0.5000,0.5000,-5.71,-22.01,0.460,,1,0,,,,,,-0.30384,-0.69144,,,,
1.066,0.5000,0.5000,0.5000,0.5000,-5.54,-21.77,0.460,,1,0,,,,,,-0.40369,-0.72382,,,,
1.104,0.5000,0.5000,0.5000,0.5000,-5.38,-21.40,0.457,,1,0,,,,,,-0.49491,-0.76838,,,,
1.133,0.5000,0.5000,0.5000,0.5000,-5.21,-20.95,0.461,,1,0,,,,,,-0.57611,-0.81012,,,,
1.162,0.5000,0.5000,0.5000,0.5000,-5.05,-20.65,0.459,,1,0,,,,,,-0.67837,-0.84781,,,,
1.200,0.5000,0.5000,0.5000,0.5000,-4.88,-20.20,0.453,,1,0,,,,,,-0.73688,-0.85756,,,,
1.233,0.5000,0.5000,0.5000,0.5000,-4.75,-19.58,0.454,,1,0,,,,,,-0.74797,-0.85126,,,,
1.264,0.5000,0.5000,0.5000,0.5000,-4.61,-18.97,0.450,,1,0,,,,,,-0.78100,-0.85889,,,,
1.304,0.5000,0.5000,0.5000,0.5000,-4.51,-18.05,0.451,,1,0,,,,,,-0.79021,-0.85727,,,,
1.333,0.5000,0.5000,0.5000,0.5000,-4.39,-17.25,0.456,,1,0,,,,,,-0.80912,-0.85492,,,,
1.386,0.5000,0.5000,0.5000,0.5000,-4.22,-15.94,0.474,,1,0,,,,,,-1.00957,-0.96977,,,,
1.419,0.5000,0.5000,0.5000,0.5000,-4.48,-13.84,0.490,,1,0,,,,,,-1.10359,-1.01974,,,,
1.450,0.5000,0.5000,0.5000,0.5000,-4.65,-11.98,0.492,,1,0,,,,,,-1.12886,-1.05305,,,,
1.497,0.5000,0.5000,0.5000,0.5000,-4.88,-9.08,0.490,,1,0,,,,,,-1.16291,-1.09101,,,,
1.536,0.5000,0.5000,0.5000,0.5000,-4.94,-7.14,0.493,,1,0,,,,,,-1.21753,-1.12452,,,,
1.555,0.5000,0.5000,0.5000,0.5000,-4.96,-5.72,0.492,,1,0,,,,,,-1.22423,-1.13437,,,,
1.589,0.5000,0.5000,0.5000,0.5000,-4.96,-4.29,0.498,,1,0,,,,,,-1.28450,-1.15187,,,,
1.613,0.5000,0.5000,0.5000,0.5000,-4.95,-2.89,0.493,,1,0,,,,,,-1.30666,-1.17153,,,,
1.634,0.5000,0.5000,0.5000,0.5000,-4.91,-1.55,0.495,,1,0,,,,,,-1.29353,-1.16483,,,,
1.659,0.5000,0.5000,0.5000,0.5000,-4.86,-0.43,0.499,,1,0,,,,,,-1.33150,-1.21698,,,,
1.696,0.5000,0.5000,0.5000,0.5000,-4.72,0.73,0.481,,1,0,,,,,,-1.27921,-1.26495,,,,
1.722,0.5000,0.5000,0.5000,0.5000,-4.65,2.29,0.475,,1,0,,,,,,-1.35199,-1.38392,,,,
1.785,0.5000,0.5000,0.5000,0.5000,-4.44,4.73,0.468,,1,0,,,,,,-1.06130,-1.62126,,,,
1.826,0.5000,0.5000,0.5000,0.5000,-4.33,5.96,0.467,,1,0,,,,,,-0.92098,-1.75916,,,,
1.856,0.5000,0.5000,0.5000,0.5000,-4.20,7.09,0.475,,1,0,,,,,,-0.75471,-1.83090,,,,
1.892,0.5000,0.5000,0.5000,0.5000,-4.10,8.09,0.476,,1,0,,,,,,-0.62021,-1.93704,,,,
1.914,0.5000,0.5000,0.5000,0.5000,-4.01,9.06,0.480,,1,0,,,,,,-0.49620,-2.05613,,,,
1.960,0.5000,0.5000,0.5000,0.5000,-3.95,10.09,0.474,,1,0,,,,,,-0.50253,-2.23574,,,,
1.985,0.5000,0.5000,0.5000,0.5000,-3.92,11.43,0.478,,1,0,,,,,,-0.53349,-2.50188,,,,
2.010,0.5000,0.5000,0.5000,0.5000,-3.93,12.43,0.476,,1,0,,,,,,-0.69106,-2.80866,,,,
2.042,0.5000,0.5000,0.5000,0.5000,-3.94,13.38,0.460,,1,0,,,,,,-1.09836,-3.19909,,,,
2.097,0.5000,0.5000,0.5000,0.5000,-4.06,14.85,0.469,,1,0,,,,,,-1.60941,-3.68486,,,,
2.121,0.5000,0.5000,0.5000,0.5000,-4.13,15.72,0.450,,1,0,,,,,,-2.22347,-4.32029,,,,
2.152,0.5000,0.5000,0.5000,0.5000,-4.21,16.43,0.425,,1,0,,,,,,-2.16564,-4.34773,,,,
2.195,0.5000,0.5000,0.5000,0.5000,-4.53,17.78,0.410,,1,0,,,,,,-3.60457,-5.93084,,,,
2.218,0.5000,0.5000,0.5000,0.5000,-4.65,18.45,0.435,,1,0,,,,,,-4.32101,-6.78624,,,,
2.250,0.5000,0.5000,0.5000,0.5000,-4.72,18.98,0.456,,1,0,,,,,,-4.72558,-7.28291,,,,
2.283,0.5000,0.5000,0.5000,0.5000,-4.78,19.44,0.448,,1,0,,,,,,-5.11610,-7.86176,,,,
2.324,0.5000,0.5000,0.5000,0.5000,-4.87,19.91,0.432,,1,0,,,,,,-5.30127,-7.85665,,,,
2.345,0.5000,0.5000,0.5000,0.5000,-5.05,20.42,0.445,,1,0,,,,,,-5.19552,-7.44855,,,,
2.384,0.5000,0.5000,0.5000,0.5000,-5.26,20.95,0.448,,1,0,,,,,,-5.23421,-7.00276,,,,
2.416,0.5000,0.5000,0.5000,0.5000,-5.42,21.48,0.487,,1,0,,,,,,-4.34046,-6.07190,,,,
2.442,0.5000,0.5000,0.5000,0.5000,-5.44,22.03,0.486,,1,0,,,,,,-4.29324,-4.47309,,,,
2.481,0.5000,0.5000,0.5000,0.5000,-5.48,22.50,0.383,,1,0,,,,,,-4.32923,-3.34894,,,,
2.514,0.5000,0.5000,0.5000,0.5000,-5.38,22.93,0.380,,1,0,,,,,,-4.45060,-2.97947,,,,
2.547,0.5000,0.5000,0.5000,0.5000,-5.22,23.21,0.430,,1,0,,,,,,-3.94636,-2.60926,,,,
2.570,0.5000,0.5000,0.5000,0.5000,-5.00,23.39,0.415,,1,0,,,,,,-3.34904,-2.35802,,,,
2.613,0.5000,0.5000,0.5000,0.5000,-4.82,23.51,0.435,,1,0,,,,,,-2.91074,-2.34072,,,,
2.650,0.5000,0.5000,0.5000,0.5000,-4.57,23.66,0.432,,1,0,,,,,,-2.44146,-2.29907,,,,
2.688,0.5000,0.5000,0.5000,0.5000,-4.37,23.75,0.435,,1,0,,,,,,-2.34887,-2.27657,,,,
2.723,0.5000,0.5000,0.5000,0.5000,-4.15,23.80,0.458,,1,0,,,,,,-2.09876,-2.01395,,,,
2.747,0.5000,0.5000,0.5000,0.5000,-3.93,23.94,0.459,,1,0,,,,,,-1.86773,-1.70460,,,,
2.789,0.5000,0.5000,0.5000,0.5000,-3.71,24.02,0.454,,1,0,,,,,,-1.76300,-1.39006,,,,
2.809,0.5000,0.5000,0.5000,0.5000,-3.48,24.10,0.466,,1,0,,,,,,-1.73634,-1.13231,,,,
2.841,0.5000,0.5000,0.5000,0.5000,-3.23,24.15,0.446,,1,0,,,,,,-1.71718,-0.91314,,,,
2.880,0.5000,0.5000,0.5000,0.5000,-2.99,24.22,0.434,,1,0,,,,,,-1.73898,-0.81112,,,,
2.906,0.5000,0.5000,0.5000,0.5000,-2.74,24.22,0.435,,1,0,,,,,,-1.79929,-0.76212,,,,
2.949,0.5000,0.5000,0.5000,0.5000,-2.48,24.20,0.447,,1,0,,,,,,-1.84995,-0.77380,,,,
2.969,0.5000,0.5000,0.5000,0.5000,-2.32,24.21,0.447,,1,0,,,,,,-1.95126,-0.82812,,,,
3.002,0.5000,0.5000,0.5000,0.5000,-2.11,24.15,0.450,,1,0,,,,,,-1.99521,-0.90918,,,,
3.036,0.5000,0.5000,0.5000,0.5000,-1.92,24.19,0.450,,1,0,,,,,,-2.15582,-1.06858,,,,
3.066,0.5000,0.5000,0.5000,0.5000,-1.77,24.13,0.443,,1,0,,,,,,-2.31748,-1.16610,,,,
3.106,0.5000,0.5000,0.5000,0.5000,-1.57,24.05,0.350,,1,0,,,,,,-2.31558,-1.43434,,,,
3.136,0.5000,0.5000,0.5000,0.5000,-1.36,23.74,0.084,,1,0,,,,,,-2.40853,-1.65110,,,,
3.162,0.5000,0.5000,0.5000,0.5000,-1.20,23.42,0.028,,1,0,,,,,,-2.53262,-2.18899,,,,
3.216,0.5000,0.5000,0.5000,0.5000,-1.04,23.20,0.171,,1,0,,,,,,-2.61285,-2.73611,,,,
3.242,0.5000,0.5000,0.5000,0.5000,-0.93,23.11,0.225,,1,0,,,,,,-3.09917,-3.50911,,,,
3.275,0.5000,0.5000,0.5000,0.5000,-0.93,23.22,0.333,,1,0,,,,,,-3.25798,-3.90546,,,,
3.306,0.5000,0.5000,0.5000,0.5000,-0.97,23.38,0.377,,1,0,,,,,,-3.32187,-4.07947,,,,
