time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm
0.762,,,,,,,,,0,0,,,,,,,,,,,
0.911,,,,,,,,,0,0,,,,,,,,,,,
0.954,,,,,,,,,0,0,,,,,,,,,,,
1.000,,,,,,,,,0,0,,,,,,,,,,,
1.047,,,,,,,,,0,0,,,,,,,,,,,
1.093,,,,,,,,,0,0,,,,,,,,,,,
1.142,,,,,,,,,0,0,,,,,,,,,,,
1.197,,,,,,,,,0,0,,,,,,,,,,,
1.247,,,,,,,,,0,0,,,,,,,,,,,
1.291,,,,,,,,,0,0,,,,,,,,,,,
1.328,,,,,,,,,0,0,,,,,,,,,,,
1.387,,,,,,,,,0,0,,,,,,,,,,,
1.471,,,,,,,,,0,0,,,,,,,,,,,
1.539,,,,,,,,,0,0,,,,,,,,,,,
1.589,,,,,,,,,0,0,,,,,,,,,,,
1.624,,,,,,,,,0,0,,,,,,,,,,,
1.675,,,,,,,,,0,0,,,,,,,,,,,
1.712,,,,,,,,,0,0,,,,,,,,,,,
1.759,,,,,,,,,0,0,,,,,,,,,,,
1.809,,,,,,,,,0,0,,,,,,,,,,,
1.860,,,,,,,,,0,0,,,,,,,,,,,
1.891,,,,,,,,,0,0,,,,,,,,,,,
1.925,,,,,,,,,0,0,,,,,,,,,,,
2.007,,,,,,,,,0,0,,,,,,,,,,,
2.055,,,,,,,,,0,0,,,,,,,,,,,
2.088,,,,,,,,,0,0,,,,,,,,,,,
2.124,,,,,,,,,0,0,,,,,,,,,,,
2.174,,,,,,,,,0,0,,,,,,,,,,,
2.205,,,,,,,,,0,0,,,,,,,,,,,
2.240,,,,,,,,,0,0,,,,,,,,,,,
2.273,,,,,,,,,0,0,,,,,,,,,,,
2.322,,,,,,,,,0,0,,,,,,,,,,,
2.355,,,,,,,,,0,0,,,,,,,,,,,
2.407,,,,,,,,,0,0,,,,,,,,,,,
2.453,,,,,,,,,0,0,,,,,,,,,,,
2.490,,,,,,,,,0,0,,,,,,,,,,,
2.520,,,,,,,,,0,0,,,,,,,,,,,
2.559,,,,,,,,,0,0,,,,,,,,,,,
2.589,,,,,,,,,0,0,,,,,,,,,,,
2.640,,,,,,,,,0,0,,,,,,,,,,,
2.673,,,,,,,,,0,0,,,,,,,,,,,
2.728,,,,,,,,,0,0,,,,,,,,,,,
2.773,,,,,,,,,0,0,,,,,,,,,,,
2.809,,,,,,,,,0,0,,,,,,,,,,,
2.854,,,,,,,,,0,0,,,,,,,,,,,
2.889,,,,,,,,,0,0,,,,,,,,,,,
2.922,,,,,,,,,0,0,,,,,,,,,,,
2.974,,,,,,,,,0,0,,,,,,,,,,,
3.020,,,,,,,,,0,0,,,,,,,,,,,
3.071,,,,,,,,,0,0,,,,,,,,,,,
3.105,,,,,,,,,0,0,,,,,,,,,,,
3.158,,,,,,,,,0,0,,,,,,,,,,,
3.205,,,,,,,,,0,0,,,,,,,,,,,
3.255,,,,,,,,,0,0,,,,,,,,,,,
3.305,,,,,,,,,0,0,,,,,,,,,,,
3.354,,,,,,,,,0,0,,,,,,,,,,,
3.390,,,,,,,,,0,0,,,,,,,,,,,
3.423,,,,,,,,,0,0,,,,,,,,,,,
3.456,,,,,,,,,0,0,,,,,,,,,,,
3.496,,,,,,,,,0,0,,,,,,,,,,,
3.523,,,,,,,,,0,0,,,,,,,,,,,
3.559,,,,,,,,,0,0,,,,,,,,,,,
3.590,,,,,,,,,0,0,,,,,,,,,,,
3.659,,,,,,,,,0,0,,,,,,,,,,,
3.706,,,,,,,,,0,0,,,,,,,,,,,
3.743,,,,,,,,,0,0,,,,,,,,,,,
3.790,,,,,,,,,0,0,,,,,,,,,,,
3.823,,,,,,,,,0,0,,,,,,,,,,,
3.871,,,,,,,,,0,0,,,,,,,,,,,
3.906,,,,,,,,,0,0,,,,,,,,,,,
3.940,,,,,,,,,0,0,,,,,,,,,,,
3.976,,,,,,,,,0,0,,,,,,,,,,,
4.006,,,,,,,,,0,0,,,,,,,,,,,
4.043,,,,,,,,,0,0,,,,,,,,,,,
4.098,,,,,,,,,0,0,,,,,,,,,,,
4.139,,,,,,,,,0,0,,,,,,,,,,,
4.198,,,,,,,,,0,0,,,,,,,,,,,
4.259,,,,,,,,,0,0,,,,,,,,,,,
4.307,,,,,,,,,0,0,,,,,,,,,,,
4.338,,,,,,,,,0,0,,,,,,,,,,,
4.376,,,,,,,,,0,0,,,,,,,,,,,
4.426,,,,,,,,,0,0,,,,,,,,,,,
4.493,,,,,,,,,0,0,,,,,,,,,,,
4.544,,,,,,,,,0,0,,,,,,,,,,,
4.590,,,,,,,,,0,0,,,,,,,,,,,
4.642,,,,,,,,,0,0,,,,,,,,,,,
4.676,,,,,,,,,0,0,,,,,,,,,,,
4.730,,,,,,,,,0,0,,,,,,,,,,,
4.771,,,,,,,,,0,0,,,,,,,,,,,
4.843,,,,,,,,,0,0,,,,,,,,,,,
4.958,,,,,,,,,0,0,,,,,,,,,,,
5.006,,,,,,,,,0,0,,,,,,,,,,,
5.061,,,,,,,,,0,0,,,,,,,,,,,
5.107,,,,,,,,,0,0,,,,,,,,,,,
5.156,,,,,,,,,0,0,,,,,,,,,,,
5.203,,,,,,,,,0,0,,,,,,,,,,,
5.254,,,,,,,,,0,0,,,,,,,,,,,
5.305,,,,,,,,,0,0,,,,,,,,,,,
5.358,,,,,,,,,0,0,,,,,,,,,,,
5.410,,,,,,,,,0,0,,,,,,,,,,,
5.459,,,,,,,,,0,0,,,,,,,,,,,
5.509,,,,,,,,,0,0,,,,,,,,,,,
5.542,,,,,,,,,0,0,,,,,,,,,,,
5.609,,,,,,,,,0,0,,,,,,,,,,,
5.675,,,,,,,,,0,0,,,,,,,,,,,
5.723,,,,,,,,,0,0,,,,,,,,,,,
5.759,,,,,,,,,0,0,,,,,,,,,,,
5.805,,,,,,,,,0,0,,,,,,,,,,,
5.856,,,,,,,,,0,0,,,,,,,,,,,
5.921,,,,,,,,,0,0,,,,,,,,,,,
5.975,,,,,,,,,0,0,,,,,,,,,,,
6.029,,,,,,,,,0,0,,,,,,,,,,,
6.077,,,,,,,,,0,0,,,,,,,,,,,
6.106,,,,,,,,,0,0,,,,,,,,,,,
6.154,,,,,,,,,0,0,,,,,,,,,,,
6.200,,,,,,,,,0,0,,,,,,,,,,,
6.238,,,,,,,,,0,0,,,,,,,,,,,
6.274,,,,,,,,,0,0,,,,,,,,,,,
6.308,,,,,,,,,0,0,,,,,,,,,,,
6.356,,,,,,,,,0,0,,,,,,,,,,,
6.407,,,,,,,,,0,0,,,,,,,,,,,
6.441,,,,,,,,,0,0,,,,,,,,,,,
6.490,,,,,,,,,0,0,,,,,,,,,,,
6.522,,,,,,,,,0,0,,,,,,,,,,,
6.573,,,,,,,,,0,0,,,,,,,,,,,
