time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
0.857,0.5000,0.5000,0.5000,0.5000,-12.38,15.13,0.632,,1,0,,,,,,16.09961,5.60861,,,,,,
0.908,0.5000,0.5000,0.5000,0.5000,-19.42,-70.56,0.607,,1,0,,,,,,16.19473,5.63452,,,,,,
0.934,0.5000,0.5000,0.5000,0.5000,-11.19,16.54,0.596,,1,0,,,,,,16.27858,5.65071,,,,,,
0.977,0.5000,0.5000,0.5000,0.5000,-11.37,16.27,0.595,,1,0,,,,,,16.44721,5.70823,,,,,,
1.013,0.5000,0.5000,0.5000,0.5000,-20.46,-70.56,0.590,,1,0,,,,,,16.48235,5.70988,,,,,,
1.047,0.5000,0.5000,0.5000,0.5000,-20.62,-70.66,0.592,,1,0,,,,,,16.57616,5.75151,,,,,,
1.076,0.5000,0.5000,0.5000,0.5000,-11.11,16.39,0.583,,1,0,,,,,,16.77357,5.80225,,,,,,
1.097,0.5000,0.5000,0.5000,0.5000,-20.65,-71.61,0.577,,1,0,,,,,,16.91358,5.85038,,,,,,
1.142,0.5000,0.5000,0.5000,0.5000,-20.59,-71.26,0.574,,1,0,,,,,,16.90966,5.85857,,,,,,
1.175,0.5000,0.5000,0.5000,0.5000,-20.55,-71.31,0.569,,1,0,,,,,,17.09333,5.92045,,,,,,
1.213,0.5000,0.5000,0.5000,0.5000,-20.43,-71.20,0.565,,1,0,,,,,,17.08022,5.91348,,,,,,
1.247,0.5000,0.5000,0.5000,0.5000,-10.94,16.20,0.559,,1,0,,,,,,17.11469,5.92370,,,,,,
1.284,0.5000,0.5000,0.5000,0.5000,-20.33,-71.43,0.560,,1,0,,,,,,17.16875,5.93804,,,,,,
1.315,0.5000,0.5000,0.5000,0.5000,-14.11,-43.14,0.554,,1,0,,,,,,17.22467,5.94716,,,,,,
1.347,0.5000,0.5000,0.5000,0.5000,-20.34,-71.61,0.552,,1,0,,,,,,17.27427,5.94692,,,,,,
1.379,0.5000,0.5000,0.5000,0.5000,-20.34,-71.67,0.552,,1,0,,,,,,17.33863,5.96403,,,,,,
1.415,0.5000,0.5000,0.5000,0.5000,-10.80,16.23,0.549,,1,0,,,,,,17.35206,5.96808,,,,,,
1.435,0.5000,0.5000,0.5000,0.5000,-20.08,-71.57,0.553,,1,0,,,,,,17.35422,5.96508,,,,,,
1.463,0.5000,0.5000,0.5000,0.5000,-10.79,16.40,0.552,,1,0,,,,,,17.29950,5.94816,,,,,,
1.511,0.5000,0.5000,0.5000,0.5000,-11.87,-67.58,0.550,,1,0,,,,,,17.32271,5.94688,,,,,,
1.541,0.5000,0.5000,0.5000,0.5000,-19.82,-71.47,0.553,,1,0,,,,,,17.28672,5.93195,,,,,,
1.571,0.5000,0.5000,0.5000,0.5000,-19.67,-71.26,0.545,,1,0,,,,,,17.22440,5.90125,,,,,,
1.595,0.5000,0.5000,0.5000,0.5000,-10.79,14.06,0.548,,1,0,,,,,,17.18745,5.88626,,,,,,
1.620,0.5000,0.5000,0.5000,0.5000,-9.58,-32.73,0.539,,1,0,,,,,,17.26429,5.89538,,,,,,
1.646,0.5000,0.5000,0.5000,0.5000,-48.39,-33.21,0.525,,1,0,,,,,,17.27408,5.89439,,,,,,
1.680,0.5000,0.5000,0.5000,0.5000,-19.32,-70.11,0.521,,1,0,,,,,,17.24926,5.87741,,,,,,
1.737,0.5000,0.5000,0.5000,0.5000,-11.28,12.21,0.499,,1,0,,,,,,17.46023,5.92652,,,,,,
1.766,0.5000,0.5000,0.5000,0.5000,-11.46,10.84,0.497,,1,0,,,,,,17.02586,5.76284,,,,,,
1.803,0.5000,0.5000,0.5000,0.5000,-17.62,-68.48,0.475,,1,0,,,,,,17.05044,5.75235,,,,,,
1.821,0.5000,0.5000,0.5000,0.5000,-16.87,-67.68,0.487,,1,0,,,,,,16.73280,5.64508,,,,,,
1.860,0.5000,0.5000,0.5000,0.5000,-16.51,-67.10,0.482,,1,0,,,,,,16.57290,5.59215,,,,,,
1.890,0.5000,0.5000,0.5000,0.5000,-15.65,-66.62,0.474,,1,0,,,,,,16.54961,5.58273,,,,,,
1.907,0.5000,0.5000,0.5000,0.5000,-15.46,-66.00,0.468,,1,0,,,,,,16.43951,5.55502,,,,,,
