time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
1.004,0.5000,0.5000,0.5000,0.5000,5.47,8.55,0.370,,1,0,,,,,,-0.42013,2.84911,,,,,,
1.080,0.5000,0.5000,0.5000,0.5000,5.57,6.90,0.359,,1,0,,,,,,-0.41225,2.82088,,,,,,
1.128,0.5000,0.5000,0.5000,0.5000,5.84,6.19,0.356,,1,0,,,,,,-0.41351,2.84178,,,,,,
1.174,0.5000,0.5000,0.5000,0.5000,5.95,6.01,0.353,,1,0,,,,,,-0.41907,2.84212,,,,,,
1.221,0.5000,0.5000,0.5000,0.5000,6.00,5.94,0.353,,1,0,,,,,,-0.41839,2.84186,,,,,,
1.265,0.5000,0.5000,0.5000,0.5000,6.21,5.74,0.352,,1,0,,,,,,-0.41950,2.83981,,,,,,
1.305,0.5000,0.5000,0.5000,0.5000,6.22,5.55,0.352,,1,0,,,,,,-0.41994,2.83936,,,,,,
1.359,0.5000,0.5000,0.5000,0.5000,6.17,5.59,0.351,,1,0,,,,,,-0.40629,2.82255,,,,,,
1.411,0.5000,0.5000,0.5000,0.5000,6.29,5.68,0.355,,1,0,,,,,,-0.40503,2.81930,,,,,,
1.458,0.5000,0.5000,0.5000,0.5000,6.36,5.58,0.355,,1,0,,,,,,-0.40359,2.82149,,,,,,
1.511,0.5000,0.5000,0.5000,0.5000,6.43,5.49,0.356,,1,0,,,,,,-0.40670,2.82943,,,,,,
1.558,0.5000,0.5000,0.5000,0.5000,6.50,5.51,0.358,,1,0,,,,,,-0.40341,2.82326,,,,,,
1.594,0.5000,0.5000,0.5000,0.5000,6.56,5.61,0.359,,1,0,,,,,,-0.40396,2.82122,,,,,,
1.627,0.5000,0.5000,0.5000,0.5000,6.41,5.55,0.359,,1,0,,,,,,-0.40375,2.81974,,,,,,
1.663,0.5000,0.5000,0.5000,0.5000,6.41,6.00,0.360,,1,0,,,,,,-0.40862,2.82412,,,,,,
1.714,0.5000,0.5000,0.5000,0.5000,6.10,5.88,0.359,,1,0,,,,,,-0.41843,2.83468,,,,,,
1.762,0.5000,0.5000,0.5000,0.5000,6.21,5.48,0.363,,1,0,,,,,,-0.41515,2.83037,,,,,,
1.813,0.5000,0.5000,0.5000,0.5000,6.18,5.31,0.361,,1,0,,,,,,-0.41630,2.83044,,,,,,
1.856,0.5000,0.5000,0.5000,0.5000,6.07,5.37,0.361,,1,0,,,,,,-0.42430,2.83710,,,,,,
1.907,0.5000,0.5000,0.5000,0.5000,6.09,5.12,0.360,,1,0,,,,,,-0.43253,2.83156,,,,,,
1.950,0.5000,0.5000,0.5000,0.5000,6.08,5.01,0.359,,1,0,,,,,,-0.44105,2.82956,,,,,,
1.988,0.5000,0.5000,0.5000,0.5000,6.07,5.12,0.359,,1,0,,,,,,-0.45419,2.84038,,,,,,
2.029,0.5000,0.5000,0.5000,0.5000,6.18,5.43,0.359,,1,0,,,,,,-0.46429,2.85387,,,,,,
2.079,0.5000,0.5000,0.5000,0.5000,5.95,5.45,0.323,,1,0,,,,,,-0.50197,2.95241,,,,,,
2.123,0.5000,0.5000,0.5000,0.5000,5.88,5.53,0.323,,1,0,,,,,,-0.51516,2.98977,,,,,,
2.175,0.5000,0.5000,0.5000,0.5000,5.98,5.22,0.317,,1,0,,,,,,-0.51189,2.98808,,,,,,
2.262,0.5000,0.5000,0.5000,0.5000,5.50,5.54,0.309,,1,0,,,,,,-0.48479,2.98631,,,,,,
2.297,0.5000,0.5000,0.5000,0.5000,5.23,5.24,0.312,,1,0,,,,,,-0.43653,3.02829,,,,,,
2.343,0.5000,0.5000,0.5000,0.5000,4.95,5.87,0.312,,1,0,,,,,,-0.40117,3.04155,,,,,,
2.390,0.5000,0.5000,0.5000,0.5000,6.48,6.49,0.196,,1,0,,,,,,-0.10801,3.26408,,,,,,
