time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm
0.616,0.5000,0.5000,0.5000,0.5000,-1.91,-20.14,0.453,,1,0,,,,,,-1.73615,0.99963,,,,
0.667,0.5000,0.5000,0.5000,0.5000,-1.82,-19.85,0.447,,1,0,,,,,,-1.80857,0.96733,,,,
0.700,0.5000,0.5000,0.5000,0.5000,-1.75,-19.57,0.449,,1,0,,,,,,-1.85007,0.95340,,,,
0.731,0.5000,0.5000,0.5000,0.5000,-1.69,-19.10,0.449,,1,0,,,,,,-1.87909,0.93352,,,,
0.749,0.5000,0.5000,0.5000,0.5000,-1.65,-18.65,0.453,,1,0,,,,,,-1.89049,0.92336,,,,
0.778,0.5000,0.5000,0.5000,0.5000,-1.62,-18.11,0.453,,1,0,,,,,,-1.89742,0.91780,,,,
0.818,0.5000,0.5000,0.5000,0.5000,-1.60,-17.58,0.453,,1,0,,,,,,-1.90338,0.91852,,,,
0.846,0.5000,0.5000,0.5000,0.5000,-1.58,-17.11,0.452,,1,0,,,,,,-1.89788,0.91566,,,,
0.884,0.5000,0.5000,0.5000,0.5000,-1.55,-16.65,0.447,,1,0,,,,,,-1.89300,0.90936,,,,
0.912,0.5000,0.5000,0.5000,0.5000,-1.52,-16.14,0.448,,1,0,,,,,,-1.86542,0.90908,,,,
0.939,0.5000,0.5000,0.5000,0.5000,-1.50,-15.77,0.449,,1,0,,,,,,-1.86379,0.91147,,,,
0.973,0.5000,0.5000,0.5000,0.5000,-1.47,-15.33,0.448,,1,0,,,,,,-1.83391,0.91036,,,,
1.007,0.5000,0.5000,0.5000,0.5000,-1.46,-14.68,0.446,,1,0,,,,,,-1.81467,0.91663,,,,
