time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse
0.606,0.5000,0.5000,0.5000,0.5000,-3.37,22.30,0.458,,1,0,,
0.657,0.5000,0.5000,0.5000,0.5000,-3.39,22.21,0.466,,1,0,,
0.679,0.5000,0.5000,0.5000,0.5000,-3.40,22.15,0.478,,1,0,,
0.703,0.5000,0.5000,0.5000,0.5000,-3.42,22.10,0.488,,1,0,,
0.727,0.5000,0.5000,0.5000,0.5000,-3.44,22.10,0.498,,1,0,,
0.751,0.5000,0.5000,0.5000,0.5000,-3.46,22.17,0.506,,1,0,,
0.774,0.5000,0.5000,0.5000,0.5000,-3.47,22.30,0.525,,1,0,,
0.799,0.5000,0.5000,0.5000,0.5000,-3.46,22.45,0.539,,1,0,,
0.829,0.5000,0.5000,0.5000,0.5000,-3.45,22.61,0.535,,1,0,,
0.858,0.5000,0.5000,0.5000,0.5000,-3.44,22.85,0.529,,1,0,,
0.888,0.5000,0.5000,0.5000,0.5000,-3.46,23.03,0.536,,1,0,,
0.921,0.5000,0.5000,0.5000,0.5000,-3.43,23.27,0.527,,1,0,,
1.003,0.5000,0.5000,0.5000,0.5000,-3.34,24.15,0.533,,1,0,,
1.026,0.5000,0.5000,0.5000,0.5000,-3.32,24.42,0.535,,1,0,,
1.048,0.5000,0.5000,0.5000,0.5000,-3.28,24.71,0.540,,1,0,,
1.074,0.5000,0.5000,0.5000,0.5000,-3.22,24.99,0.540,,1,0,,
1.096,0.5000,0.5000,0.5000,0.5000,-3.15,25.30,0.541,,1,0,,
1.129,0.5000,0.5000,0.5000,0.5000,-3.00,25.65,0.536,,1,0,,
1.159,0.5000,0.5000,0.5000,0.5000,-2.82,25.91,0.538,,1,0,,
1.192,0.5000,0.5000,0.5000,0.5000,-2.65,26.22,0.541,,1,0,,
1.225,0.5000,0.5000,0.5000,0.5000,-2.44,26.46,0.547,,1,0,,
1.256,0.5000,0.5000,0.5000,0.5000,-2.20,26.63,0.552,,1,0,,
1.288,0.5000,0.5000,0.5000,0.5000,-1.92,26.83,0.543,,1,0,,
1.319,0.5000,0.5000,0.5000,0.5000,-1.65,27.00,0.551,,1,0,,
1.389,0.5000,0.5000,0.5000,0.5000,-1.00,27.23,0.539,,1,0,,
1.418,0.5000,0.5000,0.5000,0.5000,-0.66,27.33,0.551,,1,0,,
1.447,0.5000,0.5000,0.5000,0.5000,-0.34,27.42,0.544,,1,0,,
1.480,0.5000,0.5000,0.5000,0.5000,0.01,27.45,0.539,,1,0,,
1.527,0.5000,0.5000,0.5000,0.5000,0.55,27.36,0.509,,1,0,,
1.561,0.5000,0.5000,0.5000,0.5000,0.89,27.29,0.510,,1,0,,
1.586,0.5000,0.5000,0.5000,0.5000,1.10,27.25,0.523,,1,0,,
1.613,0.5000,0.5000,0.5000,0.5000,1.38,27.13,0.518,,1,0,,
1.636,0.5000,0.5000,0.5000,0.5000,1.66,26.95,0.518,,1,0,,
1.661,0.5000,0.5000,0.5000,0.5000,1.89,26.75,0.515,,1,0,,
1.690,0.5000,0.5000,0.5000,0.5000,2.14,26.58,0.511,,1,0,,
1.724,0.5000,0.5000,0.5000,0.5000,2.42,26.31,0.498,,1,0,,
1.784,0.5000,0.5000,0.5000,0.5000,2.74,25.65,0.498,,1,0,,
1.815,0.5000,0.5000,0.5000,0.5000,2.91,25.18,0.490,,1,0,,
1.847,0.5000,0.5000,0.5000,0.5000,3.10,24.73,0.424,,1,0,,
1.884,0.5000,0.5000,0.5000,0.5000,3.27,24.06,0.419,,1,0,,
1.914,0.5000,0.5000,0.5000,0.5000,3.34,23.28,0.452,,1,0,,
1.944,0.5000,0.5000,0.5000,0.5000,3.13,21.83,0.480,,1,0,,
1.977,0.5000,0.5000,0.5000,0.5000,2.86,20.05,0.487,,1,0,,
2.009,0.5000,0.5000,0.5000,0.5000,2.51,18.08,0.501,,1,0,,
2.043,0.5000,0.5000,0.5000,0.5000,2.21,16.12,0.500,,1,0,,
2.090,0.5000,0.5000,0.5000,0.5000,1.98,13.40,0.509,,1,0,,
2.121,0.5000,0.5000,0.5000,0.5000,1.80,11.48,0.510,,1,0,,
2.145,0.5000,0.5000,0.5000,0.5000,1.69,10.02,0.509,,1,0,,
2.184,0.5000,0.5000,0.5000,0.5000,1.58,7.77,0.505,,1,0,,
2.216,0.5000,0.5000,0.5000,0.5000,1.56,6.13,0.509,,1,0,,
2.247,0.5000,0.5000,0.5000,0.5000,1.57,4.51,0.511,,1,0,,
2.281,0.5000,0.5000,0.5000,0.5000,1.66,3.01,0.508,,1,0,,
2.313,0.5000,0.5000,0.5000,0.5000,1.78,1.85,0.511,,1,0,,
2.345,0.5000,0.5000,0.5000,0.5000,1.92,0.78,0.509,,1,0,,
2.377,0.5000,0.5000,0.5000,0.5000,2.08,-0.17,0.514,,1,0,,
2.410,0.5000,0.5000,0.5000,0.5000,2.25,-0.95,0.510,,1,0,,
2.440,0.5000,0.5000,0.5000,0.5000,2.43,-1.60,0.508,,1,0,,
2.473,0.5000,0.5000,0.5000,0.5000,2.61,-2.18,0.506,,1,0,,
2.504,0.5000,0.5000,0.5000,0.5000,2.79,-2.76,0.506,,1,0,,
2.537,0.5000,0.5000,0.5000,0.5000,2.96,-3.33,0.509,,1,0,,
2.568,0.5000,0.5000,0.5000,0.5000,3.14,-3.75,0.510,,1,0,,
2.600,0.5000,0.5000,0.5000,0.5000,3.31,-4.14,0.516,,1,0,,
2.632,0.5000,0.5000,0.5000,0.5000,3.48,-4.43,0.518,,1,0,,
2.680,0.5000,0.5000,0.5000,0.5000,3.72,-4.65,0.514,,1,0,,
2.713,0.5000,0.5000,0.5000,0.5000,3.88,-4.84,0.510,,1,0,,
2.745,0.5000,0.5000,0.5000,0.5000,4.00,-5.02,0.510,,1,0,,
2.777,0.5000,0.5000,0.5000,0.5000,4.10,-5.18,0.506,,1,0,,
2.808,0.5000,0.5000,0.5000,0.5000,4.16,-5.36,0.505,,1,0,,
2.841,0.5000,0.5000,0.5000,0.5000,4.23,-5.53,0.505,,1,0,,
3.010,0.5000,0.5000,0.5000,0.5000,4.05,-6.62,0.520,,1,0,,
3.051,0.5000,0.5000,0.5000,0.5000,4.04,-6.85,0.514,,1,0,,
3.086,0.5000,0.5000,0.5000,0.5000,4.04,-6.99,0.513,,1,0,,
3.117,0.5000,0.5000,0.5000,0.5000,4.04,-7.12,0.510,,1,0,,
3.146,0.5000,0.5000,0.5000,0.5000,4.04,-7.20,0.510,,1,0,,
3.176,0.5000,0.5000,0.5000,0.5000,4.06,-7.26,0.512,,1,0,,
3.204,0.5000,0.5000,0.5000,0.5000,4.06,-7.31,0.514,,1,0,,
3.233,0.5000,0.5000,0.5000,0.5000,4.09,-7.28,0.513,,1,0,,
3.262,0.5000,0.5000,0.5000,0.5000,4.13,-7.25,0.517,,1,0,,
3.294,0.5000,0.5000,0.5000,0.5000,4.14,-7.25,0.515,,1,0,,
3.326,0.5000,0.5000,0.5000,0.5000,4.15,-7.21,0.517,,1,0,,
3.354,0.5000,0.5000,0.5000,0.5000,4.15,-7.18,0.514,,1,0,,
3.379,0.5000,0.5000,0.5000,0.5000,4.14,-7.17,0.492,,1,0,,
3.408,0.5000,0.5000,0.5000,0.5000,4.20,-7.11,0.297,,1,0,,
3.435,0.5000,0.5000,0.5000,0.5000,4.27,-6.87,0.091,,1,0,,
3.466,0.5000,0.5000,0.5000,0.5000,4.30,-6.40,0.039,,1,0,,
3.497,0.5000,0.5000,0.5000,0.5000,4.25,-5.82,0.040,,1,0,,
3.530,0.5000,0.5000,0.5000,0.5000,4.16,-5.15,0.035,,1,0,,
3.561,0.5000,0.5000,0.5000,0.5000,4.05,-4.49,0.036,,1,0,,
3.594,0.5000,0.5000,0.5000,0.5000,3.89,-3.61,0.077,,1,0,,
3.627,0.5000,0.5000,0.5000,0.5000,3.63,-2.48,0.092,,1,0,,
3.657,0.5000,0.5000,0.5000,0.5000,3.46,-1.59,0.071,,1,0,,
3.690,0.5000,0.5000,0.5000,0.5000,3.26,-0.63,0.072,,1,0,,
3.722,0.5000,0.5000,0.5000,0.5000,3.07,0.24,0.079,,1,0,,
3.800,0.5000,0.5000,0.5000,0.5000,2.67,2.19,0.068,,1,0,,
3.833,0.5000,0.5000,0.5000,0.5000,2.57,2.81,0.059,,1,0,,
3.863,0.5000,0.5000,0.5000,0.5000,2.47,3.30,0.057,,1,0,,
3.892,0.5000,0.5000,0.5000,0.5000,2.37,3.70,0.055,,1,0,,
3.922,0.5000,0.5000,0.5000,0.5000,2.26,4.11,0.056,,1,0,,
3.950,0.5000,0.5000,0.5000,0.5000,2.17,4.52,0.069,,1,0,,
3.978,0.5000,0.5000,0.5000,0.5000,2.07,4.89,0.073,,1,0,,
4.004,0.5000,0.5000,0.5000,0.5000,1.98,5.18,0.076,,1,0,,
4.029,0.5000,0.5000,0.5000,0.5000,1.92,5.47,0.114,,1,0,,
4.058,0.5000,0.5000,0.5000,0.5000,1.86,5.74,0.082,,1,0,,
4.087,0.5000,0.5000,0.5000,0.5000,1.79,6.06,0.077,,1,0,,
4.120,0.5000,0.5000,0.5000,0.5000,1.72,6.31,0.071,,1,0,,
4.186,0.5000,0.5000,0.5000,0.5000,1.64,6.84,0.055,,1,0,,
4.218,0.5000,0.5000,0.5000,0.5000,1.64,7.51,0.196,,1,0,,
4.251,0.5000,0.5000,0.5000,0.5000,1.58,8.30,0.353,,1,0,,
4.280,0.5000,0.5000,0.5000,0.5000,1.56,9.00,0.442,,1,0,,
4.314,0.5000,0.5000,0.5000,0.5000,1.56,9.55,0.506,,1,0,,
4.359,0.5000,0.5000,0.5000,0.5000,1.49,10.09,0.537,,1,0,,
