time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,ear,blink,face_detected,calibrated,calib_mgae_deg,calib_rmse,calib_point_idx,calib_target_x,calib_target_y,X_feat,Y_feat,loo_mgae_deg,loo_euc_cm,loo_euc_x_cm,loo_euc_y_cm,tap_target_x,tap_target_y
0.706,,,,,,,,,0,0,,,,,,,,,,,,,
0.784,0.5000,0.5000,0.5000,0.5000,-21.90,-55.55,0.464,,1,0,,,,,,11.51576,4.24875,,,,,,
0.815,0.5000,0.5000,0.5000,0.5000,-24.21,-49.30,0.546,,1,0,,,,,,10.92132,3.75389,,,,,,
0.838,0.5000,0.5000,0.5000,0.5000,-10.22,-11.91,0.526,,1,0,,,,,,10.67603,3.55581,,,,,,
0.886,0.5000,0.5000,0.5000,0.5000,-9.94,-12.12,0.504,,1,0,,,,,,10.57681,3.49228,,,,,,
0.914,0.5000,0.5000,0.5000,0.5000,-8.99,-9.67,0.495,,1,0,,,,,,10.79952,3.55748,,,,,,
0.932,0.5000,0.5000,0.5000,0.5000,-9.06,-11.11,0.484,,1,0,,,,,,10.62635,3.54303,,,,,,
0.961,0.5000,0.5000,0.5000,0.5000,-8.82,-10.39,0.474,,1,0,,,,,,10.43015,3.50734,,,,,,
0.990,0.5000,0.5000,0.5000,0.5000,-7.64,-8.84,0.477,,1,0,,,,,,10.12710,3.41781,,,,,,
1.029,0.5000,0.5000,0.5000,0.5000,-8.06,-8.65,0.476,,1,0,,,,,,9.74843,3.32286,,,,,,
1.048,0.5000,0.5000,0.5000,0.5000,-7.18,-7.24,0.467,,1,0,,,,,,9.70050,3.31187,,,,,,
1.074,0.5000,0.5000,0.5000,0.5000,-7.53,-8.01,0.457,,1,0,,,,,,9.47390,3.19141,,,,,,
1.117,0.5000,0.5000,0.5000,0.5000,-19.31,-40.26,0.464,,1,0,,,,,,9.16549,3.09129,,,,,,
1.143,0.5000,0.5000,0.5000,0.5000,-7.10,-6.59,0.479,,1,0,,,,,,8.84279,2.99470,,,,,,
1.161,0.5000,0.5000,0.5000,0.5000,-6.72,-9.02,0.473,,1,0,,,,,,8.98486,3.04569,,,,,,
1.185,0.5000,0.5000,0.5000,0.5000,-6.28,-7.54,0.456,,1,0,,,,,,8.94572,3.06214,,,,,,
1.212,0.5000,0.5000,0.5000,0.5000,-6.67,-7.88,0.460,,1,0,,,,,,8.79747,3.05809,,,,,,
1.242,0.5000,0.5000,0.5000,0.5000,-6.49,-8.01,0.490,,1,0,,,,,,8.84493,3.08618,,,,,,
1.284,0.5000,0.5000,0.5000,0.5000,-6.74,-7.13,0.501,,1,0,,,,,,8.57599,3.02229,,,,,,
1.316,0.5000,0.5000,0.5000,0.5000,-7.35,-5.08,0.519,,1,0,,,,,,8.24316,2.91552,,,,,,
