time_s,gaze_x,gaze_y,raw_x,raw_y,pitch_deg,yaw_deg,face_detected,calibrated,calib_mgae_deg,calib_rmse
12.217,0.5000,0.5000,,,,,0,0,,
12.323,0.5000,0.5000,,,,,0,0,,
12.406,0.5000,0.5000,,,,,0,0,,
12.486,0.5000,0.5000,,,,,0,0,,
12.593,0.5000,0.5000,,,,,0,0,,
12.678,0.5000,0.5000,,,,,0,0,,
12.785,0.5000,0.5000,,,,,0,0,,
12.868,0.5000,0.5000,,,,,0,0,,
12.945,0.5000,0.5000,,,,,0,0,,
13.026,0.5000,0.5000,,,,,0,0,,
13.105,0.5000,0.5000,,,,,0,0,,
13.184,0.5000,0.5000,,,,,0,0,,
13.262,0.5000,0.5000,,,,,0,0,,
13.342,0.5000,0.5000,,,,,0,0,,
13.421,0.5000,0.5000,,,,,0,0,,
13.500,0.5000,0.5000,,,,,0,0,,
13.579,0.5000,0.5000,,,,,0,0,,
13.659,0.5000,0.5000,,,,,0,0,,
13.738,0.5000,0.5000,,,,,0,0,,
13.817,0.5000,0.5000,,,,,0,0,,
13.897,0.5000,0.5000,,,,,0,0,,
14.008,0.5000,0.5000,,,,,0,0,,
14.085,0.5000,0.5000,,,,,0,0,,
14.164,0.5000,0.5000,,,,,0,0,,
14.247,0.5000,0.5000,,,,,0,0,,
14.325,0.5000,0.5000,,,,,0,0,,
14.445,0.5000,0.5000,,,,,0,0,,
14.515,0.5000,0.5000,,,,,0,0,,
14.621,0.5000,0.5000,,,,,0,0,,
14.702,0.5000,0.5000,,,,,0,0,,
14.781,0.5000,0.5000,,,,,0,0,,
14.859,0.5000,0.5000,,,,,0,0,,
14.937,0.5000,0.5000,,,,,0,0,,
15.017,0.5000,0.5000,,,,,0,0,,
15.123,0.5000,0.5000,,,,,0,0,,
15.191,0.5000,0.5000,,,,,0,0,,
15.274,0.5000,0.5000,,,,,0,0,,
15.351,0.5000,0.5000,,,,,0,0,,
15.429,0.5000,0.5000,,,,,0,0,,
15.513,0.5000,0.5000,,,,,0,0,,
15.619,0.5000,0.5000,,,,,0,0,,
15.729,0.5000,0.5000,,,,,0,0,,
15.811,0.5000,0.5000,,,,,0,0,,
15.891,0.5000,0.5000,,,,,0,0,,
15.972,0.5000,0.5000,,,,,0,0,,
16.049,0.5000,0.5000,,,,,0,0,,
16.155,0.5000,0.5000,,,,,0,0,,
16.225,0.5000,0.5000,,,,,0,0,,
16.330,0.5000,0.5000,,,,,0,0,,
16.412,0.5000,0.5000,,,,,0,0,,
16.523,0.5000,0.5000,,,,,0,0,,
16.635,0.5000,0.5000,,,,,0,0,,
16.816,0.5000,0.5000,,,,,0,0,,
16.931,0.5000,0.5000,,,,,0,0,,
17.018,0.5000,0.5000,,,,,0,0,,
17.095,0.5000,0.5000,,,,,0,0,,
17.188,0.5000,0.5000,,,,,0,0,,
17.268,0.5000,0.5000,,,,,0,0,,
17.344,0.5000,0.5000,,,,,0,0,,
17.423,0.5000,0.5000,,,,,0,0,,
17.503,0.5000,0.5000,,,,,0,0,,
17.582,0.5000,0.5000,,,,,0,0,,
17.660,0.5000,0.5000,,,,,0,0,,
17.740,0.5000,0.5000,,,,,0,0,,
17.820,0.5000,0.5000,,,,,0,0,,
17.898,0.5000,0.5000,,,,,0,0,,
18.007,0.5000,0.5000,,,,,0,0,,
18.071,0.5000,0.5000,,,,,0,0,,
18.148,0.5000,0.5000,,,,,0,0,,
18.214,0.5000,0.5000,,,,,0,0,,
18.292,0.5000,0.5000,,,,,0,0,,
18.372,0.5000,0.5000,,,,,0,0,,
18.450,0.5000,0.5000,,,,,0,0,,
18.530,0.5000,0.5000,,,,,0,0,,
18.611,0.5000,0.5000,,,,,0,0,,
18.688,0.5000,0.5000,,,,,0,0,,
18.767,0.5000,0.5000,,,,,0,0,,
18.876,0.5000,0.5000,,,,,0,0,,
18.984,0.5000,0.5000,,,,,0,0,,
19.066,0.5000,0.5000,,,,,0,0,,
19.147,0.5000,0.5000,,,,,0,0,,
19.225,0.5000,0.5000,,,,,0,0,,
19.304,0.5000,0.5000,,,,,0,0,,
19.381,0.5000,0.5000,,,,,0,0,,
19.463,0.5000,0.5000,,,,,0,0,,
19.540,0.5000,0.5000,,,,,0,0,,
19.620,0.5000,0.5000,,,,,0,0,,
19.699,0.5000,0.5000,,,,,0,0,,
19.778,0.5000,0.5000,,,,,0,0,,
19.857,0.5000,0.5000,,,,,0,0,,
19.937,0.5000,0.5000,,,,,0,0,,
20.016,0.5000,0.5000,,,,,0,0,,
20.094,0.5000,0.5000,,,,,0,0,,
20.174,0.5000,0.5000,,,,,0,0,,
20.251,0.5000,0.5000,,,,,0,0,,
20.333,0.5000,0.5000,,,,,0,0,,
20.406,0.5000,0.5000,,,,,0,0,,
20.472,0.5000,0.5000,,,,,0,0,,
20.551,0.5000,0.5000,,,,,0,0,,
20.631,0.5000,0.5000,,,,,0,0,,
20.723,0.5000,0.5000,,,,,0,0,,
20.803,0.5000,0.5000,,,,,0,0,,
20.885,0.5000,0.5000,,,,,0,0,,
20.963,0.5000,0.5000,,,,,0,0,,
21.042,0.5000,0.5000,,,,,0,0,,
21.121,0.5000,0.5000,,,,,0,0,,
21.200,0.5000,0.5000,,,,,0,0,,
21.312,0.5000,0.5000,,,,,0,0,,
21.372,0.5000,0.5000,,,,,0,0,,
21.450,0.5000,0.5000,,,,,0,0,,
21.532,0.5000,0.5000,,,,,0,0,,
21.628,0.5000,0.5000,,,,,0,0,,
21.718,0.5000,0.5000,,,,,0,0,,
21.801,0.5000,0.5000,,,,,0,0,,
21.881,0.5000,0.5000,,,,,0,0,,
21.973,0.5000,0.5000,,,,,0,0,,
22.069,0.5000,0.5000,,,,,0,0,,
22.174,0.5000,0.5000,,,,,0,0,,
22.244,0.5000,0.5000,,,,,0,0,,
22.322,0.5000,0.5000,,,,,0,0,,
22.402,0.5000,0.5000,,,,,0,0,,
22.484,0.5000,0.5000,,,,,0,0,,
22.560,0.5000,0.5000,,,,,0,0,,
22.640,0.5000,0.5000,,,,,0,0,,
22.719,0.5000,0.5000,,,,,0,0,,
22.797,0.5000,0.5000,,,,,0,0,,
22.877,0.5000,0.5000,,,,,0,0,,
22.958,0.5000,0.5000,,,,,0,0,,
23.036,0.5000,0.5000,,,,,0,0,,
23.146,0.5000,0.5000,,,,,0,0,,
23.226,0.5000,0.5000,,,,,0,0,,
23.306,0.5000,0.5000,,,,,0,0,,
23.415,0.5000,0.5000,,,,,0,0,,
23.498,0.5000,0.5000,,,,,0,0,,
23.576,0.5000,0.5000,,,,,0,0,,
23.656,0.5000,0.5000,,,,,0,0,,
23.736,0.5000,0.5000,,,,,0,0,,
23.813,0.5000,0.5000,,,,,0,0,,
23.891,0.5000,0.5000,,,,,0,0,,
23.971,0.5000,0.5000,,,,,0,0,,
24.050,0.5000,0.5000,,,,,0,0,,
24.159,0.5000,0.5000,,,,,0,0,,
24.269,0.5000,0.5000,,,,,0,0,,
24.351,0.5000,0.5000,,,,,0,0,,
24.430,0.5000,0.5000,,,,,0,0,,
24.493,0.5000,0.5000,,,,,0,0,,
24.574,0.5000,0.5000,,,,,0,0,,
24.666,0.5000,0.5000,,,,,0,0,,
24.728,0.5000,0.5000,,,,,0,0,,
24.791,0.5000,0.5000,,,,,0,0,,
24.872,0.5000,0.5000,,,,,0,0,,
24.931,0.5000,0.5000,,,,,0,0,,
24.998,0.5000,0.5000,,,,,0,0,,
25.079,0.5000,0.5000,,,,,0,0,,
25.154,0.5000,0.5000,,,,,0,0,,
25.236,0.5000,0.5000,,,,,0,0,,
25.315,0.5000,0.5000,,,,,0,0,,
25.393,0.5000,0.5000,,,,,0,0,,
25.470,0.5000,0.5000,,,,,0,0,,
25.534,0.5000,0.5000,,,,,0,0,,
25.617,0.5000,0.5000,,,,,0,0,,
25.695,0.5000,0.5000,,,,,0,0,,
25.772,0.5000,0.5000,,,,,0,0,,
25.852,0.5000,0.5000,,,,,0,0,,
25.977,0.5000,0.5000,,,,,0,0,,
26.090,0.5000,0.5000,,,,,0,0,,
26.169,0.5000,0.5000,,,,,0,0,,
26.282,0.5000,0.5000,,,,,0,0,,
26.357,0.5000,0.5000,,,,,0,0,,
26.468,0.5000,0.5000,,,,,0,0,,
26.576,0.5000,0.5000,,,,,0,0,,
26.693,0.5000,0.5000,0.5000,0.5000,-149.17,5.63,1,0,,
26.823,0.5000,0.5000,0.5000,0.5000,-174.73,9.93,1,0,,
26.923,0.5000,0.5000,0.5000,0.5000,-177.32,13.24,1,0,,
27.019,0.5000,0.5000,0.5000,0.5000,-177.00,14.42,1,0,,
27.117,0.5000,0.5000,0.5000,0.5000,-179.87,14.10,1,0,,
27.229,0.5000,0.5000,0.5000,0.5000,-178.63,18.15,1,0,,
27.336,0.5000,0.5000,0.5000,0.5000,-178.21,19.51,1,0,,
27.449,0.5000,0.5000,0.5000,0.5000,-178.56,18.67,1,0,,
27.561,0.5000,0.5000,0.5000,0.5000,-179.04,14.91,1,0,,
27.681,0.5000,0.5000,0.5000,0.5000,-179.46,17.13,1,0,,
27.779,0.5000,0.5000,0.5000,0.5000,-179.64,1.98,1,0,,
27.888,0.5000,0.5000,0.5000,0.5000,-179.80,5.43,1,0,,
28.006,0.5000,0.5000,0.5000,0.5000,-178.87,2.04,1,0,,
28.094,0.5000,0.5000,0.5000,0.5000,-178.23,1.65,1,0,,
28.201,0.5000,0.5000,0.5000,0.5000,-179.83,6.80,1,0,,
28.310,0.5000,0.5000,0.5000,0.5000,-178.56,4.85,1,0,,
28.415,0.5000,0.5000,0.5000,0.5000,-176.15,23.35,1,0,,
28.530,0.5000,0.5000,0.5000,0.5000,-173.65,29.78,1,0,,
28.652,0.5000,0.5000,0.5000,0.5000,-174.58,28.83,1,0,,
28.774,0.5000,0.5000,0.5000,0.5000,-173.39,31.97,1,0,,
28.899,0.5000,0.5000,0.5000,0.5000,-172.78,33.48,1,0,,
29.021,0.5000,0.5000,0.5000,0.5000,-172.89,33.93,1,0,,
29.127,0.5000,0.5000,0.5000,0.5000,-157.09,50.61,1,0,,
29.236,0.5000,0.5000,0.5000,0.5000,-156.08,50.20,1,0,,
29.348,0.5000,0.5000,0.5000,0.5000,-154.11,51.63,1,0,,
29.454,0.5000,0.5000,0.5000,0.5000,-174.68,26.41,1,0,,
29.571,0.5000,0.5000,0.5000,0.5000,-173.29,26.22,1,0,,
29.679,0.5000,0.5000,0.5000,0.5000,-175.16,20.19,1,0,,
29.789,0.5000,0.5000,0.5000,0.5000,-174.68,5.02,1,0,,
29.907,0.5000,0.5000,0.5000,0.5000,-175.19,4.15,1,0,,
30.023,0.5000,0.5000,0.5000,0.5000,-176.54,0.55,1,0,,
30.138,0.5000,0.5000,0.5000,0.5000,-175.69,-0.59,1,0,,
30.249,0.5000,0.5000,0.5000,0.5000,-176.39,1.74,1,0,,
30.354,0.5000,0.5000,0.5000,0.5000,-175.41,-1.71,1,0,,
30.471,0.5000,0.5000,0.5000,0.5000,-175.23,-0.57,1,0,,
30.577,0.5000,0.5000,0.5000,0.5000,-175.82,1.13,1,0,,
30.671,0.5000,0.5000,0.5000,0.5000,-175.28,3.57,1,0,,
30.797,0.5000,0.5000,0.5000,0.5000,-175.20,6.43,1,0,,
30.854,0.5000,0.5000,0.5000,0.5000,-175.61,3.98,1,0,,
30.923,0.5000,0.5000,0.5000,0.5000,-175.80,6.03,1,0,,
30.987,0.5000,0.5000,0.5000,0.5000,-176.82,12.69,1,0,,
31.034,0.5000,0.5000,0.5000,0.5000,-177.23,13.52,1,0,,
31.080,0.5000,0.5000,0.5000,0.5000,-177.92,13.68,1,0,,
31.123,0.5000,0.5000,0.5000,0.5000,-177.77,14.21,1,0,,
31.169,0.5000,0.5000,0.5000,0.5000,-178.06,13.64,1,0,,
31.222,0.5000,0.5000,0.5000,0.5000,-177.87,15.32,1,0,,
31.272,0.5000,0.5000,0.5000,0.5000,-179.09,17.90,1,0,,
31.315,0.5000,0.5000,0.5000,0.5000,179.35,19.37,1,0,,
